,DEMA_monthly_10
2022-04-04,179.3774
2022-03-31,175.9244
2022-02-28,172.5928
2022-01-31,171.9332
2021-12-31,166.4172
2021-11-30,157.3408
2021-10-29,150.2163
2021-09-30,147.2848
2021-08-31,146.6884
2021-07-30,140.9437
2021-06-30,135.6225
2021-05-28,132.0876
2021-04-30,132.4849
2021-03-31,129.7299
2021-02-26,129.7749
2021-01-29,129.8232
2020-12-31,124.7970
2020-11-30,117.2722
2020-10-30,112.7617
2020-09-30,110.8692
2020-08-31,104.8332
2020-07-31,90.4799
2020-06-30,81.0033
2020-05-29,74.6570
2020-04-30,71.0941
2020-03-31,68.8814
2020-02-28,70.0831
2020-01-31,69.4239
2019-12-31,64.4592
2019-11-29,59.3541
2019-10-31,55.2513
2019-09-30,51.7431
2019-08-30,49.6631
2019-07-31,48.4770
2019-06-28,46.4596
2019-05-31,45.3645
2019-04-30,46.3584
2019-03-29,44.9708
2019-02-28,44.2491
2019-01-31,45.0865
2018-12-31,46.9949
2018-11-30,50.4544
2018-10-31,52.7737
2018-09-28,51.5129
2018-08-31,48.9575
2018-07-31,45.2122
2018-06-29,44.1794
2018-05-31,43.2706
2018-04-30,41.7881
2018-03-29,42.1106
2018-02-28,42.2009
2018-01-31,41.1365
2017-12-29,40.8346
2017-11-30,40.1503
2017-10-31,38.8629
2017-09-29,37.4098
2017-08-31,36.9555
2017-07-31,35.2181
2017-06-30,34.4888
2017-05-31,33.9326
2017-04-28,32.1910
2017-03-31,30.8084
2017-02-28,28.8948
2017-01-31,26.9832
2016-12-30,26.0866
2016-11-30,25.4449
2016-10-31,25.1273
2016-09-30,24.4404
2016-08-31,23.5689
2016-07-29,23.1305
2016-06-30,22.8126
2016-05-31,23.2976
2016-04-29,23.5291
2016-03-31,24.5509
2016-02-29,24.3685
2016-01-29,25.3998
2015-12-31,26.7765
2015-11-30,27.8065
2015-10-30,27.8347
2015-09-30,27.7748
2015-08-31,28.6361
2015-07-31,29.4655
2015-06-30,29.7106
2015-05-29,29.5568
2015-04-30,28.7871
2015-03-31,28.2536
2015-02-27,27.5365
2015-01-30,26.0933
2014-12-31,25.2742
2014-11-28,24.7914
2014-10-31,23.2190
2014-09-30,22.1958
2014-08-29,21.4968
2014-07-31,20.3356
2014-06-30,19.4736
2014-05-30,18.5473
2014-04-30,17.5243
2014-03-31,16.7877
2014-02-28,16.5397
2014-01-31,16.3441
2013-12-31,16.4761
2013-11-29,15.7922
2013-10-31,14.9364
2013-09-30,14.3007
2013-08-30,14.0986
2013-07-31,13.6945
2013-06-28,13.6974
2013-05-31,14.5007
2013-04-30,14.8576
2013-03-28,15.4882
2013-02-28,16.3453
2013-01-31,17.5143
2012-12-31,18.9129
2012-11-30,19.7108
2012-10-31,20.0119
2012-09-28,20.2661
2012-08-31,19.5681
2012-07-31,18.5961
2012-06-29,18.0137
2012-05-31,17.5399
2012-04-30,16.9331
2012-03-30,15.9778
2012-02-29,14.4320
2012-01-31,13.0915
2011-12-30,12.4299
2011-11-30,12.2166
2011-10-31,12.2161
2011-09-30,11.8824
2011-08-31,11.7271
2011-07-29,11.4440
2011-06-30,10.9604
2011-05-31,11.0312
2011-04-29,10.9338
2011-03-31,10.7424
2011-02-28,10.4766
2011-01-31,10.0246
2010-12-31,9.5765
2010-11-30,9.1743
2010-10-29,8.7625
2010-09-30,8.3227
2010-08-31,7.9434
2010-07-30,7.9653
2010-06-30,7.7796
2010-05-28,7.5841
2010-04-30,7.2247
2010-03-31,6.6617
2010-02-26,6.2405
2010-01-29,6.0709
2009-12-31,5.9973
