,DEMA_monthly_10
2022-04-04,221.0093
2022-03-31,222.3496
2022-02-28,226.0412
2022-01-31,232.3659
2021-12-31,228.4371
2021-11-30,218.9448
2021-10-29,214.5742
2021-09-30,206.1165
2021-08-31,201.6223
2021-07-30,198.2326
2021-06-30,189.2085
2021-05-28,179.7152
2021-04-30,173.7906
2021-03-31,160.9923
2021-02-26,150.8527
2021-01-29,147.2894
2020-12-31,147.3048
2020-11-30,143.6168
2020-10-30,142.9817
2020-09-30,142.2738
2020-08-31,138.5912
2020-07-31,132.5354
2020-06-30,127.1387
2020-05-29,123.3545
2020-04-30,119.9341
2020-03-31,123.5527
2020-02-28,140.5920
2020-01-31,146.6068
2019-12-31,155.2514
2019-11-29,154.5621
2019-10-31,154.9241
2019-09-30,153.0079
2019-08-30,149.1103
2019-07-31,155.6942
2019-06-28,158.9770
2019-05-31,161.7320
2019-04-30,164.8932
2019-03-29,164.0138
2019-02-28,160.7445
2019-01-31,159.8728
2018-12-31,159.5226
2018-11-30,159.4840
2018-10-31,150.3951
2018-09-28,145.6086
2018-08-31,135.2177
2018-07-31,122.9398
2018-06-29,116.1716
2018-05-31,109.4513
2018-04-30,103.5607
2018-03-29,101.8821
2018-02-28,98.0476
2018-01-31,95.0151
2017-12-29,90.0700
2017-11-30,91.2532
2017-10-31,92.7366
2017-09-29,103.4622
2017-08-31,110.7775
2017-07-31,121.5531
2017-06-30,130.2602
2017-05-31,140.2098
2017-04-28,146.4243
2017-03-31,151.1952
2017-02-28,155.0047
2017-01-31,156.5517
2016-12-30,155.3209
2016-11-30,151.5440
2016-10-31,146.2428
2016-09-30,151.8877
2016-08-31,155.6159
2016-07-29,157.0893
2016-06-30,153.6776
2016-05-31,152.6038
2016-04-29,154.5206
2016-03-31,156.1058
2016-02-29,156.3769
2016-01-29,161.8092
2015-12-31,167.4488
2015-11-30,175.4958
2015-10-30,180.8064
2015-09-30,172.2713
2015-08-31,164.2573
2015-07-31,159.3214
2015-06-30,152.8549
2015-05-29,150.3092
2015-04-30,149.2762
2015-03-31,152.0113
2015-02-27,152.5240
2015-01-30,150.6558
2014-12-31,146.0438
2014-11-28,139.3738
2014-10-31,135.3303
2014-09-30,129.6410
2014-08-29,128.8356
2014-07-31,124.8674
2014-06-30,125.7857
2014-05-30,120.7949
2014-04-30,118.3935
2014-03-31,116.0786
2014-02-28,110.4172
2014-01-31,102.1665
2013-12-31,96.1890
2013-11-29,89.7146
2013-10-31,85.0095
2013-09-30,79.3494
2013-08-30,78.7115
2013-07-31,78.9276
2013-06-28,78.1127
2013-05-31,77.5061
2013-04-30,76.4913
2013-03-28,74.0501
2013-02-28,71.2390
2013-01-31,70.1434
2012-12-31,69.8520
2012-11-30,69.9410
2012-10-31,69.7262
2012-09-28,70.3570
2012-08-31,72.2390
2012-07-31,73.6032
2012-06-29,75.7750
2012-05-31,79.4080
2012-04-30,82.1555
2012-03-30,77.6381
2012-02-29,72.7556
2012-01-31,67.4282
2011-12-30,63.8659
2011-11-30,61.9752
2011-10-31,59.5713
2011-09-30,58.0561
2011-08-31,58.9430
2011-07-29,59.0082
2011-06-30,61.4817
2011-05-31,63.2362
2011-04-29,63.9840
2011-03-31,63.4384
2011-02-28,62.4989
2011-01-31,62.3600
2010-12-31,61.4831
2010-11-30,59.2050
2010-10-29,56.0763
2010-09-30,52.1547
2010-08-31,49.4282
2010-07-30,47.4668
2010-06-30,45.1415
2010-05-28,43.3595
2010-04-30,40.2669
2010-03-31,38.8862
2010-02-26,38.3536
2010-01-29,38.1214
2009-12-31,38.3665
2009-11-30,38.2487
2009-10-30,38.5958
2009-09-30,39.8994
2009-08-31,40.7667
2009-07-31,40.6415
2009-06-30,38.7703
2009-05-29,38.2025
2009-04-30,36.9657
2009-03-31,34.7886
2009-02-27,32.9721
2009-01-30,31.7508
2008-12-31,32.4435
2008-11-28,33.0120
2008-10-31,35.1947
2008-09-30,37.7743
2008-08-29,37.6787
2008-07-31,36.1318
2008-06-30,34.8418
2008-05-30,34.0380
2008-04-30,32.3667
2008-03-31,32.4727
2008-02-29,32.8928
2008-01-31,33.7077
2007-12-31,33.8779
2007-11-30,33.1923
2007-10-31,33.1484
2007-09-28,33.8655
2007-08-31,35.0683
2007-07-31,35.8759
2007-06-29,37.2730
2007-05-31,36.7343
2007-04-30,35.6362
2007-03-30,34.2289
2007-02-28,33.4236
2007-01-31,32.7362
2006-12-29,31.6951
2006-11-30,31.3011
2006-10-31,30.8052
2006-09-29,30.4117
2006-08-31,30.7821
2006-07-31,32.5072
2006-06-30,34.7936
2006-05-31,38.4372
2006-04-28,39.5362
2006-03-31,40.1022
2006-02-28,40.2192
2006-01-31,40.4510
2005-12-30,39.7732
2005-11-30,38.8265
2005-10-31,37.9337
2005-09-30,38.6400
2005-08-31,39.0113
2005-07-29,38.6062
2005-06-30,35.7502
2005-05-31,33.0179
2005-04-29,30.7094
2005-03-31,29.1624
2005-02-28,27.8241
2005-01-31,26.0022
2004-12-31,25.5163
2004-11-30,24.6808
2004-10-29,24.2019
2004-09-30,24.1292
2004-08-31,25.3072
2004-07-30,26.1349
2004-06-30,27.1898
2004-05-28,26.6206
2004-04-30,26.1555
2004-03-31,25.3944
2004-02-27,24.9917
2004-01-30,24.7246
2003-12-31,24.4475
2003-11-28,23.5217
2003-10-31,22.1831
2003-09-30,20.7921
2003-08-29,19.8756
2003-07-31,18.0889
2003-06-30,16.5787
