,DEMA_monthly_10
2022-04-04,123.4388
2022-03-31,127.1576
2022-02-28,132.4207
2022-01-31,132.9207
2021-12-31,137.2346
2021-11-30,129.3660
2021-10-29,111.8983
2021-09-30,105.0506
2021-08-31,103.2731
2021-07-30,97.1238
2021-06-30,90.6226
2021-05-28,87.1286
2021-04-30,88.4006
2021-03-31,89.2054
2021-02-26,91.4197
2021-01-29,91.4183
2020-12-31,90.5729
2020-11-30,86.3686
2020-10-30,79.9298
2020-09-30,78.6598
2020-08-31,73.6185
2020-07-31,62.5767
2020-06-30,53.4280
2020-05-29,51.9778
2020-04-30,49.3138
2020-03-31,46.1823
2020-02-28,44.8822
2020-01-31,42.9696
2019-12-31,39.5609
2019-11-29,35.3429
2019-10-31,32.5434
2019-09-30,31.0079
2019-08-30,31.0539
2019-07-31,29.9273
2019-06-28,28.7640
2019-05-31,27.1451
2019-04-30,26.2016
2019-03-29,24.7540
2019-02-28,23.6714
2019-01-31,23.0299
2018-12-31,21.7051
2018-11-30,22.5042
2018-10-31,22.2359
2018-09-28,23.1622
2018-08-31,18.6659
2018-07-31,15.0951
2018-06-29,13.2985
2018-05-31,12.3475
2018-04-30,11.6174
2018-03-29,11.8978
2018-02-28,12.6353
2018-01-31,12.6937
2017-12-29,12.0277
2017-11-30,12.6551
2017-10-31,13.2040
2017-09-29,13.8674
2017-08-31,13.9317
2017-07-31,13.8583
2017-06-30,13.4351
2017-05-31,13.3137
2017-04-28,13.6646
2017-03-31,13.1288
2017-02-28,11.7814
2017-01-31,9.9452
2016-12-30,9.2430
2016-11-30,7.8185
2016-10-31,6.9445
2016-09-30,6.4827
2016-08-31,5.9719
2016-07-29,5.0374
2016-06-30,3.9982
2016-05-31,3.3514
2016-04-29,2.7270
2016-03-31,2.3385
2016-02-29,2.1292
2016-01-29,2.1676
2015-12-31,2.1970
2015-11-30,1.9432
2015-10-30,1.8366
2015-09-30,1.8097
2015-08-31,1.9650
2015-07-31,2.1424
2015-06-30,2.3376
2015-05-29,2.4003
2015-04-30,2.5472
2015-03-31,2.7623
2015-02-27,2.8722
2015-01-30,2.8357
2014-12-31,3.0347
2014-11-28,3.2647
2014-10-31,3.5256
2014-09-30,3.8744
2014-08-29,4.0714
2014-07-31,3.9953
2014-06-30,4.0057
2014-05-30,3.8921
2014-04-30,3.8216
2014-03-31,3.6850
2014-02-28,3.5365
2014-01-31,3.4714
2013-12-31,3.5104
2013-11-29,3.3692
2013-10-31,3.2852
2013-09-30,3.3105
2013-08-30,3.1409
2013-07-31,3.1605
2013-06-28,2.9731
2013-05-31,2.5947
2013-04-30,2.1383
2013-03-28,2.0729
2013-02-28,2.1321
2013-01-31,2.2678
2012-12-31,2.4327
2012-11-30,2.7762
2012-10-31,3.3595
2012-09-28,4.2404
2012-08-31,4.8614
2012-07-31,5.5598
2012-06-29,6.3612
2012-05-31,6.7025
2012-04-30,7.0088
2012-03-30,6.8515
2012-02-29,6.3484
2012-01-31,5.9771
2011-12-30,5.7747
2011-11-30,6.1008
2011-10-31,6.4244
2011-09-30,6.8094
2011-08-31,7.6694
2011-07-29,8.0485
2011-06-30,8.3279
2011-05-31,8.8521
2011-04-29,8.7920
2011-03-31,8.5101
2011-02-28,8.3404
2011-01-31,7.8285
2010-12-31,7.7454
2010-11-30,7.4700
2010-10-29,7.4891
2010-09-30,7.4878
2010-08-31,7.5783
2010-07-30,8.3571
2010-06-30,8.5492
2010-05-28,8.8595
2010-04-30,8.6914
2010-03-31,8.2121
2010-02-26,7.4495
2010-01-29,7.0048
2009-12-31,6.5851
2009-11-30,5.0146
2009-10-30,4.0858
2009-09-30,3.9137
2009-08-31,3.2194
2009-07-31,2.8806
2009-06-30,2.7587
2009-05-29,2.5277
2009-04-30,1.9512
2009-03-31,1.6311
2009-02-27,1.4996
2009-01-30,1.7664
2008-12-31,2.1808
2008-11-28,2.8138
2008-10-31,3.6381
2008-09-30,4.2998
2008-08-29,4.4708
2008-07-31,4.3027
2008-06-30,5.0740
2008-05-30,5.4637
2008-04-30,5.5971
2008-03-31,6.2687
2008-02-29,7.2879
2008-01-31,8.1546
2007-12-31,9.2337
2007-11-30,10.8047
2007-10-31,11.9837
2007-09-28,12.1596
2007-08-31,12.4146
2007-07-31,12.9230
2007-06-29,13.4464
2007-05-31,13.8951
2007-04-30,14.5987
2007-03-30,15.8335
2007-02-28,17.9165
2007-01-31,19.8949
2006-12-29,22.3987
2006-11-30,23.6673
2006-10-31,24.8565
2006-09-29,26.6039
2006-08-31,27.3598
2006-07-31,28.3027
2006-06-30,32.0366
2006-05-31,34.7543
2006-04-28,35.4282
2006-03-31,35.5619
2006-02-28,35.2429
2006-01-31,32.2148
2005-12-30,26.6189
2005-11-30,23.9870
2005-10-31,22.3465
2005-09-30,21.4008
2005-08-31,19.1978
2005-07-29,18.1722
2005-06-30,17.0752
2005-05-31,16.8025
2005-04-29,16.8396
2005-03-31,17.8376
2005-02-28,18.3104
2005-01-31,18.3174
2004-12-31,19.0183
2004-11-30,17.1420
2004-10-29,14.9088
2004-09-30,13.8697
2004-08-31,14.1610
2004-07-30,15.2365
2004-06-30,16.1841
2004-05-28,15.9016
2004-04-30,15.6351
2004-03-31,15.8239
2004-02-27,15.1335
2004-01-30,14.7028
2003-12-31,14.1364
2003-11-28,13.3083
2003-10-31,10.7853
2003-09-30,8.6024
2003-08-29,7.4851
2003-07-31,5.9149
2003-06-30,5.6082
2003-05-30,5.6291
2003-04-30,5.3123
2003-03-31,4.8650
2003-02-28,4.8841
2003-01-31,5.2832
2002-12-31,6.0007
2002-11-29,6.4927
2002-10-31,6.0972
2002-09-30,6.9209
2002-08-30,8.4683
2002-07-31,9.0654
2002-06-28,10.3112
2002-05-31,11.3084
2002-04-30,11.9596
2002-03-28,13.0173
2002-02-28,12.9378
2002-01-31,13.4443
