,DEMA_monthly_10
2022-04-04,321.0003
2022-03-31,312.3563
2022-02-28,300.6425
2022-01-31,299.2624
2021-12-31,303.8269
2021-11-30,298.8190
2021-10-29,293.5217
2021-09-30,274.9790
2021-08-31,264.8211
2021-07-30,250.1505
2021-06-30,241.8827
2021-05-28,240.0122
2021-04-30,230.6343
2021-03-31,218.5340
2021-02-26,211.6512
2021-01-29,203.2558
2020-12-31,202.6959
2020-11-30,198.4117
2020-10-30,195.3544
2020-09-30,200.3514
2020-08-31,197.3367
2020-07-31,195.9230
2020-06-30,191.5962
2020-05-29,191.4046
2020-04-30,189.1364
2020-03-31,196.6333
2020-02-28,210.0544
2020-01-31,208.9700
2019-12-31,201.7770
2019-11-29,197.1703
2019-10-31,192.6868
2019-09-30,190.8984
2019-08-30,188.1733
2019-07-31,183.6120
2019-06-28,179.5888
2019-05-31,172.4322
2019-04-30,168.1398
2019-03-29,162.0804
2019-02-28,157.9930
2019-01-31,151.9397
2018-12-31,150.2741
2018-11-30,152.7512
2018-10-31,147.3537
2018-09-28,143.7963
2018-08-31,140.0838
2018-07-31,138.5241
2018-06-29,137.3608
2018-05-31,138.5981
2018-04-30,138.9755
2018-03-29,138.2214
2018-02-28,138.1370
2018-01-31,137.8560
2017-12-29,136.4996
2017-11-30,138.1177
2017-10-31,137.4089
2017-09-29,134.8365
2017-08-31,130.1453
2017-07-31,126.5622
2017-06-30,121.9540
2017-05-31,117.9399
2017-04-28,113.2482
2017-03-31,111.5089
2017-02-28,109.6882
2017-01-31,108.4122
2016-12-30,107.8320
2016-11-30,107.5673
2016-10-31,106.0002
2016-09-30,105.1468
2016-08-31,103.3109
2016-07-29,101.1987
2016-06-30,100.0445
2016-05-31,97.6087
2016-04-29,94.2187
2016-03-31,91.3281
2016-02-29,87.8145
2016-01-29,86.9028
2015-12-31,88.7876
2015-11-30,89.5991
2015-10-30,89.5981
2015-09-30,90.1489
2015-08-31,92.9079
2015-07-31,94.5223
2015-06-30,93.5327
2015-05-29,92.6549
2015-04-30,90.7129
2015-03-31,90.0495
2015-02-27,89.2020
2015-01-30,86.1870
2014-12-31,86.2785
2014-11-28,84.4168
2014-10-31,82.7632
2014-09-30,83.1023
2014-08-29,82.8566
2014-07-31,82.6017
2014-06-30,83.2615
2014-05-30,81.7364
