,DEMA_monthly_10
2022-04-04,255.9317
2022-03-31,253.2722
2022-02-28,249.0138
2022-01-31,241.2667
2021-12-31,238.2142
2021-11-30,235.2440
2021-10-29,237.8264
2021-09-30,240.2316
2021-08-31,240.7430
2021-07-30,239.1898
2021-06-30,235.3253
2021-05-28,235.5226
2021-04-30,236.7040
2021-03-31,235.3174
2021-02-26,235.8742
2021-01-29,237.8229
2020-12-31,231.6137
2020-11-30,228.2354
2020-10-30,230.6741
2020-09-30,235.5889
2020-08-31,241.5498
2020-07-31,245.5707
2020-06-30,234.5399
2020-05-29,237.5320
2020-04-30,238.6190
2020-03-31,237.6766
2020-02-28,245.9830
2020-01-31,253.9649
2019-12-31,248.7468
2019-11-29,242.8807
2019-10-31,240.8343
2019-09-30,238.9786
2019-08-30,237.6091
2019-07-31,235.5261
2019-06-28,233.0495
2019-05-31,229.9173
2019-04-30,233.6752
2019-03-29,235.5176
2019-02-28,234.0414
2019-01-31,232.5583
2018-12-31,230.0662
2018-11-30,236.5293
2018-10-31,233.8526
2018-09-28,239.1510
2018-08-31,233.2314
2018-07-31,224.8381
2018-06-29,217.9606
2018-05-31,212.8745
2018-04-30,213.4740
2018-03-29,209.7303
2018-02-28,210.6286
2018-01-31,209.5954
2017-12-29,199.2395
2017-11-30,196.8506
2017-10-31,187.8343
2017-09-29,183.4440
2017-08-31,182.5051
2017-07-31,179.8609
2017-06-30,175.2568
2017-05-31,171.4013
2017-04-28,168.6939
2017-03-31,165.7677
2017-02-28,163.0726
2017-01-31,159.7159
2016-12-30,157.3631
2016-11-30,158.7842
2016-10-31,159.3685
2016-09-30,160.4105
2016-08-31,156.7965
2016-07-29,152.9683
2016-06-30,148.0743
2016-05-31,143.8607
2016-04-29,139.5353
2016-03-31,135.6413
2016-02-29,134.0509
2016-01-29,133.7995
2015-12-31,134.1567
2015-11-30,131.0200
2015-10-30,128.4510
2015-09-30,127.9388
2015-08-31,131.0276
2015-07-31,131.9451
2015-06-30,128.5887
2015-05-29,128.0253
2015-04-30,127.7497
2015-03-31,127.0146
2015-02-27,124.7191
2015-01-30,120.4010
2014-12-31,117.7524
2014-11-28,113.5545
2014-10-31,107.4957
2014-09-30,103.7296
2014-08-29,104.3399
2014-07-31,103.9251
2014-06-30,103.5761
2014-05-30,102.1443
2014-04-30,100.4930
2014-03-31,99.9062
2014-02-28,97.3766
2014-01-31,94.7309
2013-12-31,93.7377
2013-11-29,91.3254
2013-10-31,88.8605
2013-09-30,86.7181
