,DEMA_monthly_10
2022-04-04,214.8250
2022-03-31,210.1106
2022-02-28,202.7033
2022-01-31,208.2936
2021-12-31,209.4083
2021-11-30,208.8416
2021-10-29,213.7617
2021-09-30,215.3419
2021-08-31,222.8841
2021-07-30,224.2129
2021-06-30,227.2422
2021-05-28,226.3839
2021-04-30,214.2421
2021-03-31,202.9143
2021-02-26,185.8657
2021-01-29,169.4012
2020-12-31,161.2734
2020-11-30,150.7897
2020-10-30,140.0945
2020-09-30,132.7185
2020-08-31,126.5188
2020-07-31,121.0894
2020-06-30,117.8665
2020-05-29,116.7415
2020-04-30,118.0241
2020-03-31,121.4177
2020-02-28,126.5974
2020-01-31,130.0713
2019-12-31,131.6728
2019-11-29,127.2607
2019-10-31,122.5282
2019-09-30,119.0871
2019-08-30,119.7546
2019-07-31,123.7458
2019-06-28,123.8276
2019-05-31,122.4392
2019-04-30,127.4174
2019-03-29,125.9532
2019-02-28,125.9251
2019-01-31,125.1014
2018-12-31,125.6972
2018-11-30,129.3068
2018-10-31,130.5715
2018-09-28,138.0522
2018-08-31,135.5775
2018-07-31,137.6177
2018-06-29,138.1286
2018-05-31,142.2087
2018-04-30,140.8102
2018-03-29,141.6368
2018-02-28,141.4390
2018-01-31,137.8270
2017-12-29,129.2552
2017-11-30,119.7165
2017-10-31,113.1354
2017-09-29,106.1335
2017-08-31,101.2022
2017-07-31,97.2218
2017-06-30,93.0755
2017-05-31,90.2122
2017-04-28,86.9966
2017-03-31,83.7747
2017-02-28,83.3586
2017-01-31,81.1301
2016-12-30,78.3933
2016-11-30,76.0382
2016-10-31,71.6728
2016-09-30,70.4381
2016-08-31,66.9589
2016-07-29,64.8794
2016-06-30,61.7635
2016-05-31,60.5550
2016-04-29,60.2307
2016-03-31,57.8576
2016-02-29,55.4820
2016-01-29,55.7445
2015-12-31,58.2872
2015-11-30,59.9847
2015-10-30,60.6252
2015-09-30,61.4716
2015-08-31,65.8317
2015-07-31,67.6857
2015-06-30,69.4381
2015-05-29,69.8512
2015-04-30,70.2811
2015-03-31,70.3477
2015-02-27,73.2467
2015-01-30,76.1433
2014-12-31,81.1117
2014-11-28,83.8318
2014-10-31,84.1508
2014-09-30,84.1995
2014-08-29,85.2864
2014-07-31,83.0422
2014-06-30,82.8829
2014-05-30,79.9677
2014-04-30,78.2290
2014-03-31,74.6721
2014-02-28,72.1663
2014-01-31,69.5977
2013-12-31,67.2009
2013-11-29,65.2807
2013-10-31,64.8976
2013-09-30,64.8471
2013-08-30,65.0022
2013-07-31,65.5462
2013-06-28,66.1832
2013-05-31,67.4162
2013-04-30,67.9513
2013-03-28,69.0782
2013-02-28,69.9983
2013-01-31,69.3791
2012-12-31,66.4844
2012-11-30,65.6423
2012-10-31,66.2280
2012-09-28,67.2106
