,DEMA_monthly_10
2022-04-04,131.6733
2022-03-31,127.7179
2022-02-28,121.8063
2022-01-31,119.8108
2021-12-31,119.1386
2021-11-30,119.7640
2021-10-29,120.6666
2021-09-30,118.3057
2021-08-31,118.0452
2021-07-30,113.6582
2021-06-30,109.9039
2021-05-28,105.1487
2021-04-30,96.5717
2021-03-31,88.8038
2021-02-26,82.4355
2021-01-29,76.3578
2020-12-31,74.1729
2020-11-30,69.8691
2020-10-30,69.1989
2020-09-30,70.8322
2020-08-31,70.0446
2020-07-31,68.7779
2020-06-30,67.8788
2020-05-29,72.7943
2020-04-30,81.9738
2020-03-31,91.5116
2020-02-28,100.2533
2020-01-31,104.6671
2019-12-31,105.5262
2019-11-29,106.4012
2019-10-31,106.7945
2019-09-30,104.4985
2019-08-30,99.7091
2019-07-31,95.0053
2019-06-28,90.6117
2019-05-31,86.0382
2019-04-30,82.2059
2019-03-29,77.7748
2019-02-28,75.9645
2019-01-31,73.3027
2018-12-31,71.9962
2018-11-30,71.6996
2018-10-31,69.7052
2018-09-28,68.2376
2018-08-31,66.9769
2018-07-31,65.5275
2018-06-29,63.9909
2018-05-31,65.4782
2018-04-30,66.6695
2018-03-29,67.8599
2018-02-28,67.8499
2018-01-31,67.8710
2017-12-29,66.9324
2017-11-30,66.3978
2017-10-31,65.9355
2017-09-29,67.2633
2017-08-31,66.4741
2017-07-31,65.4490
2017-06-30,64.2850
2017-05-31,64.1246
2017-04-28,64.9731
2017-03-31,65.2723
2017-02-28,65.5327
2017-01-31,65.7216
2016-12-30,66.7980
2016-11-30,66.1367
2016-10-31,64.9282
2016-09-30,65.4626
2016-08-31,64.2626
2016-07-29,62.0460
2016-06-30,59.8466
2016-05-31,56.6905
2016-04-29,54.7238
2016-03-31,53.1515
2016-02-29,51.1943
2016-01-29,49.4990
2015-12-31,49.2195
2015-11-30,48.1953
2015-10-30,46.3697
2015-09-30,44.1855
2015-08-31,43.5877
2015-07-31,43.4595
2015-06-30,42.1965
2015-05-29,42.3142
2015-04-30,42.4632
2015-03-31,42.6063
2015-02-27,41.7998
2015-01-30,41.0304
2014-12-31,40.7735
2014-11-28,39.9204
2014-10-31,39.2230
2014-09-30,38.4345
2014-08-29,38.5782
2014-07-31,38.5373
2014-06-30,39.1931
2014-05-30,39.3305
2014-04-30,39.2896
2014-03-31,39.3008
2014-02-28,39.2937
2014-01-31,40.0116
2013-12-31,40.3708
2013-11-29,39.4214
2013-10-31,38.2105
2013-09-30,37.3308
2013-08-30,37.0814
2013-07-31,37.3300
2013-06-28,36.4532
2013-05-31,36.2543
2013-04-30,35.5621
2013-03-28,34.0196
2013-02-28,32.4441
2013-01-31,31.1429
2012-12-31,30.1986
2012-11-30,29.9765
2012-10-31,29.3050
2012-09-28,28.5740
2012-08-31,28.1929
2012-07-31,27.4960
2012-06-29,26.7770
2012-05-31,25.6856
2012-04-30,24.9574
2012-03-30,24.0790
2012-02-29,23.2345
2012-01-31,21.9862
2011-12-30,21.0904
2011-11-30,20.5895
2011-10-31,20.3014
2011-09-30,20.1369
2011-08-31,20.7419
2011-07-29,21.1750
2011-06-30,21.9285
2011-05-31,22.3416
2011-04-29,22.6115
2011-03-31,22.5505
2011-02-28,22.0874
2011-01-31,21.1645
2010-12-31,20.5022
2010-11-30,19.6893
2010-10-29,19.1581
2010-09-30,18.6329
2010-08-31,18.0998
2010-07-30,18.1254
2010-06-30,17.8855
2010-05-28,18.0482
2010-04-30,17.9736
2010-03-31,17.4918
2010-02-26,16.6938
2010-01-29,16.3118
2009-12-31,15.9404
2009-11-30,15.4863
2009-10-30,15.2018
2009-09-30,14.8759
2009-08-31,14.2751
2009-07-31,13.6773
2009-06-30,13.3462
2009-05-29,13.4454
2009-04-30,13.6589
2009-03-31,13.6253
2009-02-27,13.9299
2009-01-30,15.1315
2008-12-31,16.4202
2008-11-28,16.2647
2008-10-31,16.1566
2008-09-30,16.9292
2008-08-29,17.3639
2008-07-31,17.7911
2008-06-30,18.8885
2008-05-30,21.0487
2008-04-30,21.5760
2008-03-31,22.0783
2008-02-29,22.2175
2008-01-31,22.7465
2007-12-31,23.1213
2007-11-30,23.3812
2007-10-31,23.7209
2007-09-28,24.2368
2007-08-31,24.0368
2007-07-31,24.1566
2007-06-29,25.0645
2007-05-31,25.2223
2007-04-30,25.0096
2007-03-30,24.7642
2007-02-28,25.1427
2007-01-31,25.5277
2006-12-29,25.6565
2006-11-30,25.6741
2006-10-31,26.0170
2006-09-29,26.1189
2006-08-31,25.6223
2006-07-31,25.3614
2006-06-30,24.8761
2006-05-31,24.2413
2006-04-28,23.7408
2006-03-31,23.8348
2006-02-28,24.0874
2006-01-31,23.9350
2005-12-30,23.4291
2005-11-30,22.9433
2005-10-31,22.3950
2005-09-30,22.1232
2005-08-31,21.9146
2005-07-29,21.9383
2005-06-30,21.9020
2005-05-31,22.2490
2005-04-29,22.8035
2005-03-31,23.3892
2005-02-28,23.3374
2005-01-31,23.0606
2004-12-31,22.8148
2004-11-30,22.4360
2004-10-29,21.8528
2004-09-30,21.7703
2004-08-31,21.7747
2004-07-30,22.0375
2004-06-30,22.4864
2004-05-28,22.2295
2004-04-30,22.1075
2004-03-31,22.3650
2004-02-27,22.0854
2004-01-30,21.3957
2003-12-31,20.8330
2003-11-28,20.4199
2003-10-31,20.1479
2003-09-30,19.7088
2003-08-29,19.3345
2003-07-31,18.8052
2003-06-30,18.3330
2003-05-30,18.2159
2003-04-30,18.1137
2003-03-31,18.0407
2003-02-28,18.3584
2003-01-31,18.7715
2002-12-31,19.2593
2002-11-29,19.5296
2002-10-31,19.7351
2002-09-30,20.1258
2002-08-30,21.1812
2002-07-31,21.7221
2002-06-28,22.3480
2002-05-31,21.7433
2002-04-30,21.2028
2002-03-28,20.1271
2002-02-28,19.3641
2002-01-31,19.1287
2001-12-31,19.1760
2001-11-30,19.3061
2001-10-31,19.4203
2001-09-28,19.8597
2001-08-31,19.4733
2001-07-31,19.3316
2001-06-29,19.2502
