,DEMA_monthly_10
2022-04-04,67.6899
2022-03-31,65.6750
2022-02-28,63.1967
2022-01-31,62.4631
2021-12-31,61.4883
2021-11-30,59.8561
2021-10-29,60.3864
2021-09-30,60.6111
2021-08-31,61.1625
2021-07-30,59.9455
2021-06-30,59.4983
2021-05-28,60.0577
2021-04-30,59.1911
2021-03-31,57.4762
2021-02-26,56.5374
2021-01-29,58.3546
2020-12-31,59.7751
2020-11-30,59.8844
2020-10-30,59.7701
2020-09-30,58.9830
2020-08-31,58.7113
2020-07-31,58.7058
2020-06-30,57.2695
2020-05-29,57.7531
2020-04-30,58.3037
2020-03-31,59.8131
2020-02-28,61.0820
2020-01-31,62.0024
2019-12-31,59.9102
2019-11-29,59.3738
2019-10-31,59.1999
2019-09-30,57.7671
2019-08-30,55.8867
2019-07-31,53.6417
2019-06-28,52.7087
2019-05-31,51.5083
2019-04-30,50.5683
2019-03-29,49.6291
2019-02-28,48.3077
2019-01-31,46.9431
2018-12-31,45.9882
2018-11-30,45.8320
2018-10-31,44.5865
2018-09-28,44.0698
2018-08-31,43.5527
2018-07-31,42.7305
2018-06-29,42.1087
2018-05-31,41.6773
2018-04-30,41.5405
2018-03-29,41.0582
2018-02-28,41.1504
2018-01-31,42.3863
2017-12-29,43.2445
2017-11-30,43.3464
2017-10-31,42.4054
2017-09-29,41.8266
2017-08-31,41.8047
2017-07-31,40.8540
2017-06-30,40.5579
2017-05-31,40.1070
2017-04-28,39.0004
2017-03-31,38.3815
2017-02-28,37.7639
2017-01-31,36.9805
2016-12-30,36.7639
2016-11-30,36.8133
2016-10-31,37.3768
2016-09-30,37.4669
2016-08-31,37.5849
2016-07-29,37.6949
2016-06-30,36.6700
2016-05-31,34.9665
2016-04-29,34.1439
2016-03-31,33.5277
2016-02-29,31.9857
2016-01-29,30.9487
2015-12-31,29.8868
2015-11-30,29.4716
2015-10-30,29.2806
2015-09-30,28.7133
2015-08-31,28.2026
2015-07-31,28.4310
2015-06-30,28.2733
2015-05-29,28.9184
2015-04-30,28.9065
2015-03-31,29.0326
2015-02-27,28.7986
2015-01-30,28.3531
2014-12-31,26.8665
2014-11-28,25.8985
