,DEMA_monthly_10
2022-04-04,324.6408
2022-03-31,342.0044
2022-02-28,366.7063
2022-01-31,396.3254
2021-12-31,418.2223
2021-11-30,425.6663
2021-10-29,439.2209
2021-09-30,419.0425
2021-08-31,406.3675
2021-07-30,373.8822
2021-06-30,345.2283
2021-05-28,321.9153
2021-04-30,303.6514
2021-03-31,280.5262
2021-02-26,267.4875
2021-01-29,250.7534
2020-12-31,239.5429
2020-11-30,227.8441
2020-10-30,218.2731
2020-09-30,207.8092
2020-08-31,193.7156
2020-07-31,177.6122
2020-06-30,164.4690
2020-05-29,157.4911
2020-04-30,145.5399
2020-03-31,144.9228
2020-02-28,152.1931
2020-01-31,148.7216
2019-12-31,144.3140
2019-11-29,139.0456
2019-10-31,135.1906
2019-09-30,136.7153
2019-08-30,137.5981
2019-07-31,139.1786
2019-06-28,139.6613
2019-05-31,136.8583
2019-04-30,140.2311
2019-03-29,137.8641
2019-02-28,132.3324
2019-01-31,126.0759
2018-12-31,125.9600
2018-11-30,130.0989
2018-10-31,125.8152
2018-09-28,125.6533
2018-08-31,119.5689
2018-07-31,116.1214
2018-06-29,110.9851
2018-05-31,109.3210
2018-04-30,109.0869
2018-03-29,110.1399
2018-02-28,110.2858
2018-01-31,110.3863
2017-12-29,110.8700
2017-11-30,109.5422
2017-10-31,109.8874
2017-09-29,104.7490
2017-08-31,101.3185
2017-07-31,96.1782
2017-06-30,93.8339
2017-05-31,89.2365
2017-04-28,87.0015
2017-03-31,84.9565
2017-02-28,82.0248
2017-01-31,79.3611
2016-12-30,78.5001
2016-11-30,79.3763
2016-10-31,82.7900
2016-09-30,85.1878
2016-08-31,84.9946
2016-07-29,84.6819
2016-06-30,82.0445
2016-05-31,80.8352
2016-04-29,77.5568
2016-03-31,76.0330
2016-02-29,75.3966
2016-01-29,75.5883
2015-12-31,75.4125
2015-11-30,72.3537
2015-10-30,69.8790
2015-09-30,71.5482
2015-08-31,74.4946
2015-07-31,75.9675
2015-06-30,73.9382
2015-05-29,74.3242
2015-04-30,73.8151
2015-03-31,74.3952
2015-02-27,70.5009
2015-01-30,66.2820
2014-12-31,63.7460
2014-11-28,62.7721
2014-10-31,60.8669
2014-09-30,58.9192
2014-08-29,57.7392
2014-07-31,56.3597
2014-06-30,56.6076
2014-05-30,57.1662
2014-04-30,57.7939
2014-03-31,58.4612
2014-02-28,56.2818
2014-01-31,53.6399
2013-12-31,51.2582
2013-11-29,49.5118
2013-10-31,47.4640
2013-09-30,45.9528
2013-08-30,45.1673
2013-07-31,44.1411
2013-06-28,42.9292
2013-05-31,43.2522
2013-04-30,42.6116
2013-03-28,41.6092
2013-02-28,39.8579
2013-01-31,39.0286
2012-12-31,37.6165
2012-11-30,37.4010
2012-10-31,36.6826
2012-09-28,36.1593
2012-08-31,34.4217
2012-07-31,33.5394
2012-06-29,33.3766
2012-05-31,33.7300
2012-04-30,33.9345
2012-03-30,33.2571
2012-02-29,32.1085
2012-01-31,31.0160
2011-12-30,30.1915
2011-11-30,31.9989
2011-10-31,34.0149
2011-09-30,35.0000
2011-08-31,37.9640
2011-07-29,39.9303
2011-06-30,39.6734
