,DEMA_monthly_10
2022-04-04,36.4647
2022-03-31,36.3821
2022-02-28,35.4028
2022-01-31,35.6144
2021-12-31,35.7527
2021-11-30,34.3809
2021-10-29,33.7880
2021-09-30,32.3133
2021-08-31,33.1328
2021-07-30,32.9483
2021-06-30,32.7760
2021-05-28,32.5886
2021-04-30,31.7004
2021-03-31,30.3913
2021-02-26,29.2095
2021-01-29,28.2846
2020-12-31,27.8835
2020-11-30,26.5697
2020-10-30,24.8699
2020-09-30,24.2197
2020-08-31,23.5147
2020-07-31,22.7336
2020-06-30,22.4622
2020-05-29,22.3304
2020-04-30,21.8885
2020-03-31,22.1135
2020-02-28,23.7136
2020-01-31,23.9516
2019-12-31,23.4442
2019-11-29,23.3245
2019-10-31,23.2708
2019-09-30,23.4035
2019-08-30,23.7112
2019-07-31,24.4286
2019-06-28,24.9144
2019-05-31,24.5317
2019-04-30,24.3940
2019-03-29,23.4656
2019-02-28,22.8685
2019-01-31,22.3398
2018-12-31,22.6241
2018-11-30,23.4771
2018-10-31,23.0805
2018-09-28,23.0618
2018-08-31,22.2439
2018-07-31,21.0744
2018-06-29,19.9777
2018-05-31,19.4380
2018-04-30,18.5505
2018-03-29,18.0954
2018-02-28,17.9700
2018-01-31,18.0475
2017-12-29,17.7158
2017-11-30,17.4774
2017-10-31,17.0117
2017-09-29,17.1173
2017-08-31,16.6776
2017-07-31,16.6074
2017-06-30,16.6099
2017-05-31,15.8299
2017-04-28,14.7812
2017-03-31,13.8124
2017-02-28,13.0616
2017-01-31,11.7337
2016-12-30,10.2438
2016-11-30,9.6700
2016-10-31,8.9036
2016-09-30,8.6231
2016-08-31,8.2456
2016-07-29,8.0456
2016-06-30,7.7992
2016-05-31,7.7834
2016-04-29,7.7235
2016-03-31,7.5649
2016-02-29,7.5716
2016-01-29,7.8143
2015-12-31,8.3297
2015-11-30,8.6382
2015-10-30,8.7266
2015-09-30,9.0698
2015-08-31,9.5478
2015-07-31,10.1262
2015-06-30,10.4027
2015-05-29,10.5819
2015-04-30,10.6192
2015-03-31,10.4113
2015-02-27,10.5099
2015-01-30,10.4676
2014-12-31,10.5454
2014-11-28,10.2421
2014-10-31,9.7792
2014-09-30,9.2717
2014-08-29,9.0430
2014-07-31,8.8727
2014-06-30,8.7805
2014-05-30,8.5269
2014-04-30,8.3574
2014-03-31,8.2916
2014-02-28,8.0933
2014-01-31,7.9784
2013-12-31,7.9354
2013-11-29,7.6250
2013-10-31,7.3908
2013-09-30,7.2416
2013-08-30,7.0738
2013-07-31,6.9858
2013-06-28,6.8538
2013-05-31,6.8765
2013-04-30,6.6417
2013-03-28,6.4180
2013-02-28,6.1082
2013-01-31,5.9051
2012-12-31,5.7662
2012-11-30,5.8722
2012-10-31,6.0130
2012-09-28,6.1317
2012-08-31,6.2557
2012-07-31,6.2067
2012-06-29,6.0967
2012-05-31,6.0203
2012-04-30,6.1008
2012-03-30,6.0522
2012-02-29,6.0818
2012-01-31,6.1841
2011-12-30,6.1449
2011-11-30,6.2738
2011-10-31,6.3642
2011-09-30,6.4356
2011-08-31,6.9583
2011-07-29,7.2496
2011-06-30,7.3195
2011-05-31,7.1939
2011-04-29,6.9788
2011-03-31,6.6995
2011-02-28,6.3084
2011-01-31,5.9252
2010-12-31,5.5700
2010-11-30,5.3216
2010-10-29,5.1300
2010-09-30,4.8474
2010-08-31,4.7056
2010-07-30,4.7258
2010-06-30,4.6416
2010-05-28,4.6439
2010-04-30,4.5336
2010-03-31,4.2355
2010-02-26,4.0331
2010-01-29,3.8931
2009-12-31,3.8926
2009-11-30,3.6654
2009-10-30,3.3978
2009-09-30,3.2560
2009-08-31,3.0805
2009-07-31,2.8241
2009-06-30,2.5890
2009-05-29,2.4995
2009-04-30,2.5054
2009-03-31,2.6225
2009-02-27,2.9410
2009-01-30,3.4287
2008-12-31,3.9378
2008-11-28,4.4925
2008-10-31,5.0546
2008-09-30,5.4877
2008-08-29,5.7191
2008-07-31,5.6275
2008-06-30,5.3859
2008-05-30,5.2276
2008-04-30,4.7609
2008-03-31,4.3610
2008-02-29,4.0764
2008-01-31,3.9747
2007-12-31,3.8394
2007-11-30,3.8221
2007-10-31,3.8681
2007-09-28,3.8238
2007-08-31,3.8342
2007-07-31,3.9054
2007-06-29,3.7551
2007-05-31,3.6316
2007-04-30,3.4430
2007-03-30,3.2714
2007-02-28,3.1511
2007-01-31,3.0744
2006-12-29,3.0007
2006-11-30,2.9840
2006-10-31,2.9014
2006-09-29,2.7949
2006-08-31,2.7519
2006-07-31,2.7857
2006-06-30,2.8233
2006-05-31,2.6839
2006-04-28,2.5543
2006-03-31,2.3464
2006-02-28,2.2229
2006-01-31,2.1342
2005-12-30,2.0473
2005-11-30,1.9779
2005-10-31,1.9207
2005-09-30,1.8952
2005-08-31,1.8454
2005-07-29,1.8224
2005-06-30,1.7605
2005-05-31,1.7275
2005-04-29,1.7003
2005-03-31,1.6895
2005-02-28,1.6440
2005-01-31,1.5863
2004-12-31,1.5327
2004-11-30,1.4565
2004-10-29,1.3883
2004-09-30,1.3273
2004-08-31,1.3053
2004-07-30,1.3052
2004-06-30,1.3119
2004-05-28,1.2938
2004-04-30,1.2906
2004-03-31,1.3033
2004-02-27,1.3287
2004-01-30,1.3398
2003-12-31,1.3551
2003-11-28,1.2953
2003-10-31,1.2516
2003-09-30,1.2320
2003-08-29,1.2524
2003-07-31,1.2249
2003-06-30,1.2077
2003-05-30,1.2069
2003-04-30,1.1584
2003-03-31,1.1100
2003-02-28,1.1089
2003-01-31,1.1393
2002-12-31,1.1629
2002-11-29,1.1914
2002-10-31,1.2433
2002-09-30,1.3171
2002-08-30,1.4388
2002-07-31,1.4511
2002-06-28,1.4732
2002-05-31,1.4932
2002-04-30,1.5302
2002-03-28,1.5482
2002-02-28,1.5356
2002-01-31,1.5225
2001-12-31,1.4641
2001-11-30,1.4706
2001-10-31,1.4350
2001-09-28,1.4515
2001-08-31,1.5093
2001-07-31,1.5152
2001-06-29,1.4536
