,DEMA_monthly_10
2022-04-04,222.0157
2022-03-31,218.8400
2022-02-28,216.3207
2022-01-31,223.6116
2021-12-31,228.7354
2021-11-30,223.4244
2021-10-29,222.4850
2021-09-30,220.8799
2021-08-31,222.8100
2021-07-30,220.3442
2021-06-30,212.4215
2021-05-28,208.8738
2021-04-30,209.7788
2021-03-31,205.5151
2021-02-26,205.0431
2021-01-29,210.1135
2020-12-31,214.0775
2020-11-30,212.1962
2020-10-30,205.5329
2020-09-30,200.4305
2020-08-31,192.8509
2020-07-31,185.6103
2020-06-30,180.4963
2020-05-29,173.3312
2020-04-30,162.8938
2020-03-31,155.6633
2020-02-28,156.4680
2020-01-31,157.5803
2019-12-31,157.3947
2019-11-29,155.8066
2019-10-31,152.6914
2019-09-30,146.8181
2019-08-30,139.3060
2019-07-31,130.1249
2019-06-28,127.1252
2019-05-31,122.4821
2019-04-30,119.4331
2019-03-29,115.6333
2019-02-28,113.4070
2019-01-31,110.5811
2018-12-31,107.9064
2018-11-30,107.4334
2018-10-31,105.3492
2018-09-28,102.1883
2018-08-31,98.7915
2018-07-31,94.7422
2018-06-29,93.2912
2018-05-31,91.1419
2018-04-30,92.9053
2018-03-29,91.2391
2018-02-28,90.2480
2018-01-31,88.3137
2017-12-29,81.9102
2017-11-30,77.6379
2017-10-31,73.9356
2017-09-29,72.0194
2017-08-31,69.4553
2017-07-31,69.6368
2017-06-30,68.7923
2017-05-31,69.1046
2017-04-28,69.0021
2017-03-31,69.1854
2017-02-28,70.8394
2017-01-31,71.6940
2016-12-30,72.5178
2016-11-30,73.5246
2016-10-31,73.6074
2016-09-30,77.1747
2016-08-31,81.5441
2016-07-29,85.9849
2016-06-30,82.8483
2016-05-31,78.7962
2016-04-29,75.0545
2016-03-31,73.2775
2016-02-29,69.2671
2016-01-29,68.6718
2015-12-31,67.4935
2015-11-30,67.2077
2015-10-30,69.5686
2015-09-30,71.7000
2015-08-31,72.5320
2015-07-31,72.7848
2015-06-30,70.5613
2015-05-29,68.5452
2015-04-30,67.9469
2015-03-31,66.9807
2015-02-27,64.5551
2015-01-30,62.3315
2014-12-31,61.5464
2014-11-28,58.9044
2014-10-31,56.9166
2014-09-30,55.8682
2014-08-29,55.0545
2014-07-31,52.7311
2014-06-30,53.1943
2014-05-30,52.9101
2014-04-30,53.9733
2014-03-31,54.2620
2014-02-28,54.9927
2014-01-31,54.0873
2013-12-31,54.2805
2013-11-29,52.8189
2013-10-31,52.1807
2013-09-30,50.9108
2013-08-30,49.6885
2013-07-31,49.0191
2013-06-28,47.7805
2013-05-31,47.8200
2013-04-30,46.8496
2013-03-28,45.7959
2013-02-28,44.9668
2013-01-31,45.5697
2012-12-31,46.3906
2012-11-30,48.3193
2012-10-31,48.3978
2012-09-28,48.9823
2012-08-31,48.4591
2012-07-31,47.8374
2012-06-29,46.9088
2012-05-31,44.1477
2012-04-30,42.5902
2012-03-30,40.9966
2012-02-29,39.2831
2012-01-31,38.6039
2011-12-30,37.3816
2011-11-30,36.2658
2011-10-31,34.9261
2011-09-30,33.4321
2011-08-31,32.1475
2011-07-29,30.8474
2011-06-30,31.1748
