,DEMA_monthly_10
2022-04-04,517.4298
2022-03-31,509.0450
2022-02-28,501.8804
2022-01-31,535.0755
2021-12-31,571.3152
2021-11-30,571.1764
2021-10-29,557.8831
2021-09-30,511.3156
2021-08-31,481.2107
2021-07-30,447.2323
2021-06-30,406.7153
2021-05-28,390.9002
2021-04-30,394.6623
2021-03-31,391.6076
2021-02-26,398.6436
2021-01-29,390.1534
2020-12-31,388.0383
2020-11-30,386.5074
2020-10-30,405.6315
2020-09-30,429.9996
2020-08-31,419.7706
2020-07-31,398.2602
2020-06-30,362.9658
2020-05-29,327.2216
2020-04-30,289.7266
2020-03-31,257.2501
2020-02-28,241.8873
2020-01-31,217.2991
2019-12-31,199.1340
2019-11-29,183.8359
2019-10-31,158.8979
2019-09-30,157.4987
2019-08-30,157.4700
2019-07-31,147.0784
2019-06-28,139.3176
2019-05-31,131.7157
2019-04-30,133.9392
2019-03-29,136.7387
2019-02-28,141.0226
2019-01-31,137.3482
2018-12-31,131.2016
2018-11-30,131.9406
2018-10-31,128.0939
2018-09-28,121.0081
2018-08-31,106.4396
2018-07-31,85.8886
2018-06-29,79.9663
2018-05-31,71.9348
2018-04-30,64.1820
2018-03-29,60.3585
2018-02-28,54.8444
2018-01-31,55.5701
2017-12-29,55.7668
2017-11-30,56.5408
2017-10-31,57.2767
2017-09-29,64.4151
2017-08-31,72.3585
2017-07-31,71.6542
2017-06-30,74.3036
2017-05-31,74.9748
2017-04-28,78.6918
2017-03-31,78.7168
2017-02-28,75.7079
2017-01-31,74.5787
2016-12-30,72.6287
2016-11-30,78.6822
2016-10-31,84.3033
2016-09-30,86.0057
2016-08-31,83.9787
2016-07-29,79.6081
2016-06-30,73.1394
2016-05-31,70.1524
2016-04-29,72.7391
2016-03-31,76.2448
2016-02-29,79.3268
2016-01-29,84.6337
2015-12-31,88.8303
2015-11-30,89.5125
2015-10-30,88.7691
2015-09-30,88.2289
2015-08-31,86.0507
2015-07-31,79.1073
2015-06-30,73.6954
2015-05-29,68.2273
2015-04-30,64.3105
2015-03-31,60.6698
2015-02-27,57.8965
2015-01-30,54.6841
2014-12-31,50.6110
2014-11-28,47.0816
2014-10-31,43.7984
2014-09-30,42.1654
2014-08-29,42.0681
2014-07-31,39.9489
2014-06-30,39.8909
2014-05-30,38.8151
2014-04-30,39.8720
2014-03-31,41.7356
2014-02-28,40.0961
2014-01-31,36.0471
2013-12-31,32.5079
2013-11-29,29.8581
2013-10-31,27.2050
2013-09-30,25.4702
2013-08-30,23.2663
2013-07-31,20.7386
2013-06-28,19.6167
2013-05-31,17.7498
2013-04-30,15.9130
2013-03-28,15.3765
2013-02-28,14.4882
2013-01-31,14.0716
2012-12-31,13.3533
2012-11-30,13.1018
2012-10-31,12.9770
2012-09-28,12.7867
2012-08-31,11.6601
2012-07-31,10.9125
2012-06-29,10.9314
2012-05-31,10.0968
2012-04-30,9.9692
2012-03-30,10.2532
2012-02-29,10.3653
2012-01-31,10.3758
2011-12-30,10.3321
2011-11-30,11.0360
2011-10-31,12.5756
2011-09-30,13.8639
2011-08-31,14.6050
2011-07-29,15.5700
2011-06-30,15.8813
2011-05-31,16.1245
2011-04-29,15.8382
2011-03-31,15.0160
2011-02-28,14.3707
2011-01-31,13.8591
2010-12-31,13.3662
2010-11-30,12.8686
2010-10-29,13.2195
2010-09-30,12.5298
2010-08-31,11.8151
2010-07-30,11.2568
2010-06-30,10.9464
2010-05-28,10.3156
2010-04-30,9.8924
2010-03-31,9.1050
2010-02-26,8.5578
2010-01-29,8.1097
2009-12-31,7.4775
2009-11-30,7.0513
2009-10-30,6.8292
2009-09-30,6.6917
2009-08-31,6.0189
2009-07-31,5.1617
2009-06-30,4.6119
2009-05-29,4.0018
2009-04-30,3.4786
2009-03-31,3.2798
2009-02-27,3.1931
2009-01-30,3.1505
2008-12-31,3.4956
2008-11-28,4.2069
2008-10-31,5.5359
2008-09-30,6.2264
2008-08-29,6.4316
2008-07-31,6.4194
2008-06-30,6.4951
2008-05-30,6.9214
2008-04-30,6.6926
2008-03-31,6.4943
2008-02-29,7.8399
2008-01-31,8.2317
2007-12-31,8.3122
2007-11-30,8.2506
2007-10-31,8.2672
2007-09-28,8.0221
2007-08-31,7.4079
2007-07-31,6.9739
2007-06-29,6.9556
2007-05-31,6.9101
2007-04-30,7.6299
2007-03-30,8.0256
2007-02-28,8.6629
2007-01-31,9.4729
2006-12-29,10.2547
2006-11-30,10.9290
