,DEMA_monthly_10
2022-04-04,116.2395
2022-03-31,117.0732
2022-02-28,117.8487
2022-01-31,116.2470
2021-12-31,113.7196
2021-11-30,109.2858
2021-10-29,110.8280
2021-09-30,112.8531
2021-08-31,116.8150
2021-07-30,116.7524
2021-06-30,116.5610
2021-05-28,114.2187
2021-04-30,107.2686
2021-03-31,101.9586
2021-02-26,96.8264
2021-01-29,90.3263
2020-12-31,86.0801
2020-11-30,79.3600
2020-10-30,71.7265
2020-09-30,68.4901
2020-08-31,65.2773
2020-07-31,63.3609
2020-06-30,60.1700
2020-05-29,58.0658
2020-04-30,56.2697
2020-03-31,57.1669
2020-02-28,64.3620
2020-01-31,68.1966
2019-12-31,69.3451
2019-11-29,67.6068
2019-10-31,65.9589
2019-09-30,64.7745
2019-08-30,64.1852
2019-07-31,67.1997
2019-06-28,67.2774
2019-05-31,66.4720
2019-04-30,70.9959
2019-03-29,71.5222
2019-02-28,73.5293
2019-01-31,73.8094
2018-12-31,75.0958
2018-11-30,79.9106
2018-10-31,84.3958
2018-09-28,90.5956
2018-08-31,91.9397
2018-07-31,93.3351
2018-06-29,92.4666
2018-05-31,92.5984
2018-04-30,91.1053
2018-03-29,89.8083
2018-02-28,86.5188
2018-01-31,83.9186
2017-12-29,81.0254
2017-11-30,79.5692
2017-10-31,77.8184
2017-09-29,75.9552
2017-08-31,73.4670
2017-07-31,71.8967
2017-06-30,70.8752
2017-05-31,69.0983
2017-04-28,68.3231
2017-03-31,67.3474
2017-02-28,65.5635
2017-01-31,63.5208
2016-12-30,61.7833
2016-11-30,60.2954
2016-10-31,58.5059
2016-09-30,57.3234
2016-08-31,57.3574
2016-07-29,57.5289
2016-06-30,58.7837
2016-05-31,59.4779
2016-04-29,58.5358
2016-03-31,56.1566
2016-02-29,54.5543
2016-01-29,55.6425
2015-12-31,58.2607
2015-11-30,59.4809
2015-10-30,59.4214
2015-09-30,59.5545
2015-08-31,62.5216
2015-07-31,63.8155
2015-06-30,63.3718
2015-05-29,61.5213
2015-04-30,61.0522
2015-03-31,60.6517
2015-02-27,62.6917
2015-01-30,63.7076
2014-12-31,66.3788
2014-11-28,68.1465
2014-10-31,68.0771
2014-09-30,68.7119
2014-08-29,69.4687
2014-07-31,69.9702
2014-06-30,71.8862
2014-05-30,71.2645
2014-04-30,70.1039
2014-03-31,68.8117
2014-02-28,67.2965
2014-01-31,64.8319
2013-12-31,64.7927
2013-11-29,63.6473
2013-10-31,63.4309
2013-09-30,62.3894
2013-08-30,61.1770
2013-07-31,60.1957
2013-06-28,57.1770
2013-05-31,56.6910
2013-04-30,55.4222
2013-03-28,55.3821
2013-02-28,54.0612
2013-01-31,52.3027
2012-12-31,49.3123
2012-11-30,46.2700
2012-10-31,44.7175
2012-09-28,43.1123
2012-08-31,41.6617
2012-07-31,40.3482
2012-06-29,39.5626
2012-05-31,39.1175
2012-04-30,39.8807
2012-03-30,38.2785
2012-02-29,36.8547
2012-01-31,34.1420
2011-12-30,31.7814
2011-11-30,32.4794
2011-10-31,33.3141
2011-09-30,34.5313
2011-08-31,37.8502
2011-07-29,39.9141
2011-06-30,40.2350
2011-05-31,39.6175
2011-04-29,38.1053
2011-03-31,35.7124
2011-02-28,33.7221
2011-01-31,32.0205
2010-12-31,29.7316
2010-11-30,28.0498
2010-10-29,26.8479
2010-09-30,25.0425
2010-08-31,23.3284
2010-07-30,23.1344
2010-06-30,22.6551
2010-05-28,23.5125
2010-04-30,23.5229
2010-03-31,22.4066
2010-02-26,21.3892
2010-01-29,20.7264
2009-12-31,20.2874
2009-11-30,19.0498
2009-10-30,17.4459
2009-09-30,16.5061
2009-08-31,15.0664
2009-07-31,13.4308
2009-06-30,11.6587
2009-05-29,11.2146
2009-04-30,10.1751
2009-03-31,9.1328
2009-02-27,9.8765
2009-01-30,12.0318
2008-12-31,14.1688
2008-11-28,16.2123
2008-10-31,18.9062
2008-09-30,21.4071
2008-08-29,22.5200
2008-07-31,23.2719
2008-06-30,24.3239
2008-05-30,24.3526
2008-04-30,23.2471
2008-03-31,22.2110
2008-02-29,22.4823
2008-01-31,22.3862
2007-12-31,22.2000
2007-11-30,22.6829
2007-10-31,22.9029
2007-09-28,22.8122
2007-08-31,22.6369
2007-07-31,22.4311
2007-06-29,21.8125
2007-05-31,21.6157
2007-04-30,21.1116
2007-03-30,20.1741
2007-02-28,19.5336
2007-01-31,19.3442
2006-12-29,19.1430
2006-11-30,18.7408
2006-10-31,18.2368
2006-09-29,17.3192
2006-08-31,17.0815
2006-07-31,17.0471
2006-06-30,17.4015
2006-05-31,17.2367
2006-04-28,16.7310
2006-03-31,16.3358
2006-02-28,16.2560
2006-01-31,16.4726
2005-12-30,16.9189
2005-11-30,17.0304
2005-10-31,16.7042
2005-09-30,16.6181
2005-08-31,17.3075
2005-07-29,18.1379
2005-06-30,18.1914
2005-05-31,18.2641
2005-04-29,17.8816
2005-03-31,17.9912
2005-02-28,17.4047
2005-01-31,16.8069
2004-12-31,16.4575
2004-11-30,15.4573
2004-10-29,14.6007
2004-09-30,14.3638
2004-08-31,14.0079
2004-07-30,13.7021
2004-06-30,13.5156
2004-05-28,13.0301
2004-04-30,12.4006
2004-03-31,12.0392
2004-02-27,11.5219
2004-01-30,10.9200
2003-12-31,10.4281
2003-11-28,9.8115
2003-10-31,9.5496
2003-09-30,9.6236
2003-08-29,9.5942
2003-07-31,9.3187
2003-06-30,8.8971
2003-05-30,8.9453
2003-04-30,8.9540
2003-03-31,9.2619
2003-02-28,9.8923
2003-01-31,10.4119
2002-12-31,10.8664
2002-11-29,11.1670
2002-10-31,11.3387
2002-09-30,11.9190
2002-08-30,12.4707
2002-07-31,12.4284
2002-06-28,12.4303
2002-05-31,12.1068
2002-04-30,11.7985
2002-03-28,11.6406
2002-02-28,10.8554
2002-01-31,10.4377
2001-12-31,10.3483
2001-11-30,10.3775
2001-10-31,10.5618
2001-09-28,11.3051
2001-08-31,12.0738
2001-07-31,12.8683
2001-06-29,13.3281
