,DEMA_monthly_10
2022-04-04,98.1424
2022-03-31,97.0505
2022-02-28,95.5922
2022-01-31,95.8152
2021-12-31,96.6526
2021-11-30,97.1962
2021-10-29,100.0434
2021-09-30,99.8433
2021-08-31,100.5898
2021-07-30,96.3711
2021-06-30,92.7064
2021-05-28,89.5948
2021-04-30,85.4427
2021-03-31,82.1596
2021-02-26,77.6923
2021-01-29,73.4267
2020-12-31,70.6384
2020-11-30,66.3588
2020-10-30,62.0896
2020-09-30,61.7352
2020-08-31,60.9162
2020-07-31,58.1396
2020-06-30,57.8337
2020-05-29,57.4526
2020-04-30,57.4188
2020-03-31,59.3551
2020-02-28,65.9620
2020-01-31,67.8530
2019-12-31,67.3650
2019-11-29,64.7074
2019-10-31,62.1081
2019-09-30,60.3639
2019-08-30,59.4006
2019-07-31,61.1589
2019-06-28,61.5535
2019-05-31,61.3233
2019-04-30,63.6960
2019-03-29,62.6349
2019-02-28,62.2285
2019-01-31,61.8021
2018-12-31,62.5177
2018-11-30,65.7936
2018-10-31,66.9775
2018-09-28,68.5438
2018-08-31,67.0305
2018-07-31,64.8412
2018-06-29,63.8085
2018-05-31,63.6046
2018-04-30,62.5634
2018-03-29,63.0411
2018-02-28,62.8328
2018-01-31,61.3466
2017-12-29,58.9764
2017-11-30,56.7128
2017-10-31,55.5324
2017-09-29,54.2338
2017-08-31,53.0697
2017-07-31,52.9506
2017-06-30,52.6997
2017-05-31,52.3029
2017-04-28,51.9072
2017-03-31,51.0531
2017-02-28,50.0109
2017-01-31,48.4657
2016-12-30,47.0755
2016-11-30,46.2956
2016-10-31,44.9589
2016-09-30,45.5439
2016-08-31,44.8540
2016-07-29,44.6100
2016-06-30,43.2322
2016-05-31,42.7928
2016-04-29,42.2622
2016-03-31,40.7618
2016-02-29,38.8705
2016-01-29,38.4596
2015-12-31,39.2170
2015-11-30,39.6176
2015-10-30,39.4232
2015-09-30,40.4386
2015-08-31,43.0023
2015-07-31,45.2060
2015-06-30,46.9114
2015-05-29,47.8935
2015-04-30,47.4598
2015-03-31,47.6021
2015-02-27,48.6136
2015-01-30,49.5214
2014-12-31,51.2679
2014-11-28,51.8941
2014-10-31,51.9953
2014-09-30,52.1648
2014-08-29,52.8906
2014-07-31,53.3180
2014-06-30,54.1299
2014-05-30,54.2059
2014-04-30,54.1091
2014-03-31,53.5455
2014-02-28,53.1934
2014-01-31,53.1770
2013-12-31,52.9774
2013-11-29,51.1361
2013-10-31,49.6803
2013-09-30,47.7957
2013-08-30,45.9747
2013-07-31,44.9632
2013-06-28,43.3425
2013-05-31,43.4649
2013-04-30,42.5788
2013-03-28,42.1453
2013-02-28,41.3956
2013-01-31,40.0641
2012-12-31,38.1928
2012-11-30,37.1155
2012-10-31,36.5885
2012-09-28,36.6298
2012-08-31,36.7419
2012-07-31,36.0725
2012-06-29,36.2956
2012-05-31,36.9999
2012-04-30,37.8849
2012-03-30,37.2893
2012-02-29,36.6047
2012-01-31,36.3065
2011-12-30,35.6928
2011-11-30,36.4534
2011-10-31,35.6310
2011-09-30,36.0184
2011-08-31,38.7712
2011-07-29,40.7574
2011-06-30,42.6980
2011-05-31,42.9383
2011-04-29,43.7408
2011-03-31,42.8516
2011-02-28,42.3209
2011-01-31,41.1245
2010-12-31,39.7870
2010-11-30,38.4539
2010-10-29,37.2569
2010-09-30,35.7398
2010-08-31,34.3501
2010-07-30,34.3344
2010-06-30,33.4498
2010-05-28,34.0480
2010-04-30,33.9221
2010-03-31,31.9694
2010-02-26,29.8776
2010-01-29,27.9624
2009-12-31,27.2712
2009-11-30,25.9949
2009-10-30,24.6418
2009-09-30,24.0600
2009-08-31,22.5763
2009-07-31,21.6030
2009-06-30,20.5952
2009-05-29,20.5185
2009-04-30,20.5827
2009-03-31,20.2557
2009-02-27,21.5574
2009-01-30,23.9487
2008-12-31,25.5378
2008-11-28,26.5680
2008-10-31,28.2260
2008-09-30,31.5475
2008-08-29,33.6431
2008-07-31,34.6750
2008-06-30,35.5677
2008-05-30,36.5150
2008-04-30,35.1758
2008-03-31,35.1598
2008-02-29,35.3317
2008-01-31,35.6621
2007-12-31,36.1867
2007-11-30,35.1141
2007-10-31,33.5039
2007-09-28,32.7493
2007-08-31,31.4098
2007-07-31,30.7221
2007-06-29,30.4620
2007-05-31,30.1510
2007-04-30,29.2183
2007-03-30,28.4260
2007-02-28,28.4472
2007-01-31,28.4547
2006-12-29,27.9528
2006-11-30,27.4938
2006-10-31,27.0537
2006-09-29,26.8282
2006-08-31,26.5682
2006-07-31,26.4263
2006-06-30,26.7190
2006-05-31,26.3819
2006-04-28,26.0655
2006-03-31,25.3137
2006-02-28,24.4447
2006-01-31,23.4932
2005-12-30,22.8492
2005-11-30,22.3382
2005-10-31,21.4995
2005-09-30,21.2563
2005-08-31,20.6004
2005-07-29,20.3307
2005-06-30,20.2167
2005-05-31,20.4879
2005-04-29,20.3097
2005-03-31,20.6304
2005-02-28,20.7329
2005-01-31,20.6573
2004-12-31,20.4606
2004-11-30,19.7820
2004-10-29,19.2934
2004-09-30,19.0474
2004-08-31,18.9902
2004-07-30,18.8459
2004-06-30,18.8952
2004-05-28,18.5574
2004-04-30,18.5982
2004-03-31,18.6148
2004-02-27,18.6507
2004-01-30,18.3284
2003-12-31,17.7287
2003-11-28,16.7839
2003-10-31,15.9857
2003-09-30,15.5173
2003-08-29,15.4185
2003-07-31,14.8694
2003-06-30,14.4523
2003-05-30,14.2325
2003-04-30,13.7853
2003-03-31,13.4558
2003-02-28,13.7197
2003-01-31,13.8656
2002-12-31,14.1450
2002-11-29,14.0298
2002-10-31,13.7227
2002-09-30,13.8853
2002-08-30,14.6635
2002-07-31,15.1073
2002-06-28,15.4899
2002-05-31,15.6881
2002-04-30,15.4122
2002-03-28,15.6577
2002-02-28,15.4935
2002-01-31,15.2577
2001-12-31,14.9584
2001-11-30,14.6794
2001-10-31,14.7070
2001-09-28,15.4422
2001-08-31,16.6942
2001-07-31,17.5778
2001-06-29,18.3498
