,DEMA_monthly_10
2022-04-04,2.6923
2022-03-31,3.0100
2022-02-28,3.4944
2022-01-31,3.8039
2021-12-31,4.1965
2021-11-30,4.4799
2021-10-29,4.0499
2021-09-30,4.0841
2021-08-31,4.5924
2021-07-30,5.7070
2021-06-30,5.9722
2021-05-28,6.4923
2021-04-30,6.6508
2021-03-31,6.9112
2021-02-26,6.4952
2021-01-29,5.6878
2020-12-31,4.8814
2020-11-30,3.8396
2020-10-30,3.3816
2020-09-30,3.0080
2020-08-31,3.0916
2020-07-31,3.3555
2020-06-30,3.5239
2020-05-29,3.7954
2020-04-30,3.9919
2020-03-31,3.9500
2020-02-28,4.3195
2020-01-31,4.0320
2019-12-31,3.6093
2019-11-29,3.5152
2019-10-31,3.2594
2019-09-30,3.1848
2019-08-30,3.7563
2019-07-31,4.9562
2019-06-28,6.2655
2019-05-31,7.6462
2019-04-30,9.1657
2019-03-29,10.0941
2019-02-28,11.1173
2019-01-31,11.1777
2018-12-31,11.8099
2018-11-30,13.7414
2018-10-31,14.2064
2018-09-28,12.6113
2018-08-31,10.4912
2018-07-31,7.4949
2018-06-29,5.5892
2018-05-31,4.4184
2018-04-30,4.3125
2018-03-29,4.5008
2018-02-28,4.7495
2018-01-31,5.0176
2017-12-29,5.2128
2017-11-30,5.2148
2017-10-31,5.5253
2017-09-29,6.5053
2017-08-31,6.9898
2017-07-31,7.6937
2017-06-30,7.8084
2017-05-31,8.0716
2017-04-28,7.7244
2017-03-31,8.2796
2017-02-28,9.3550
2017-01-31,9.9439
2016-12-30,11.6333
2016-11-30,12.3069
2016-10-31,13.7232
2016-09-30,14.7341
2016-08-31,15.8202
2016-07-29,17.4121
2016-06-30,21.4370
2016-05-31,28.0347
2016-04-29,37.1782
2016-03-31,44.8085
2016-02-29,54.8164
2016-01-29,62.3784
2015-12-31,66.5878
2015-11-30,69.7715
2015-10-30,73.9894
2015-09-30,80.3348
2015-08-31,84.6802
2015-07-31,86.9797
2015-06-30,85.2376
2015-05-29,86.2556
2015-04-30,85.6234
2015-03-31,84.4514
2015-02-27,80.1771
2015-01-30,76.0845
2014-12-31,73.1030
2014-11-28,72.2995
2014-10-31,70.6235
2014-09-30,71.0235
2014-08-29,70.7873
2014-07-31,72.3713
2014-06-30,72.8121
2014-05-30,71.8808
2014-04-30,70.1443
2014-03-31,70.9702
2014-02-28,69.2720
2014-01-31,61.7401
2013-12-31,57.5770
2013-11-29,51.0660
2013-10-31,42.2692
2013-09-30,40.7856
2013-08-30,37.9547
2013-07-31,36.0290
2013-06-28,34.5710
2013-05-31,33.3273
2013-04-30,31.8582
2013-03-28,29.7318
2013-02-28,29.5099
2013-01-31,29.1335
2012-12-31,28.3700
2012-11-30,29.8052
2012-10-31,30.6839
2012-09-28,31.9063
2012-08-31,32.2121
2012-07-31,32.6001
2012-06-29,34.0702
2012-05-31,35.4963
2012-04-30,36.7192
2012-03-30,37.1741
2012-02-29,36.1578
2012-01-31,35.5043
2011-12-30,34.5610
2011-11-30,34.4541
2011-10-31,34.4314
2011-09-30,35.2409
2011-08-31,38.2255
2011-07-29,40.4362
2011-06-30,40.9443
2011-05-31,40.2230
2011-04-29,38.4941
2011-03-31,37.1641
2011-02-28,35.7202
2011-01-31,34.8571
2010-12-31,34.6228
2010-11-30,33.0968
2010-10-29,30.8129
2010-09-30,27.3334
2010-08-31,24.1557
2010-07-30,22.5685
2010-06-30,21.8143
2010-05-28,21.7695
2010-04-30,22.0961
2010-03-31,22.1003
2010-02-26,21.3011
2010-01-29,20.6430
2009-12-31,20.9373
2009-11-30,21.1539
2009-10-30,20.7749
2009-09-30,20.1064
2009-08-31,19.1188
2009-07-31,17.8435
2009-06-30,16.8653
2009-05-29,16.9819
2009-04-30,18.0869
2009-03-31,19.3599
2009-02-27,20.6157
2009-01-30,21.7689
2008-12-31,21.8028
2008-11-28,20.3707
2008-10-31,20.2324
2008-09-30,21.6637
2008-08-29,22.9789
2008-07-31,23.5876
2008-06-30,24.2630
2008-05-30,24.7547
2008-04-30,25.2613
2008-03-31,25.9030
2008-02-29,27.2042
2008-01-31,27.9555
2007-12-31,29.0476
2007-11-30,30.2997
2007-10-31,31.6621
2007-09-28,32.6472
2007-08-31,33.1935
2007-07-31,33.5152
2007-06-29,32.9683
2007-05-31,32.1049
2007-04-30,30.4624
2007-03-30,30.1657
2007-02-28,30.4451
2007-01-31,30.0064
2006-12-29,29.6283
2006-11-30,30.5130
2006-10-31,31.8986
2006-09-29,33.0965
2006-08-31,32.8786
2006-07-31,32.3369
2006-06-30,32.4183
2006-05-31,31.6244
2006-04-28,32.1231
2006-03-31,31.7929
2006-02-28,30.6782
2006-01-31,29.6917
2005-12-30,29.5617
2005-11-30,28.6315
2005-10-31,27.4736
2005-09-30,27.1979
2005-08-31,26.8835
2005-07-29,24.9234
2005-06-30,22.9304
2005-05-31,21.1951
2005-04-29,21.5119
2005-03-31,22.1251
2005-02-28,21.7289
2005-01-31,21.1865
2004-12-31,21.1181
2004-11-30,21.0106
2004-10-29,21.0855
2004-09-30,20.5809
2004-08-31,21.4161
2004-07-30,23.1351
2004-06-30,24.4025
2004-05-28,24.1500
2004-04-30,24.0982
2004-03-31,23.4021
2004-02-27,22.1410
2004-01-30,20.4363
2003-12-31,19.2524
2003-11-28,18.6102
2003-10-31,17.9190
2003-09-30,18.0608
2003-08-29,16.3412
2003-07-31,15.5976
2003-06-30,15.1018
2003-05-30,13.8498
2003-04-30,12.5140
2003-03-31,10.3864
2003-02-28,8.8676
