,DEMA_monthly_10
2018-12-20,95.9522
2018-11-30,95.6697
2018-10-31,91.0204
2018-09-28,86.5913
2018-08-31,81.3585
2018-07-31,77.3226
2018-06-29,75.6262
2018-05-31,74.2815
2018-04-30,73.0395
2018-03-29,71.3700
2018-02-28,72.0320
2018-01-31,70.0441
2017-12-29,65.6837
2017-11-30,61.8542
2017-10-31,60.9694
2017-09-29,61.5846
2017-08-31,61.5868
2017-07-31,61.8979
2017-06-30,62.4881
2017-05-31,62.8439
2017-04-28,65.2425
2017-03-31,67.8476
2017-02-28,69.3868
2017-01-31,69.4076
2016-12-30,70.2868
2016-11-30,71.5707
2016-10-31,70.2001
2016-09-30,72.2021
2016-08-31,73.5645
2016-07-29,74.4854
2016-06-30,74.2751
2016-05-31,74.1695
2016-04-29,74.2035
2016-03-31,75.1297
2016-02-29,78.6841
2016-01-29,82.7491
2015-12-31,87.5484
2015-11-30,87.0369
2015-10-30,87.1490
2015-09-30,86.8340
2015-08-31,88.7500
2015-07-31,90.0541
2015-06-30,88.8080
2015-05-29,87.5109
2015-04-30,86.4440
2015-03-31,85.2134
2015-02-27,83.2693
2015-01-30,81.4180
2014-12-31,80.6324
2014-11-28,77.7026
2014-10-31,74.3456
2014-09-30,72.5790
2014-08-29,72.9005
2014-07-31,71.8020
2014-06-30,72.1683
2014-05-30,72.7334
2014-04-30,72.4583
2014-03-31,74.1720
2014-02-28,72.5748
2014-01-31,70.2152
2013-12-31,67.2176
2013-11-29,65.0865
2013-10-31,63.4418
2013-09-30,63.3247
2013-08-30,63.4301
2013-07-31,62.5825
2013-06-28,60.6381
2013-05-31,59.6696
2013-04-30,58.1560
2013-03-28,57.3130
2013-02-28,56.9331
2013-01-31,56.7062
2012-12-31,57.9382
2012-11-30,59.2977
2012-10-31,61.1336
2012-09-28,60.0965
2012-08-31,58.1366
2012-07-31,55.4351
2012-06-29,53.8344
2012-05-31,52.5838
2012-04-30,52.4935
2012-03-30,50.7438
2012-02-29,49.0947
2012-01-31,47.2602
2011-12-30,45.7840
2011-11-30,46.7198
2011-10-31,47.5907
2011-09-30,48.7427
2011-08-31,54.1833
2011-07-29,57.0789
2011-06-30,57.6504
2011-05-31,58.4612
2011-04-29,56.9711
2011-03-31,56.1262
2011-02-28,55.3967
2011-01-31,54.0464
2010-12-31,52.0877
2010-11-30,50.3845
2010-10-29,48.8924
2010-09-30,48.4080
2010-08-31,47.6099
2010-07-30,49.1827
2010-06-30,50.0605
2010-05-28,50.3129
2010-04-30,49.0695
2010-03-31,47.3774
2010-02-26,44.6201
2010-01-29,42.0882
2009-12-31,41.2981
2009-11-30,39.5801
2009-10-30,37.3307
2009-09-30,35.5523
2009-08-31,33.6333
2009-07-31,32.2124
2009-06-30,30.7667
2009-05-29,29.1038
2009-04-30,27.9245
2009-03-31,26.3831
2009-02-27,28.3127
2009-01-30,30.0193
2008-12-31,31.5593
2008-11-28,33.3575
2008-10-31,35.1918
2008-09-30,36.9252
2008-08-29,36.2521
2008-07-31,35.3701
2008-06-30,34.7564
2008-05-30,35.6027
2008-04-30,34.5707
2008-03-31,33.5669
2008-02-29,33.4053
2008-01-31,34.2624
2007-12-31,33.4456
2007-11-30,31.0158
2007-10-31,28.8236
2007-09-28,26.8315
2007-08-31,25.7066
2007-07-31,24.3727
2007-06-29,23.5550
2007-05-31,22.4348
2007-04-30,20.6572
2007-03-30,18.9699
2007-02-28,18.3401
2007-01-31,18.0800
2006-12-29,18.3841
2006-11-30,18.5577
2006-10-31,19.1623
2006-09-29,20.4589
2006-08-31,20.8688
2006-07-31,20.4233
2006-06-30,20.5705
2006-05-31,21.3133
2006-04-28,22.0850
2006-03-31,22.5197
2006-02-28,21.9285
2006-01-31,21.1178
2005-12-30,19.4945
2005-11-30,18.0661
2005-10-31,16.0015
2005-09-30,14.1754
2005-08-31,13.1462
2005-07-29,12.2098
2005-06-30,11.5400
2005-05-31,10.8731
2005-04-29,10.3775
2005-03-31,9.8478
2005-02-28,9.2596
2005-01-31,9.1230
2004-12-31,8.9943
2004-11-30,8.6908
2004-10-29,8.5290
2004-09-30,8.7523
2004-08-31,8.9745
2004-07-30,9.3856
2004-06-30,9.7930
2004-05-28,9.5656
2004-04-30,9.2921
2004-03-31,8.9639
2004-02-27,8.6633
2004-01-30,8.3332
2003-12-31,8.0909
2003-11-28,7.9092
2003-10-31,7.7534
2003-09-30,8.0804
2003-08-29,8.1650
2003-07-31,8.0599
2003-06-30,7.8388
2003-05-30,7.4071
2003-04-30,6.9668
2003-03-31,6.7339
2003-02-28,6.5972
2003-01-31,6.6321
2002-12-31,6.4633
2002-11-29,6.6520
2002-10-31,6.7593
2002-09-30,6.6903
2002-08-30,6.5829
2002-07-31,6.7961
2002-06-28,6.8531
2002-05-31,7.0259
2002-04-30,7.0941
2002-03-28,6.5963
2002-02-28,6.2293
2002-01-31,6.0524
2001-12-31,6.1410
2001-11-30,6.1988
2001-10-31,6.5822
2001-09-28,7.0924
2001-08-31,6.9582
2001-07-31,6.8556
2001-06-29,6.4257
