,DEMA_monthly_10
2022-04-04,211.3374
2022-03-31,208.6727
2022-02-28,204.8317
2022-01-31,207.5379
2021-12-31,206.1232
2021-11-30,190.9563
2021-10-29,182.2891
2021-09-30,171.2345
2021-08-31,168.7578
2021-07-30,157.1670
2021-06-30,146.6937
2021-05-28,136.7224
2021-04-30,129.5061
2021-03-31,120.0181
2021-02-26,114.0505
2021-01-29,109.2504
2020-12-31,107.7974
2020-11-30,104.8442
2020-10-30,102.5210
2020-09-30,97.9514
2020-08-31,95.5925
2020-07-31,92.9632
2020-06-30,90.8033
2020-05-29,92.5798
2020-04-30,93.5244
2020-03-31,98.3802
2020-02-28,101.7320
2020-01-31,104.6317
2019-12-31,104.1410
2019-11-29,105.4649
2019-10-31,107.3074
2019-09-30,107.0481
2019-08-30,104.6327
2019-07-31,99.4828
2019-06-28,96.2923
2019-05-31,94.4324
2019-04-30,91.7292
2019-03-29,89.3831
2019-02-28,86.8465
2019-01-31,86.0967
2018-12-31,83.9304
2018-11-30,84.2068
2018-10-31,82.6249
2018-09-28,82.7769
2018-08-31,84.2554
2018-07-31,84.2635
2018-06-29,83.4570
2018-05-31,79.9433
2018-04-30,76.8486
2018-03-29,75.2070
2018-02-28,73.7984
2018-01-31,73.0399
2017-12-29,72.5641
2017-11-30,70.3230
2017-10-31,68.3659
2017-09-29,67.1495
2017-08-31,66.1335
2017-07-31,65.9271
2017-06-30,64.9283
2017-05-31,64.1539
2017-04-28,63.6230
2017-03-31,63.6524
2017-02-28,64.1353
2017-01-31,63.3056
2016-12-30,64.8671
2016-11-30,65.0434
2016-10-31,68.1972
2016-09-30,71.3087
2016-08-31,73.1224
2016-07-29,75.3480
2016-06-30,76.2190
2016-05-31,74.8626
2016-04-29,73.0258
2016-03-31,73.2995
2016-02-29,70.4239
2016-01-29,70.6810
2015-12-31,67.7854
2015-11-30,64.6143
2015-10-30,62.0059
2015-09-30,59.9667
2015-08-31,57.8348
2015-07-31,56.3670
2015-06-30,54.2603
2015-05-29,54.2509
2015-04-30,52.6341
2015-03-31,51.7795
2015-02-27,49.9367
2015-01-30,48.1389
2014-12-31,45.5402
2014-11-28,44.5170
2014-10-31,42.9990
2014-09-30,41.2620
2014-08-29,41.1308
2014-07-31,40.6511
2014-06-30,40.2601
2014-05-30,39.1330
2014-04-30,38.0036
2014-03-31,36.4173
2014-02-28,35.5135
2014-01-31,34.1703
2013-12-31,33.4659
2013-11-29,33.6526
2013-10-31,34.0504
2013-09-30,33.1589
2013-08-30,31.9702
2013-07-31,31.9372
2013-06-28,31.5510
2013-05-31,30.9964
2013-04-30,30.3204
2013-03-28,28.7814
2013-02-28,28.0502
2013-01-31,27.6751
2012-12-31,26.3192
2012-11-30,25.5497
2012-10-31,24.9333
2012-09-28,24.2522
2012-08-31,23.6712
2012-07-31,22.6108
2012-06-29,21.5631
2012-05-31,20.7840
2012-04-30,20.4640
2012-03-30,19.3448
2012-02-29,18.2864
2012-01-31,17.6512
2011-12-30,16.7716
2011-11-30,16.2127
2011-10-31,15.5121
2011-09-30,15.0329
2011-08-31,15.5849
2011-07-29,15.4341
2011-06-30,15.2665
2011-05-31,14.9769
2011-04-29,14.4572
2011-03-31,13.7542
2011-02-28,13.0556
2011-01-31,12.4203
2010-12-31,11.6925
2010-11-30,11.2474
2010-10-29,11.0746
2010-09-30,10.7586
2010-08-31,10.3544
2010-07-30,10.0420
2010-06-30,9.5286
2010-05-28,9.3038
2010-04-30,8.6626
2010-03-31,7.7871
2010-02-26,7.3044
2010-01-29,7.0970
2009-12-31,6.7908
2009-11-30,6.3158
2009-10-30,5.8846
2009-09-30,5.7311
2009-08-31,5.2435
2009-07-31,4.7953
2009-06-30,4.5456
2009-05-29,4.3641
2009-04-30,4.4003
2009-03-31,4.6024
2009-02-27,5.3840
2009-01-30,6.3278
2008-12-31,7.1025
2008-11-28,7.5397
2008-10-31,8.6315
2008-09-30,9.3770
2008-08-29,9.3233
2008-07-31,9.2113
2008-06-30,9.4870
2008-05-30,9.5340
2008-04-30,9.3165
2008-03-31,8.9747
2008-02-29,8.6871
2008-01-31,8.6662
2007-12-31,8.6262
2007-11-30,8.8018
2007-10-31,9.1173
2007-09-28,9.1704
2007-08-31,9.3297
2007-07-31,9.6116
2007-06-29,10.3255
2007-05-31,10.6548
2007-04-30,10.7881
2007-03-30,10.7511
2007-02-28,10.6257
2007-01-31,10.4768
2006-12-29,10.0749
2006-11-30,9.8823
2006-10-31,9.6238
2006-09-29,9.2555
2006-08-31,9.0220
2006-07-31,8.7055
2006-06-30,8.6468
2006-05-31,8.4828
2006-04-28,8.5591
2006-03-31,8.5242
