,DEMA_monthly_10
2022-04-04,59.7009
2022-03-31,58.7182
2022-02-28,57.6543
2022-01-31,59.6801
2021-12-31,60.1177
2021-11-30,57.3243
2021-10-29,55.6283
2021-09-30,54.1776
2021-08-31,54.6694
2021-07-30,53.3617
2021-06-30,51.9775
2021-05-28,51.3549
2021-04-30,49.9621
2021-03-31,48.3255
2021-02-26,47.0286
2021-01-29,46.9022
2020-12-31,47.0980
2020-11-30,45.8543
2020-10-30,43.9861
2020-09-30,44.0498
2020-08-31,43.3411
2020-07-31,40.6713
2020-06-30,37.7676
2020-05-29,35.6854
2020-04-30,33.5033
2020-03-31,32.6737
2020-02-28,33.7274
2020-01-31,33.8476
2019-12-31,33.6802
2019-11-29,32.6350
2019-10-31,31.7794
2019-09-30,30.4084
2019-08-30,29.9798
2019-07-31,30.2229
2019-06-28,30.4345
2019-05-31,30.0199
2019-04-30,30.2413
2019-03-29,28.5471
2019-02-28,27.5960
2019-01-31,26.5617
2018-12-31,25.6509
2018-11-30,26.1581
2018-10-31,25.3873
2018-09-28,25.9264
2018-08-31,25.3615
2018-07-31,24.5009
2018-06-29,23.6069
2018-05-31,24.2347
2018-04-30,24.0255
2018-03-29,24.3661
2018-02-28,23.9454
2018-01-31,23.3182
2017-12-29,22.3944
2017-11-30,21.2521
2017-10-31,20.1559
2017-09-29,19.7499
2017-08-31,19.5389
2017-07-31,19.8279
2017-06-30,20.1563
2017-05-31,20.5420
2017-04-28,21.1186
2017-03-31,21.5791
2017-02-28,20.9094
2017-01-31,20.2713
2016-12-30,19.4631
2016-11-30,18.9467
2016-10-31,18.1647
2016-09-30,18.7374
2016-08-31,19.0251
2016-07-29,19.1489
2016-06-30,19.3729
2016-05-31,19.4057
2016-04-29,19.1215
2016-03-31,18.5795
2016-02-29,17.4806
2016-01-29,16.7027
2015-12-31,16.5574
2015-11-30,16.3840
2015-10-30,16.2098
2015-09-30,16.2587
2015-08-31,16.8697
2015-07-31,17.3465
2015-06-30,17.3810
2015-05-29,17.4335
2015-04-30,17.6394
2015-03-31,17.7221
2015-02-27,18.1142
2015-01-30,18.6282
2014-12-31,18.7999
2014-11-28,18.5074
2014-10-31,18.5488
2014-09-30,18.8210
2014-08-29,19.0817
2014-07-31,19.3635
2014-06-30,19.9066
2014-05-30,19.7474
2014-04-30,19.6578
2014-03-31,19.2891
2014-02-28,18.9723
2014-01-31,18.9216
2013-12-31,19.4349
2013-11-29,19.5229
2013-10-31,19.8054
2013-09-30,19.5825
2013-08-30,19.2361
2013-07-31,19.8717
2013-06-28,19.8129
2013-05-31,20.3310
2013-04-30,19.8714
2013-03-28,19.7772
2013-02-28,19.2555
2013-01-31,18.4738
2012-12-31,17.7432
2012-11-30,17.2933
2012-10-31,17.6106
2012-09-28,17.5187
2012-08-31,17.7084
2012-07-31,17.9230
2012-06-29,18.1781
2012-05-31,19.0018
2012-04-30,19.3896
2012-03-30,19.4103
2012-02-29,18.1597
2012-01-31,16.6648
2011-12-30,15.6344
2011-11-30,14.7613
2011-10-31,13.8869
2011-09-30,13.2891
2011-08-31,13.3014
2011-07-29,13.2579
2011-06-30,13.1384
2011-05-31,12.5713
2011-04-29,12.2540
2011-03-31,11.7362
2011-02-28,11.2259
2011-01-31,10.7425
2010-12-31,10.4517
2010-11-30,9.8854
2010-10-29,9.6406
2010-09-30,9.4995
2010-08-31,9.1517
2010-07-30,9.3260
2010-06-30,9.2610
2010-05-28,9.0633
2010-04-30,8.7580
2010-03-31,7.9806
2010-02-26,7.4748
2010-01-29,7.0854
2009-12-31,6.8286
2009-11-30,6.4699
2009-10-30,6.3618
2009-09-30,6.4314
2009-08-31,6.1879
2009-07-31,6.0718
2009-06-30,6.0058
2009-05-29,6.1222
2009-04-30,6.2866
2009-03-31,6.1050
2009-02-27,6.3755
2009-01-30,6.9164
2008-12-31,7.3530
2008-11-28,7.8915
2008-10-31,8.3478
2008-09-30,8.8173
2008-08-29,8.7148
2008-07-31,8.3645
2008-06-30,8.1482
2008-05-30,8.2983
2008-04-30,7.9960
2008-03-31,7.6312
2008-02-29,7.3629
2008-01-31,7.4146
2007-12-31,7.5200
2007-11-30,7.6565
2007-10-31,7.8944
2007-09-28,7.8260
2007-08-31,7.6512
2007-07-31,7.3911
2007-06-29,7.0941
2007-05-31,6.9395
2007-04-30,6.6127
2007-03-30,6.3455
2007-02-28,6.4607
2007-01-31,6.5996
2006-12-29,6.6460
2006-11-30,6.8159
2006-10-31,7.0332
2006-09-29,6.9909
2006-08-31,7.0562
2006-07-31,7.2849
2006-06-30,7.6826
2006-05-31,7.8383
2006-04-28,7.8197
2006-03-31,7.4803
2006-02-28,6.9634
2006-01-31,6.5162
2005-12-30,6.3592
2005-11-30,6.0604
2005-10-31,5.6040
2005-09-30,5.3384
2005-08-31,5.3228
2005-07-29,5.3160
2005-06-30,5.1199
2005-05-31,5.0194
2005-04-29,5.0000
2005-03-31,5.1454
2005-02-28,5.2674
2005-01-31,5.3033
2004-12-31,5.2907
2004-11-30,5.2097
2004-10-29,5.1059
2004-09-30,5.1812
2004-08-31,5.1805
2004-07-30,4.9700
2004-06-30,4.6994
2004-05-28,4.5344
2004-04-30,4.4938
2004-03-31,4.3116
2004-02-27,4.1005
2004-01-30,4.0061
2003-12-31,3.8963
2003-11-28,3.6705
2003-10-31,3.3627
2003-09-30,3.1407
2003-08-29,3.0922
2003-07-31,2.9303
2003-06-30,2.8070
2003-05-30,2.7908
2003-04-30,2.7892
2003-03-31,2.7475
2003-02-28,2.9308
2003-01-31,2.9873
2002-12-31,3.0702
2002-11-29,3.0203
2002-10-31,3.0143
2002-09-30,3.0717
2002-08-30,3.2357
2002-07-31,3.3160
2002-06-28,3.3120
2002-05-31,3.2843
2002-04-30,3.2035
2002-03-28,3.0025
2002-02-28,2.8835
2002-01-31,2.7309
2001-12-31,2.6718
2001-11-30,2.5995
2001-10-31,2.6158
2001-09-28,2.6594
2001-08-31,2.7545
2001-07-31,2.7150
2001-06-29,2.6631
