,DEMA_monthly_10
2022-04-04,200.8187
2022-03-31,203.1354
2022-02-28,206.9096
2022-01-31,214.0853
2021-12-31,217.5420
2021-11-30,220.2252
2021-10-29,226.3716
2021-09-30,227.4855
2021-08-31,231.3980
2021-07-30,227.5571
2021-06-30,221.5073
2021-05-28,219.2499
2021-04-30,210.6675
2021-03-31,202.5463
2021-02-26,193.8382
2021-01-29,188.2140
2020-12-31,183.7666
2020-11-30,169.9506
2020-10-30,155.0065
2020-09-30,152.1482
2020-08-31,148.4400
2020-07-31,143.0754
2020-06-30,143.3156
2020-05-29,145.7920
2020-04-30,148.6600
2020-03-31,154.7020
2020-02-28,166.2860
2020-01-31,169.6067
2019-12-31,169.5831
2019-11-29,167.7422
2019-10-31,164.4031
2019-09-30,162.5598
2019-08-30,161.3808
2019-07-31,161.5304
2019-06-28,158.5601
2019-05-31,153.4544
2019-04-30,150.7284
2019-03-29,143.3285
2019-02-28,139.4232
2019-01-31,136.1217
2018-12-31,136.3199
2018-11-30,141.3158
2018-10-31,141.8212
2018-09-28,143.4943
2018-08-31,139.4974
2018-07-31,136.8837
2018-06-29,133.3009
2018-05-31,134.5272
2018-04-30,134.5106
2018-03-29,135.8940
2018-02-28,137.6307
2018-01-31,137.1428
2017-12-29,133.1774
2017-11-30,130.0783
2017-10-31,124.6695
2017-09-29,122.1035
2017-08-31,119.4112
2017-07-31,116.9669
2017-06-30,114.6042
2017-05-31,112.3645
2017-04-28,109.3182
2017-03-31,106.0627
2017-02-28,103.9875
2017-01-31,101.2373
2016-12-30,100.0774
2016-11-30,99.3843
2016-10-31,99.1033
2016-09-30,100.5179
2016-08-31,99.6764
2016-07-29,98.3843
2016-06-30,96.9047
2016-05-31,94.8094
2016-04-29,92.8371
2016-03-31,90.1564
2016-02-29,87.3213
2016-01-29,87.4983
2015-12-31,87.2105
2015-11-30,86.6320
2015-10-30,85.6593
2015-09-30,84.7790
2015-08-31,86.7527
2015-07-31,87.6303
2015-06-30,86.7595
2015-05-29,86.6434
2015-04-30,85.5650
2015-03-31,85.4191
2015-02-27,83.8692
2015-01-30,82.2525
2014-12-31,82.0191
2014-11-28,80.8147
2014-10-31,79.4125
2014-09-30,78.7079
2014-08-29,78.7640
2014-07-31,77.9658
2014-06-30,78.1873
2014-05-30,77.9582
2014-04-30,77.4469
2014-03-31,76.8783
2014-02-28,76.0159
2014-01-31,74.0936
2013-12-31,72.6759
2013-11-29,70.5670
2013-10-31,68.6152
2013-09-30,66.6503
2013-08-30,65.1956
2013-07-31,64.3493
2013-06-28,62.0000
2013-05-31,60.0108
2013-04-30,57.5301
2013-03-28,55.9782
2013-02-28,53.1502
2013-01-31,51.1293
2012-12-31,49.1468
2012-11-30,48.1109
2012-10-31,47.4267
2012-09-28,46.6440
2012-08-31,46.0740
2012-07-31,45.7256
2012-06-29,45.4876
2012-05-31,45.8974
2012-04-30,46.4631
2012-03-30,45.5623
2012-02-29,44.1604
2012-01-31,42.7405
2011-12-30,41.4488
2011-11-30,40.9535
2011-10-31,40.3333
2011-09-30,40.2066
2011-08-31,42.9117
2011-07-29,45.1674
2011-06-30,46.4440
2011-05-31,45.8578
2011-04-29,44.9724
2011-03-31,43.2151
2011-02-28,41.2579
2011-01-31,39.1360
2010-12-31,36.9482
2010-11-30,34.8922
2010-10-29,33.2293
2010-09-30,31.9202
2010-08-31,31.1838
2010-07-30,31.7911
2010-06-30,31.4094
2010-05-28,32.1259
2010-04-30,31.8068
2010-03-31,29.8819
2010-02-26,27.9828
2010-01-29,27.0902
2009-12-31,26.4789
2009-11-30,25.4733
2009-10-30,24.3686
2009-09-30,23.8357
2009-08-31,22.7437
2009-07-31,21.4487
2009-06-30,20.5358
2009-05-29,20.4496
2009-04-30,19.8646
2009-03-31,19.9052
2009-02-27,21.1464
2009-01-30,23.2655
2008-12-31,24.4335
2008-11-28,26.1108
2008-10-31,30.0349
2008-09-30,34.6712
2008-08-29,37.4851
2008-07-31,38.5926
