,DEMA_monthly_10
2022-04-04,37.0683
2022-03-31,36.4648
2022-02-28,35.7231
2022-01-31,35.6122
2021-12-31,34.3270
2021-11-30,32.0982
2021-10-29,30.1895
2021-09-30,29.7360
2021-08-31,30.3697
2021-07-30,30.1935
2021-06-30,30.2571
2021-05-28,29.6799
2021-04-30,29.3115
2021-03-31,26.6073
2021-02-26,23.9150
2021-01-29,21.5217
2020-12-31,20.2583
2020-11-30,18.4258
2020-10-30,17.1739
2020-09-30,17.1876
2020-08-31,16.7711
2020-07-31,16.0564
2020-06-30,15.9464
2020-05-29,15.8834
2020-04-30,16.8550
2020-03-31,18.0229
2020-02-28,18.8247
2020-01-31,18.5415
2019-12-31,17.9409
2019-11-29,17.4595
2019-10-31,17.0919
2019-09-30,17.7300
2019-08-30,17.9640
2019-07-31,18.6125
2019-06-28,18.3695
2019-05-31,18.1544
2019-04-30,18.7993
2019-03-29,19.1601
2019-02-28,19.8596
2019-01-31,20.7420
2018-12-31,20.9927
2018-11-30,21.9418
2018-10-31,22.2341
2018-09-28,22.1365
2018-08-31,21.3166
2018-07-31,20.6803
2018-06-29,20.4148
2018-05-31,20.1799
2018-04-30,20.1432
2018-03-29,20.2699
2018-02-28,20.2287
2018-01-31,19.6024
2017-12-29,18.7431
2017-11-30,18.4520
2017-10-31,17.9027
2017-09-29,17.0856
2017-08-31,16.5703
2017-07-31,16.2367
2017-06-30,15.7474
2017-05-31,15.6839
2017-04-28,15.1238
2017-03-31,14.3163
2017-02-28,13.5647
2017-01-31,12.7797
2016-12-30,12.5924
2016-11-30,12.4066
2016-10-31,11.9792
2016-09-30,11.7380
2016-08-31,11.0128
2016-07-29,10.5202
2016-06-30,9.9965
2016-05-31,9.8487
2016-04-29,9.3999
2016-03-31,9.2272
2016-02-29,9.0001
2016-01-29,9.3702
2015-12-31,10.2549
2015-11-30,10.6847
2015-10-30,11.0713
2015-09-30,11.4188
2015-08-31,12.1376
2015-07-31,12.7135
2015-06-30,13.0608
2015-05-29,13.6157
2015-04-30,13.7937
2015-03-31,14.0976
2015-02-27,14.8057
2015-01-30,15.1237
2014-12-31,15.2980
2014-11-28,14.8054
2014-10-31,14.3219
2014-09-30,14.1863
2014-08-29,14.0399
2014-07-31,13.3986
2014-06-30,12.9119
2014-05-30,12.5560
2014-04-30,12.1035
2014-03-31,11.5397
2014-02-28,10.8734
2014-01-31,10.4020
2013-12-31,9.8968
2013-11-29,9.3734
2013-10-31,8.7879
2013-09-30,8.4953
2013-08-30,8.6664
2013-07-31,8.6843
2013-06-28,8.1382
2013-05-31,7.5468
2013-04-30,6.8407
2013-03-28,6.5374
2013-02-28,5.6031
2013-01-31,5.0101
2012-12-31,4.8493
2012-11-30,5.0480
2012-10-31,5.5866
2012-09-28,6.2111
2012-08-31,6.5628
2012-07-31,7.1258
2012-06-29,7.6988
2012-05-31,8.2002
2012-04-30,8.5122
2012-03-30,8.6292
2012-02-29,8.9739
2012-01-31,9.2552
2011-12-30,9.2413
2011-11-30,9.6227
2011-10-31,9.8454
2011-09-30,10.4050
2011-08-31,11.8689
2011-07-29,13.3175
2011-06-30,13.8268
2011-05-31,14.3320
2011-04-29,14.8887
2011-03-31,15.1700
2011-02-28,15.4590
2011-01-31,15.4416
2010-12-31,15.0955
2010-11-30,15.2087
2010-10-29,15.4090
2010-09-30,15.6680
2010-08-31,16.0163
2010-07-30,17.0724
2010-06-30,17.2825
2010-05-28,17.9879
2010-04-30,18.4944
2010-03-31,18.2039
2010-02-26,17.5961
2010-01-29,17.1360
2009-12-31,17.0779
2009-11-30,16.2722
2009-10-30,15.5652
2009-09-30,14.8499
2009-08-31,13.9169
2009-07-31,13.0386
2009-06-30,12.1159
2009-05-29,11.6250
2009-04-30,11.6791
2009-03-31,11.5258
2009-02-27,11.9685
2009-01-30,13.0862
2008-12-31,13.7199
2008-11-28,14.3516
2008-10-31,15.3869
2008-09-30,16.3171
2008-08-29,16.3230
2008-07-31,16.2335
2008-06-30,16.4391
2008-05-30,16.8009
2008-04-30,16.8448
2008-03-31,17.0010
2008-02-29,17.3021
2008-01-31,17.3705
2007-12-31,18.0661
2007-11-30,17.9179
2007-10-31,17.5883
2007-09-28,17.0271
2007-08-31,16.5296
2007-07-31,15.9074
2007-06-29,15.5531
2007-05-31,15.2645
2007-04-30,14.6898
2007-03-30,14.4404
2007-02-28,14.3861
2007-01-31,14.4166
2006-12-29,13.8184
2006-11-30,13.3048
2006-10-31,12.8641
2006-09-29,12.3550
2006-08-31,11.9612
2006-07-31,11.4410
2006-06-30,11.4352
2006-05-31,11.4409
2006-04-28,11.3301
2006-03-31,11.1417
2006-02-28,10.7961
2006-01-31,10.3316
2005-12-30,9.9325
2005-11-30,9.7636
2005-10-31,9.3679
2005-09-30,9.0640
2005-08-31,8.4599
2005-07-29,7.8649
2005-06-30,7.5321
2005-05-31,7.2466
2005-04-29,7.0217
2005-03-31,7.0259
2005-02-28,6.8068
2005-01-31,6.6969
2004-12-31,6.7325
2004-11-30,6.5732
2004-10-29,6.5194
2004-09-30,6.6515
2004-08-31,6.8181
2004-07-30,7.1835
2004-06-30,7.3338
2004-05-28,7.3888
2004-04-30,7.4472
2004-03-31,7.7472
2004-02-27,7.6712
2004-01-30,7.5885
2003-12-31,7.3042
2003-11-28,7.0325
2003-10-31,6.8404
2003-09-30,6.4893
2003-08-29,6.4496
2003-07-31,6.3182
2003-06-30,5.9539
2003-05-30,5.4439
2003-04-30,5.0394
2003-03-31,4.9763
2003-02-28,5.0131
2003-01-31,5.0420
2002-12-31,4.8657
2002-11-29,4.6527
2002-10-31,4.0887
2002-09-30,3.8967
2002-08-30,4.2758
2002-07-31,4.5720
2002-06-28,4.9007
2002-05-31,5.2141
2002-04-30,5.1304
2002-03-28,5.3463
2002-02-28,5.5581
2002-01-31,5.5842
2001-12-31,5.3829
2001-11-30,5.3962
2001-10-31,5.2815
2001-09-28,5.9400
2001-08-31,7.0104
2001-07-31,7.5086
2001-06-29,8.0431
