,DEMA_monthly_10
2022-04-04,578.0246
2022-03-31,588.9817
2022-02-28,603.7832
2022-01-31,629.6307
2021-12-31,674.5718
2021-11-30,666.2635
2021-10-29,675.8625
2021-09-30,661.0451
2021-08-31,658.8243
2021-07-30,630.6344
2021-06-30,588.5333
2021-05-28,550.9659
2021-04-30,531.4660
2021-03-31,507.7057
2021-02-26,500.7750
2021-01-29,476.1401
2020-12-31,459.9541
2020-11-30,427.2820
2020-10-30,399.3446
2020-09-30,376.7257
2020-08-31,359.4053
2020-07-31,336.1072
2020-06-30,301.0443
2020-05-29,283.4820
2020-04-30,269.0097
2020-03-31,263.2618
2020-02-28,271.0990
2020-01-31,275.9280
2019-12-31,274.7506
2019-11-29,277.1983
2019-10-31,284.3056
2019-09-30,278.4488
2019-08-30,275.8371
2019-07-31,263.8272
2019-06-28,250.5839
2019-05-31,235.3412
2019-04-30,225.9061
2019-03-29,220.8879
2019-02-28,217.6736
2019-01-31,218.7514
2018-12-31,219.2023
2018-11-30,231.4520
2018-10-31,239.6231
2018-09-28,246.3426
2018-08-31,238.0060
2018-07-31,224.1813
2018-06-29,209.0531
2018-05-31,200.2214
2018-04-30,192.2278
2018-03-29,187.1738
2018-02-28,181.3630
2018-01-31,175.0267
2017-12-29,166.2486
2017-11-30,167.7889
2017-10-31,169.5131
2017-09-29,167.1040
2017-08-31,168.2057
2017-07-31,169.2502
2017-06-30,165.2258
2017-05-31,161.5150
2017-04-28,152.8692
2017-03-31,141.0137
2017-02-28,130.4540
2017-01-31,120.1704
2016-12-30,116.0805
2016-11-30,112.5284
2016-10-31,107.2875
2016-09-30,104.6413
2016-08-31,98.3273
2016-07-29,89.6287
2016-06-30,86.1684
2016-05-31,81.7891
2016-04-29,78.1449
2016-03-31,74.5977
2016-02-29,72.4604
2016-01-29,71.8503
2015-12-31,72.3458
2015-11-30,71.7415
2015-10-30,71.8303
2015-09-30,72.8909
2015-08-31,71.7622
2015-07-31,71.4344
2015-06-30,70.3865
2015-05-29,72.7546
2015-04-30,74.2401
2015-03-31,78.4144
2015-02-27,77.4045
2015-01-30,75.3656
2014-12-31,72.1171
2014-11-28,69.8701
2014-10-31,66.4841
2014-09-30,63.5372
2014-08-29,64.7933
2014-07-31,65.0148
2014-06-30,65.0828
2014-05-30,63.0241
2014-04-30,61.2654
2014-03-31,59.2385
2014-02-28,57.5274
2014-01-31,54.1278
2013-12-31,52.0718
2013-11-29,51.0037
2013-10-31,50.0068
2013-09-30,47.7979
2013-08-30,46.6254
2013-07-31,46.3274
2013-06-28,44.9844
2013-05-31,45.0206
2013-04-30,46.6772
2013-03-28,47.6557
2013-02-28,47.9515
2013-01-31,48.3666
2012-12-31,48.1861
2012-11-30,48.4233
2012-10-31,48.5288
2012-09-28,47.9912
2012-08-31,46.4935
2012-07-31,45.3667
2012-06-29,45.3213
2012-05-31,43.4236
2012-04-30,43.3269
2012-03-30,42.4509
2012-02-29,41.3237
2012-01-31,40.1363
2011-12-30,38.7556
2011-11-30,38.5634
2011-10-31,38.6654
2011-09-30,39.4761
2011-08-31,41.1863
2011-07-29,41.0080
2011-06-30,39.9841
2011-05-31,39.7236
2011-04-29,39.0300
2011-03-31,37.4079
2011-02-28,36.0838
2011-01-31,34.1238
2010-12-31,32.7626
2010-11-30,31.4329
2010-10-29,30.7167
2010-09-30,30.6598
2010-08-31,30.1502
2010-07-30,30.8572
2010-06-30,30.9833
2010-05-28,30.6118
2010-04-30,29.5290
2010-03-31,27.3703
2010-02-26,26.3358
2010-01-29,25.9666
2009-12-31,25.5053
2009-11-30,24.6393
2009-10-30,24.2043
2009-09-30,23.3573
2009-08-31,22.4496
2009-07-31,21.0507
2009-06-30,19.3837
2009-05-29,17.9708
2009-04-30,17.0469
2009-03-31,16.4619
2009-02-27,16.7943
2009-01-30,18.3109
2008-12-31,19.8154
2008-11-28,21.1653
2008-10-31,24.1764
2008-09-30,27.2927
2008-08-29,27.1112
2008-07-31,26.5209
2008-06-30,26.3419
2008-05-30,27.1525
2008-04-30,27.8347
2008-03-31,28.1263
2008-02-29,29.3620
2008-01-31,29.5943
2007-12-31,29.6494
2007-11-30,29.1573
2007-10-31,28.0143
2007-09-28,26.3307
2007-08-31,25.3732
2007-07-31,23.8029
2007-06-29,22.9380
2007-05-31,22.3766
2007-04-30,22.3056
2007-03-30,21.9791
2007-02-28,21.8015
2007-01-31,21.7025
2006-12-29,21.5880
2006-11-30,22.1335
2006-10-31,22.2400
2006-09-29,22.5059
2006-08-31,21.9378
2006-07-31,21.0343
2006-06-30,20.1720
2006-05-31,20.4657
2006-04-28,20.6770
2006-03-31,20.1617
2006-02-28,19.0737
2006-01-31,18.4370
2005-12-30,17.7412
2005-11-30,17.3118
2005-10-31,16.7518
2005-09-30,16.1292
2005-08-31,15.6295
2005-07-29,15.2525
2005-06-30,14.7912
2005-05-31,14.2806
2005-04-29,14.0933
2005-03-31,13.9403
2005-02-28,14.0104
2005-01-31,13.9486
2004-12-31,13.5676
2004-11-30,13.4246
2004-10-29,13.5542
2004-09-30,13.9111
2004-08-31,14.2725
2004-07-30,14.9596
2004-06-30,15.6619
2004-05-28,15.1653
2004-04-30,14.1405
2004-03-31,13.2206
2004-02-27,12.4377
2004-01-30,12.0005
2003-12-31,11.6175
2003-11-28,11.3764
2003-10-31,10.9069
2003-09-30,10.2448
2003-08-29,9.8751
2003-07-31,9.4761
2003-06-30,9.0401
2003-05-30,9.2354
2003-04-30,9.2258
2003-03-31,8.8225
2003-02-28,8.7137
2003-01-31,8.3870
2002-12-31,8.1394
2002-11-29,7.9416
2002-10-31,7.8862
2002-09-30,7.4461
2002-08-30,7.2413
2002-07-31,7.1666
2002-06-28,7.0424
2002-05-31,7.2546
2002-04-30,6.8863
2002-03-28,6.7328
2002-02-28,6.7048
2002-01-31,6.7476
2001-12-31,6.8738
2001-11-30,6.6933
2001-10-31,6.3906
2001-09-28,6.4032
2001-08-31,6.6202
2001-07-31,6.8148
2001-06-29,7.0432
