,DEMA_monthly_10
2014-04-09,15.2837
2014-03-31,15.2691
2014-02-28,15.2424
2014-01-31,15.2024
2013-12-31,15.2142
2013-11-29,15.1155
2013-10-31,15.3693
2013-09-30,15.0412
2013-08-30,14.8076
2013-07-31,14.5899
2013-06-28,13.5427
2013-05-31,13.2938
2013-04-30,12.5779
2013-03-28,11.8744
2013-02-28,11.4847
2013-01-31,11.4766
2012-12-31,11.2825
2012-11-30,11.4314
2012-10-31,11.3210
2012-09-28,11.1697
2012-08-31,10.5021
2012-07-31,9.6974
2012-06-29,9.5673
2012-05-31,9.8492
2012-04-30,10.2105
2012-03-30,10.0492
2012-02-29,9.2716
2012-01-31,9.4263
2011-12-30,9.9962
2011-11-30,10.1796
2011-10-31,10.3258
2011-09-30,10.4348
2011-08-31,11.4526
2011-07-29,11.7583
2011-06-30,11.7134
2011-05-31,12.5699
2011-04-29,13.1288
2011-03-31,13.3485
2011-02-28,13.6089
2011-01-31,14.1649
2010-12-31,15.2017
2010-11-30,15.3913
2010-10-29,16.4892
2010-09-30,17.5833
2010-08-31,16.8447
2010-07-30,17.6222
2010-06-30,17.7869
2010-05-28,18.6358
2010-04-30,18.1318
2010-03-31,16.5304
2010-02-26,15.4826
2010-01-29,14.9430
2009-12-31,15.2157
2009-11-30,14.8651
2009-10-30,13.9809
2009-09-30,12.3830
2009-08-31,10.1960
2009-07-31,8.2303
2009-06-30,6.3904
2009-05-29,5.2193
2009-04-30,4.3839
2009-03-31,3.3054
2009-02-27,4.0259
2009-01-30,5.7281
2008-12-31,7.8209
2008-11-28,9.7453
2008-10-31,12.6976
2008-09-30,14.3819
2008-08-29,13.7426
2008-07-31,12.3891
2008-06-30,11.9190
2008-05-30,12.5366
2008-04-30,12.2333
2008-03-31,12.3506
2008-02-29,13.5436
2008-01-31,14.9696
2007-12-31,15.9814
2007-11-30,17.7393
2007-10-31,19.1514
2007-09-28,20.2836
2007-08-31,21.7941
2007-07-31,24.6215
2007-06-29,26.3033
2007-05-31,27.3196
2007-04-30,28.1022
2007-03-30,27.8315
2007-02-28,28.4695
2007-01-31,28.4926
2006-12-29,28.0798
2006-11-30,27.7861
2006-10-31,27.3143
2006-09-29,26.7992
2006-08-31,26.4635
2006-07-31,26.4403
2006-06-30,27.0928
2006-05-31,27.1413
2006-04-28,26.9535
2006-03-31,26.0217
2006-02-28,24.3891
2006-01-31,24.6217
2005-12-30,24.0720
2005-11-30,23.5689
2005-10-31,23.6600
2005-09-30,24.4162
2005-08-31,25.0136
2005-07-29,25.9672
2005-06-30,26.4318
2005-05-31,26.9043
2005-04-29,27.2365
2005-03-31,28.2764
2005-02-28,28.5602
2005-01-31,29.5823
2004-12-31,30.3038
2004-11-30,30.1784
2004-10-29,30.3786
2004-09-30,30.7511
2004-08-31,31.0449
2004-07-30,31.4509
2004-06-30,31.3889
2004-05-28,30.4854
2004-04-30,29.6052
2004-03-31,29.1059
2004-02-27,28.5719
2004-01-30,27.4100
2003-12-31,27.0402
2003-11-28,26.1090
2003-10-31,25.1210
2003-09-30,23.8304
2003-08-29,23.7804
2003-07-31,23.3913
2003-06-30,23.6362
2003-05-30,23.8887
2003-04-30,24.2285
2003-03-31,25.0269
2003-02-28,26.5276
2003-01-31,28.2273
2002-12-31,28.9486
2002-11-29,28.9124
2002-10-31,28.3651
2002-09-30,28.4122
2002-08-30,29.9033
2002-07-31,29.9366
2002-06-28,30.7087
2002-05-31,30.4583
2002-04-30,29.2352
2002-03-28,27.8999
2002-02-28,27.5466
2002-01-31,26.8089
2001-12-31,26.7224
2001-11-30,26.6095
2001-10-31,27.1701
2001-09-28,29.2358
2001-08-31,32.7545
2001-07-31,35.0964
2001-06-29,35.5580
