,DEMA_monthly_10
2022-04-04,128.2203
2022-03-31,129.9179
2022-02-28,133.0387
2022-01-31,134.6194
2021-12-31,133.3993
2021-11-30,129.4047
2021-10-29,130.0756
2021-09-30,131.3373
2021-08-31,131.7325
2021-07-30,130.3940
2021-06-30,129.4947
2021-05-28,129.1302
2021-04-30,130.5072
2021-03-31,131.1974
2021-02-26,129.6507
2021-01-29,132.6607
2020-12-31,135.0711
2020-11-30,137.0878
2020-10-30,138.2576
2020-09-30,142.5548
2020-08-31,141.7917
2020-07-31,136.7787
2020-06-30,132.2878
2020-05-29,130.6168
2020-04-30,128.6781
2020-03-31,127.2008
2020-02-28,129.5331
2020-01-31,131.5571
2019-12-31,129.1277
2019-11-29,128.0484
2019-10-31,127.3486
2019-09-30,127.6452
2019-08-30,124.0787
2019-07-31,119.9054
2019-06-28,116.3544
2019-05-31,112.4038
2019-04-30,109.5718
2019-03-29,105.4723
2019-02-28,101.7114
2019-01-31,99.9053
2018-12-31,99.6527
2018-11-30,98.2840
2018-10-31,96.2873
2018-09-28,98.0297
2018-08-31,96.6840
2018-07-31,94.5478
2018-06-29,92.3996
2018-05-31,92.9574
2018-04-30,95.9578
2018-03-29,99.0190
2018-02-28,100.6169
2018-01-31,102.8773
2017-12-29,103.5850
2017-11-30,103.1338
2017-10-31,103.2633
2017-09-29,106.2320
2017-08-31,108.2291
2017-07-31,109.1075
2017-06-30,110.2865
2017-05-31,109.5405
2017-04-28,108.5969
2017-03-31,107.2538
2017-02-28,104.6795
2017-01-31,101.1979
2016-12-30,100.7903
2016-11-30,102.8685
2016-10-31,105.4284
2016-09-30,109.2634
2016-08-31,109.9613
2016-07-29,110.4084
2016-06-30,110.3220
2016-05-31,107.1287
2016-04-29,106.8814
2016-03-31,107.0802
2016-02-29,103.7700
2016-01-29,101.0465
2015-12-31,97.9364
2015-11-30,94.0501
2015-10-30,92.0234
2015-09-30,89.0284
2015-08-31,88.8113
2015-07-31,89.7011
2015-06-30,87.8166
2015-05-29,88.4597
2015-04-30,88.5475
2015-03-31,88.3062
2015-02-27,88.8288
2015-01-30,88.8569
2014-12-31,89.4015
2014-11-28,87.3553
2014-10-31,84.4355
2014-09-30,82.8870
2014-08-29,82.9842
2014-07-31,83.1756
2014-06-30,84.7204
2014-05-30,84.2388
2014-04-30,83.3748
2014-03-31,82.1218
2014-02-28,80.9737
2014-01-31,79.5514
2013-12-31,77.8371
2013-11-29,77.0232
2013-10-31,74.5430
2013-09-30,71.4776
2013-08-30,71.7510
2013-07-31,72.5245
2013-06-28,71.7317
2013-05-31,71.0786
2013-04-30,70.4337
2013-03-28,67.3980
2013-02-28,64.8649
2013-01-31,62.7955
2012-12-31,61.4346
2012-11-30,61.1295
