,DEMA_monthly_10
2022-04-04,63.4700
2022-03-31,62.2159
2022-02-28,59.9972
2022-01-31,58.4676
2021-12-31,57.0983
2021-11-30,56.0198
2021-10-29,56.4010
2021-09-30,55.6907
2021-08-31,55.5916
2021-07-30,54.4956
2021-06-30,53.9406
2021-05-28,52.6357
2021-04-30,49.1248
2021-03-31,45.5199
2021-02-26,42.6061
2021-01-29,40.2064
2020-12-31,38.1268
2020-11-30,35.4810
2020-10-30,33.3619
2020-09-30,33.8237
2020-08-31,34.5131
2020-07-31,35.0529
2020-06-30,35.6716
2020-05-29,37.5508
2020-04-30,40.6450
2020-03-31,44.2906
2020-02-28,49.1681
2020-01-31,50.9786
2019-12-31,50.8639
2019-11-29,50.2349
2019-10-31,50.0746
2019-09-30,50.7075
2019-08-30,50.4494
2019-07-31,51.5776
2019-06-28,50.6903
2019-05-31,48.9728
2019-04-30,48.1001
2019-03-29,46.9793
2019-02-28,46.9490
2019-01-31,47.0513
2018-12-31,47.1008
2018-11-30,48.2147
2018-10-31,48.5979
2018-09-28,49.7863
2018-08-31,49.7591
2018-07-31,49.6620
2018-06-29,49.3266
2018-05-31,49.9387
2018-04-30,50.4681
2018-03-29,49.5984
2018-02-28,49.5759
2018-01-31,49.6735
2017-12-29,48.7704
2017-11-30,48.2123
2017-10-31,47.3060
2017-09-29,46.6350
2017-08-31,46.4020
2017-07-31,46.5971
2017-06-30,45.9365
2017-05-31,45.8042
2017-04-28,45.4261
2017-03-31,45.1245
2017-02-28,44.6008
2017-01-31,43.7527
2016-12-30,42.7597
2016-11-30,41.2725
2016-10-31,40.1720
2016-09-30,39.3864
2016-08-31,39.1141
2016-07-29,38.4262
2016-06-30,37.7414
2016-05-31,36.9163
2016-04-29,36.0690
2016-03-31,35.3085
2016-02-29,34.9120
2016-01-29,35.2203
2015-12-31,35.4080
2015-11-30,35.0976
2015-10-30,34.9321
2015-09-30,35.3841
2015-08-31,36.1679
2015-07-31,37.1260
2015-06-30,37.7662
2015-05-29,38.4828
2015-04-30,38.7842
2015-03-31,38.5917
2015-02-27,38.6992
2015-01-30,38.7924
2014-12-31,40.1328
2014-11-28,40.3607
2014-10-31,40.8416
2014-09-30,40.6968
2014-08-29,41.3335
2014-07-31,41.3190
2014-06-30,42.0123
2014-05-30,42.1535
2014-04-30,42.7139
2014-03-31,43.1337
2014-02-28,43.6526
2014-01-31,44.5711
2013-12-31,45.3347
2013-11-29,44.7847
2013-10-31,44.3773
2013-09-30,43.4107
2013-08-30,42.7341
2013-07-31,42.7487
2013-06-28,42.3013
2013-05-31,42.1466
2013-04-30,41.3061
2013-03-28,40.6512
2013-02-28,39.9933
2013-01-31,39.5112
2012-12-31,38.7328
2012-11-30,38.7656
2012-10-31,38.7379
2012-09-28,38.1235
2012-08-31,37.7086
2012-07-31,37.3938
2012-06-29,37.4292
2012-05-31,36.9163
2012-04-30,37.0621
2012-03-30,36.3442
2012-02-29,35.9016
2012-01-31,35.6137
2011-12-30,36.0193
2011-11-30,36.4267
2011-10-31,36.6496
2011-09-30,36.4471
2011-08-31,38.3081
2011-07-29,39.5150
2011-06-30,40.1944
2011-05-31,40.1389
2011-04-29,40.0382
