,DEMA_monthly_10
2022-04-04,174.2278
2022-03-31,170.9400
2022-02-28,165.7229
2022-01-31,160.9180
2021-12-31,158.2046
2021-11-30,152.4641
2021-10-29,152.3775
2021-09-30,146.4724
2021-08-31,143.6225
2021-07-30,145.3414
2021-06-30,142.5875
2021-05-28,142.8457
2021-04-30,139.7813
2021-03-31,133.1955
2021-02-26,124.2965
2021-01-29,112.1967
2020-12-31,110.0088
2020-11-30,100.1138
2020-10-30,89.1475
2020-09-30,89.7353
2020-08-31,90.9019
2020-07-31,88.1365
2020-06-30,93.2171
2020-05-29,99.4963
2020-04-30,106.9653
2020-03-31,116.1265
2020-02-28,135.7367
2020-01-31,140.1601
2019-12-31,139.0808
2019-11-29,132.4562
2019-10-31,128.3675
2019-09-30,129.1394
2019-08-30,131.0787
2019-07-31,132.8524
2019-06-28,129.6139
2019-05-31,124.6247
2019-04-30,124.6564
2019-03-29,119.7858
2019-02-28,118.1894
2019-01-31,115.9732
2018-12-31,117.8932
2018-11-30,123.0964
2018-10-31,127.2302
2018-09-28,132.0676
2018-08-31,131.8364
2018-07-31,133.7758
2018-06-29,135.7640
2018-05-31,138.7222
2018-04-30,138.5903
2018-03-29,137.6695
2018-02-28,136.3594
2018-01-31,131.9367
2017-12-29,123.0939
2017-11-30,115.8665
2017-10-31,109.6116
2017-09-29,104.3115
2017-08-31,100.9142
2017-07-31,98.9948
2017-06-30,96.0690
2017-05-31,93.5780
2017-04-28,86.8665
2017-03-31,83.4767
2017-02-28,78.8745
2017-01-31,75.6457
2016-12-30,72.3597
2016-11-30,68.6966
2016-10-31,65.4031
2016-09-30,65.3839
2016-08-31,65.9442
2016-07-29,65.1297
2016-06-30,63.8870
2016-05-31,64.4522
2016-04-29,65.4091
2016-03-31,65.1312
2016-02-29,64.3150
2016-01-29,64.5176
2015-12-31,67.8015
2015-11-30,69.7981
2015-10-30,70.8325
2015-09-30,69.8312
2015-08-31,72.0276
2015-07-31,73.8874
2015-06-30,75.5839
2015-05-29,77.0005
2015-04-30,77.2545
2015-03-31,76.6689
2015-02-27,75.5836
2015-01-30,72.7773
2014-12-31,72.4596
2014-11-28,70.3705
2014-10-31,67.0460
2014-09-30,63.7283
2014-08-29,61.5103
2014-07-31,58.5696
2014-06-30,56.4782
2014-05-30,53.7732
2014-04-30,51.0264
2014-03-31,48.8179
2014-02-28,46.5296
2014-01-31,44.0987
2013-12-31,42.8445
2013-11-29,41.0727
2013-10-31,39.5907
2013-09-30,38.4167
2013-08-30,38.0344
2013-07-31,38.3306
2013-06-28,38.1173
2013-05-31,38.2754
2013-04-30,37.7749
2013-03-28,36.6977
2013-02-28,35.5433
2013-01-31,35.0810
2012-12-31,34.2670
2012-11-30,34.2375
2012-10-31,34.5636
2012-09-28,34.9449
2012-08-31,34.3635
2012-07-31,34.1093
2012-06-29,34.2801
2012-05-31,33.3485
2012-04-30,32.2461
2012-03-30,30.6262
2012-02-29,28.9173
2012-01-31,27.6348
2011-12-30,26.2856
2011-11-30,26.5886
2011-10-31,26.4394
2011-09-30,26.6635
2011-08-31,28.5779
2011-07-29,30.3947
2011-06-30,31.6624
2011-05-31,32.2236
2011-04-29,32.0745
2011-03-31,32.7996
2011-02-28,33.6140
2011-01-31,33.2905
2010-12-31,32.7088
2010-11-30,31.0898
2010-10-29,29.7062
2010-09-30,28.6159
2010-08-31,27.5444
2010-07-30,27.4758
2010-06-30,26.6292
2010-05-28,26.9031
2010-04-30,25.9161
2010-03-31,23.3279
2010-02-26,21.7443
2010-01-29,21.2192
2009-12-31,20.8348
2009-11-30,19.9286
2009-10-30,19.2672
2009-09-30,18.6526
2009-08-31,16.9068
2009-07-31,15.9402
2009-06-30,15.5775
2009-05-29,14.9468
2009-04-30,13.7225
2009-03-31,12.0874
2009-02-27,12.6199
2009-01-30,14.2816
2008-12-31,15.8499
2008-11-28,16.9294
2008-10-31,19.4507
2008-09-30,21.4948
2008-08-29,22.4426
2008-07-31,23.0615
2008-06-30,24.7974
2008-05-30,27.0808
2008-04-30,27.8450
2008-03-31,28.4223
2008-02-29,29.2483
2008-01-31,30.4934
2007-12-31,31.5362
2007-11-30,33.5984
2007-10-31,35.2177
2007-09-28,36.0959
2007-08-31,36.4119
2007-07-31,36.4947
2007-06-29,37.5924
2007-05-31,38.4165
2007-04-30,38.4865
2007-03-30,38.8055
2007-02-28,37.8179
2007-01-31,36.8013
2006-12-29,35.2715
2006-11-30,33.2903
2006-10-31,31.5000
2006-09-29,30.2437
2006-08-31,29.6257
2006-07-31,29.1071
2006-06-30,29.2761
2006-05-31,28.4255
2006-04-28,27.9618
2006-03-31,27.1760
2006-02-28,26.8817
2006-01-31,26.5133
2005-12-30,26.3030
2005-11-30,25.9364
2005-10-31,25.8527
2005-09-30,26.5919
