,DEMA_monthly_10
2022-04-04,23.3955
2022-03-31,23.1764
2022-02-28,23.2064
2022-01-31,21.9708
2021-12-31,22.0781
2021-11-30,21.8968
2021-10-29,21.7649
2021-09-30,21.2737
2021-08-31,22.0109
2021-07-30,21.7017
2021-06-30,21.0581
2021-05-28,20.8493
2021-04-30,20.0071
2021-03-31,18.6972
2021-02-26,17.5613
2021-01-29,15.8566
2020-12-31,14.4489
2020-11-30,12.8252
2020-10-30,11.4992
2020-09-30,10.4798
2020-08-31,10.0395
2020-07-31,9.8882
2020-06-30,9.5423
2020-05-29,9.7429
2020-04-30,10.2436
2020-03-31,11.1582
2020-02-28,12.3640
2020-01-31,12.6654
2019-12-31,11.8101
2019-11-29,11.1517
2019-10-31,11.1089
2019-09-30,10.9674
2019-08-30,11.0486
2019-07-31,11.8933
2019-06-28,10.9186
2019-05-31,11.1509
2019-04-30,12.1053
2019-03-29,12.3796
2019-02-28,12.4200
2019-01-31,11.8780
2018-12-31,12.3404
2018-11-30,13.8288
2018-10-31,14.1247
2018-09-28,14.6980
2018-08-31,14.5569
2018-07-31,14.5226
2018-06-29,14.3206
2018-05-31,13.8510
2018-04-30,13.6762
2018-03-29,13.8262
2018-02-28,14.8318
2018-01-31,15.0286
2017-12-29,15.3923
2017-11-30,16.1621
2017-10-31,15.9980
2017-09-29,17.6996
2017-08-31,19.4602
2017-07-31,21.5649
2017-06-30,22.8366
2017-05-31,23.9232
2017-04-28,24.8109
2017-03-31,26.4151
2017-02-28,27.2044
2017-01-31,28.2201
2016-12-30,29.5394
2016-11-30,30.7223
2016-10-31,30.5631
2016-09-30,30.4952
2016-08-31,30.8910
2016-07-29,30.1736
2016-06-30,29.2186
2016-05-31,28.7651
2016-04-29,27.8698
2016-03-31,27.1199
2016-02-29,25.0408
2016-01-29,22.6884
2015-12-31,21.7080
2015-11-30,20.5883
2015-10-30,20.0651
2015-09-30,19.6880
2015-08-31,20.6530
2015-07-31,21.0626
2015-06-30,21.9256
2015-05-29,22.1708
2015-04-30,22.5171
2015-03-31,22.2869
2015-02-27,24.1113
2015-01-30,25.2852
2014-12-31,26.8428
2014-11-28,27.4406
2014-10-31,28.0607
2014-09-30,29.2667
2014-08-29,31.0842
2014-07-31,32.1002
2014-06-30,33.2703
2014-05-30,33.5212
2014-04-30,33.9094
2014-03-31,34.4252
2014-02-28,34.7756
2014-01-31,36.2641
2013-12-31,38.1816
2013-11-29,37.1359
2013-10-31,36.1527
2013-09-30,35.5978
2013-08-30,35.7071
2013-07-31,36.2963
2013-06-28,36.5933
2013-05-31,35.7299
2013-04-30,34.6882
2013-03-28,33.0063
2013-02-28,31.3496
2013-01-31,30.1410
2012-12-31,29.6949
2012-11-30,29.3990
2012-10-31,28.6301
2012-09-28,27.9097
2012-08-31,27.3490
2012-07-31,26.6596
2012-06-29,25.7805
2012-05-31,25.5031
2012-04-30,25.5386
2012-03-30,24.7894
2012-02-29,23.7111
2012-01-31,22.6378
2011-12-30,21.7562
2011-11-30,21.6452
2011-10-31,21.1044
2011-09-30,20.6197
2011-08-31,20.7340
2011-07-29,20.5224
2011-06-30,20.3521
2011-05-31,19.8078
2011-04-29,19.4083
2011-03-31,18.8053
2011-02-28,18.5582
2011-01-31,18.1503
2010-12-31,18.1010
2010-11-30,17.4238
2010-10-29,16.6148
2010-09-30,16.3030
2010-08-31,15.8179
2010-07-30,15.9323
2010-06-30,16.0064
2010-05-28,16.0770
2010-04-30,15.9792
2010-03-31,15.3781
2010-02-26,14.6264
2010-01-29,13.8268
2009-12-31,13.4538
2009-11-30,12.8484
2009-10-30,12.1839
2009-09-30,11.6682
2009-08-31,11.1130
2009-07-31,10.5101
2009-06-30,9.8314
2009-05-29,9.4033
2009-04-30,8.9832
2009-03-31,8.6454
2009-02-27,9.2798
2009-01-30,10.0680
2008-12-31,10.4301
2008-11-28,10.3842
2008-10-31,11.2922
2008-09-30,12.1430
2008-08-29,12.4178
2008-07-31,12.4231
2008-06-30,12.2329
2008-05-30,12.8458
2008-04-30,12.8016
2008-03-31,13.1591
2008-02-29,13.3150
2008-01-31,13.7026
2007-12-31,13.7378
2007-11-30,14.3647
2007-10-31,14.9338
2007-09-28,15.6473
2007-08-31,15.8705
2007-07-31,16.6648
2007-06-29,17.3434
2007-05-31,17.5471
2007-04-30,17.0102
2007-03-30,16.1597
2007-02-28,15.1781
2007-01-31,14.2590
2006-12-29,13.4553
2006-11-30,12.8265
2006-10-31,12.1590
2006-09-29,11.2375
2006-08-31,10.7893
2006-07-31,10.4175
2006-06-30,10.1359
2006-05-31,10.1776
2006-04-28,10.1553
2006-03-31,10.3009
2006-02-28,9.9684
2006-01-31,9.8769
2005-12-30,9.8578
2005-11-30,10.0273
2005-10-31,10.0380
2005-09-30,10.6971
2005-08-31,11.0763
2005-07-29,11.2291
2005-06-30,11.2686
2005-05-31,11.4118
2005-04-29,11.6316
2005-03-31,11.9544
2005-02-28,11.5037
2005-01-31,11.0036
2004-12-31,10.7168
2004-11-30,10.3201
2004-10-29,10.0494
2004-09-30,10.0648
2004-08-31,9.9333
2004-07-30,10.2938
2004-06-30,10.4165
2004-05-28,10.3997
2004-04-30,10.5840
2004-03-31,10.9727
2004-02-27,11.1160
2004-01-30,11.1658
2003-12-31,11.2576
2003-11-28,11.2885
2003-10-31,11.1843
2003-09-30,11.2687
2003-08-29,11.4841
2003-07-31,11.6810
