,DEMA_monthly_10
2022-04-04,35.0339
2022-03-31,34.0055
2022-02-28,32.6126
2022-01-31,34.0793
2021-12-31,34.8349
2021-11-30,37.3280
2021-10-29,40.4593
2021-09-30,42.3370
2021-08-31,43.3730
2021-07-30,43.9627
2021-06-30,44.9036
2021-05-28,44.2126
2021-04-30,44.4962
2021-03-31,45.3685
2021-02-26,44.6379
2021-01-29,35.1893
2020-12-31,29.3336
2020-11-30,26.3166
2020-10-30,23.2571
2020-09-30,22.0957
2020-08-31,20.8709
2020-07-31,19.5092
2020-06-30,18.5847
2020-05-29,18.6876
2020-04-30,20.2094
2020-03-31,23.9193
2020-02-28,30.4552
2020-01-31,35.0579
2019-12-31,37.3872
2019-11-29,37.3415
2019-10-31,38.1189
2019-09-30,41.0385
2019-08-30,43.2391
2019-07-31,45.6147
2019-06-28,44.9486
2019-05-31,44.7463
2019-04-30,45.2510
2019-03-29,44.7421
2019-02-28,45.6346
2019-01-31,45.8539
2018-12-31,46.4979
2018-11-30,49.7453
2018-10-31,49.9349
2018-09-28,48.9102
2018-08-31,47.5126
2018-07-31,47.5410
2018-06-29,47.7632
2018-05-31,46.6690
2018-04-30,47.7006
2018-03-29,49.6170
2018-02-28,51.3518
2018-01-31,53.1471
2017-12-29,53.7053
2017-11-30,53.9026
2017-10-31,55.4249
2017-09-29,57.4354
2017-08-31,59.3487
2017-07-31,59.5064
2017-06-30,58.9412
2017-05-31,58.9297
2017-04-28,59.9744
2017-03-31,59.1074
2017-02-28,56.7251
2017-01-31,54.8773
2016-12-30,52.8872
2016-11-30,50.4970
2016-10-31,48.4640
2016-09-30,47.3334
2016-08-31,46.5462
2016-07-29,47.0223
2016-06-30,47.1813
2016-05-31,46.5040
2016-04-29,45.3460
2016-03-31,43.5135
2016-02-29,41.3976
2016-01-29,41.3020
2015-12-31,41.5768
2015-11-30,42.1528
2015-10-30,41.7341
2015-09-30,42.7948
2015-08-31,46.8827
2015-07-31,50.3796
2015-06-30,51.8654
2015-05-29,53.0500
2015-04-30,52.2388
2015-03-31,50.9575
2015-02-27,49.7983
2015-01-30,48.8827
2014-12-31,49.3169
2014-11-28,49.6892
2014-10-31,50.4188
2014-09-30,51.6357
2014-08-29,53.5153
2014-07-31,53.7982
2014-06-30,55.0589
2014-05-30,54.6111
2014-04-30,54.9349
2014-03-31,55.9721
2014-02-28,55.6741
2014-01-31,53.1371
2013-12-31,52.8082
2013-11-29,50.2879
2013-10-31,48.8039
2013-09-30,46.4530
2013-08-30,44.6989
2013-07-31,43.8277
2013-06-28,41.8707
2013-05-31,40.6504
2013-04-30,38.7056
2013-03-28,37.4131
2013-02-28,35.2312
2013-01-31,33.5202
2012-12-31,31.7834
2012-11-30,30.7855
2012-10-31,30.2208
2012-09-28,30.7640
2012-08-31,29.9308
2012-07-31,28.7828
2012-06-29,28.2664
2012-05-31,27.7645
2012-04-30,27.3865
2012-03-30,26.2573
2012-02-29,24.4737
2012-01-31,23.5737
2011-12-30,22.8496
2011-11-30,22.3344
2011-10-31,22.0474
2011-09-30,21.7006
2011-08-31,23.2214
2011-07-29,23.4842
2011-06-30,22.8901
2011-05-31,21.5894
2011-04-29,20.0027
2011-03-31,18.8148
2011-02-28,17.2201
2011-01-31,15.4793
2010-12-31,14.5939
2010-11-30,13.6576
2010-10-29,13.2074
2010-09-30,12.5418
2010-08-31,12.0203
2010-07-30,12.0718
2010-06-30,11.7649
2010-05-28,12.0136
2010-04-30,11.7405
2010-03-31,10.7409
2010-02-26,10.2133
2010-01-29,9.8554
2009-12-31,9.3846
2009-11-30,8.3338
2009-10-30,7.3955
2009-09-30,6.5274
2009-08-31,5.2832
2009-07-31,4.2724
2009-06-30,3.7590
2009-05-29,3.6018
2009-04-30,3.3172
2009-03-31,3.1490
2009-02-27,4.1868
2009-01-30,5.5539
2008-12-31,6.9735
2008-11-28,8.0949
2008-10-31,10.3374
2008-09-30,12.3857
2008-08-29,13.5352
2008-07-31,14.5907
2008-06-30,16.0931
2008-05-30,17.1006
2008-04-30,17.7867
2008-03-31,18.3351
2008-02-29,19.4312
2008-01-31,20.6791
2007-12-31,21.6648
2007-11-30,22.3143
2007-10-31,23.1198
2007-09-28,23.8528
2007-08-31,23.8968
