,DEMA_monthly_10
2022-04-04,375.0650
2022-03-31,384.4018
2022-02-28,402.5260
2022-01-31,430.0146
2021-12-31,468.3313
2021-11-30,483.4937
2021-10-29,492.8641
2021-09-30,455.0735
2021-08-31,426.3580
2021-07-30,389.9331
2021-06-30,379.9190
2021-05-28,382.1870
2021-04-30,399.7039
2021-03-31,398.0492
2021-02-26,401.2817
2021-01-29,402.7108
2020-12-31,400.9953
2020-11-30,365.1563
2020-10-30,331.5510
2020-09-30,309.1254
2020-08-31,301.8018
2020-07-31,296.5930
2020-06-30,295.6601
2020-05-29,282.4379
2020-04-30,269.5896
2020-03-31,267.8546
2020-02-28,291.1521
2020-01-31,285.7124
2019-12-31,261.6530
2019-11-29,252.2361
2019-10-31,233.4320
2019-09-30,236.4972
2019-08-30,240.7499
2019-07-31,227.5012
2019-06-28,212.9913
2019-05-31,198.9225
2019-04-30,185.7765
2019-03-29,171.6920
2019-02-28,158.1306
2019-01-31,142.6919
2018-12-31,136.4414
2018-11-30,139.1492
2018-10-31,137.7827
2018-09-28,138.8584
2018-08-31,126.3642
2018-07-31,109.2631
2018-06-29,107.7017
2018-05-31,108.5953
2018-04-30,106.4969
2018-03-29,99.4269
2018-02-28,92.6269
2018-01-31,86.9622
2017-12-29,82.3262
2017-11-30,80.8875
2017-10-31,77.9686
2017-09-29,73.7184
2017-08-31,71.0059
2017-07-31,67.3048
2017-06-30,64.1456
2017-05-31,60.4666
2017-04-28,56.6830
2017-03-31,53.7700
2017-02-28,50.9564
2017-01-31,48.7124
2016-12-30,48.9865
2016-11-30,49.5935
2016-10-31,50.5732
2016-09-30,48.7062
2016-08-31,46.7776
2016-07-29,43.5245
2016-06-30,40.8864
2016-05-31,39.0355
2016-04-29,37.7079
2016-03-31,36.8507
2016-02-29,36.7974
2016-01-29,38.3119
2015-12-31,41.0255
2015-11-30,41.2178
