,DEMA_monthly_10
2022-04-04,163.6495
2022-03-31,159.8466
2022-02-28,155.3822
2022-01-31,156.2863
2021-12-31,152.2342
2021-11-30,141.2654
2021-10-29,134.2235
2021-09-30,127.0044
2021-08-31,125.6461
2021-07-30,119.7661
2021-06-30,114.5299
2021-05-28,111.0200
2021-04-30,107.1208
2021-03-31,102.2886
2021-02-26,100.2593
2021-01-29,100.7016
2020-12-31,99.3710
2020-11-30,98.9814
2020-10-30,98.3915
2020-09-30,97.8092
2020-08-31,96.2481
2020-07-31,93.6954
2020-06-30,88.5801
2020-05-29,86.7660
2020-04-30,85.2394
2020-03-31,84.0473
2020-02-28,86.1132
2020-01-31,87.3506
2019-12-31,85.2088
2019-11-29,83.7462
2019-10-31,80.8273
2019-09-30,78.3435
2019-08-30,75.9298
2019-07-31,73.4441
2019-06-28,71.2418
2019-05-31,68.3877
2019-04-30,67.3553
2019-03-29,64.6383
2019-02-28,62.8800
2019-01-31,61.4621
2018-12-31,59.8854
2018-11-30,62.0369
2018-10-31,61.5392
2018-09-28,61.9870
2018-08-31,61.1654
2018-07-31,60.4395
2018-06-29,60.0320
2018-05-31,59.3888
2018-04-30,59.1941
2018-03-29,58.6341
2018-02-28,58.5799
2018-01-31,59.5393
2017-12-29,58.9565
2017-11-30,58.3059
2017-10-31,56.8076
2017-09-29,55.3411
2017-08-31,53.7114
2017-07-31,51.6323
2017-06-30,49.7592
2017-05-31,48.0243
2017-04-28,47.0204
2017-03-31,46.0562
2017-02-28,45.6980
2017-01-31,45.6639
2016-12-30,46.4119
2016-11-30,45.8144
2016-10-31,45.8282
2016-09-30,45.2772
2016-08-31,43.9171
2016-07-29,42.3371
2016-06-30,39.6117
2016-05-31,37.9749
2016-04-29,36.4619
2016-03-31,35.2022
2016-02-29,33.9571
2016-01-29,34.5859
2015-12-31,35.0402
2015-11-30,34.3391
2015-10-30,33.6001
2015-09-30,32.6073
2015-08-31,32.6978
2015-07-31,33.3045
2015-06-30,33.1583
2015-05-29,34.2488
2015-04-30,34.9187
2015-03-31,35.5738
2015-02-27,35.1984
2015-01-30,35.0998
2014-12-31,34.0548
2014-11-28,33.3834
2014-10-31,32.8490
2014-09-30,32.3359
2014-08-29,33.0435
2014-07-31,32.9322
2014-06-30,32.8006
2014-05-30,32.4946
2014-04-30,32.0209
2014-03-31,31.6662
2014-02-28,31.0922
2014-01-31,30.2880
2013-12-31,30.0386
2013-11-29,30.3194
2013-10-31,30.4352
2013-09-30,29.8661
2013-08-30,29.8874
2013-07-31,30.8089
2013-06-28,30.9377
2013-05-31,31.2890
2013-04-30,30.9216
2013-03-28,29.8118
2013-02-28,28.9468
2013-01-31,28.1923
2012-12-31,26.8148
2012-11-30,26.0931
2012-10-31,26.0578
2012-09-28,25.8695
2012-08-31,25.3436
2012-07-31,24.9941
2012-06-29,25.1198
2012-05-31,24.9660
2012-04-30,25.2469
2012-03-30,24.3447
2012-02-29,23.0238
2012-01-31,22.1114
2011-12-30,21.5242
2011-11-30,21.7646
2011-10-31,22.4372
2011-09-30,22.7080
2011-08-31,24.8556
2011-07-29,26.8331
2011-06-30,26.7336
2011-05-31,26.4704
2011-04-29,25.6810
2011-03-31,24.7821
2011-02-28,23.6500
2011-01-31,21.9407
2010-12-31,20.5953
2010-11-30,19.3387
2010-10-29,18.5098
2010-09-30,17.6939
2010-08-31,17.2184
2010-07-30,17.4109
2010-06-30,17.2981
2010-05-28,17.6176
2010-04-30,17.3525
2010-03-31,16.3928
2010-02-26,15.2947
2010-01-29,14.8019
2009-12-31,14.2634
2009-11-30,13.0953
2009-10-30,12.2582
2009-09-30,11.6657
2009-08-31,10.7387
2009-07-31,9.6189
2009-06-30,9.1258
2009-05-29,8.9743
2009-04-30,9.1998
2009-03-31,9.3005
2009-02-27,11.0636
2009-01-30,14.3302
2008-12-31,17.6700
2008-11-28,20.1985
2008-10-31,25.5156
2008-09-30,30.7868
2008-08-29,31.9486
2008-07-31,33.5129
2008-06-30,34.6141
2008-05-30,35.8388
2008-04-30,35.0641
2008-03-31,34.3550
2008-02-29,34.4873
2008-01-31,35.8522
2007-12-31,37.5674
2007-11-30,37.8919
2007-10-31,37.4393
2007-09-28,35.6347
2007-08-31,34.8494
2007-07-31,35.1034
