,DEMA_monthly_10
2022-04-04,4.1060
2022-03-31,3.7572
2022-02-28,3.3455
2022-01-31,3.2486
2021-12-31,3.2917
2021-11-30,3.5223
2021-10-29,3.7136
2021-09-30,3.7385
2021-08-31,3.6499
2021-07-30,3.6266
2021-06-30,3.5663
2021-05-28,3.0739
2021-04-30,2.7386
2021-03-31,2.5382
2021-02-26,2.1257
2021-01-29,1.6154
2020-12-31,0.9936
2020-11-30,0.6483
2020-10-30,0.4190
2020-09-30,0.6713
2020-08-31,0.9875
2020-07-31,1.2674
2020-06-30,1.3186
2020-05-29,1.5242
2020-04-30,2.0686
2020-03-31,2.8676
2020-02-28,4.0362
2020-01-31,4.6663
2019-12-31,5.0050
2019-11-29,4.4577
2019-10-31,4.6043
2019-09-30,4.9440
2019-08-30,5.5663
2019-07-31,6.4063
2019-06-28,6.8894
2019-05-31,7.4245
2019-04-30,8.2670
2019-03-29,8.6857
2019-02-28,8.8926
2019-01-31,9.4327
2018-12-31,9.9993
2018-11-30,11.4997
2018-10-31,12.4758
2018-09-28,13.0072
2018-08-31,12.3958
2018-07-31,12.3769
2018-06-29,11.9977
2018-05-31,11.2211
2018-04-30,10.5216
2018-03-29,9.7062
2018-02-28,9.7175
2018-01-31,10.0946
2017-12-29,9.8625
2017-11-30,9.6105
2017-10-31,9.5268
2017-09-29,9.2722
2017-08-31,8.8368
2017-07-31,9.4370
2017-06-30,10.0528
2017-05-31,11.0900
2017-04-28,12.1160
2017-03-31,12.6370
2017-02-28,12.7048
2017-01-31,12.1846
2016-12-30,11.4216
2016-11-30,10.0655
2016-10-31,9.0883
2016-09-30,9.2790
2016-08-31,9.1135
2016-07-29,9.3694
2016-06-30,9.1946
2016-05-31,8.6221
2016-04-29,8.8617
2016-03-31,8.6921
2016-02-29,9.4188
2016-01-29,10.7085
2015-12-31,11.7467
2015-11-30,12.3610
2015-10-30,12.3995
2015-09-30,11.9006
2015-08-31,12.6427
2015-07-31,13.1827
2015-06-30,14.5406
2015-05-29,15.2418
2015-04-30,15.1242
2015-03-31,15.1986
2015-02-27,17.2797
2015-01-30,19.6094
2014-12-31,23.1161
2014-11-28,27.1215
2014-10-31,31.4964
2014-09-30,34.1002
2014-08-29,36.7837
2014-07-31,37.7031
2014-06-30,38.5865
2014-05-30,37.9177
2014-04-30,38.0576
2014-03-31,38.3421
2014-02-28,39.4292
2014-01-31,40.4920
2013-12-31,41.8020
2013-11-29,41.1792
2013-10-31,39.9696
2013-09-30,39.8203
2013-08-30,40.6206
2013-07-31,41.4637
2013-06-28,42.0373
2013-05-31,42.5034
2013-04-30,42.2547
2013-03-28,41.8510
2013-02-28,41.1195
2013-01-31,40.0103
2012-12-31,36.8968
2012-11-30,37.2264
2012-10-31,37.1489
2012-09-28,37.2906
2012-08-31,37.8391
2012-07-31,37.1043
2012-06-29,37.0091
2012-05-31,37.7466
2012-04-30,40.2724
2012-03-30,40.1945
2012-02-29,38.5711
2012-01-31,36.9983
2011-12-30,37.5359
2011-11-30,41.6531
2011-10-31,45.6757
2011-09-30,46.3040
2011-08-31,50.6075
2011-07-29,53.4700
2011-06-30,55.6853
2011-05-31,57.6008
2011-04-29,58.4737
2011-03-31,58.6902
2011-02-28,57.1221
2011-01-31,52.6503
2010-12-31,48.2939
2010-11-30,46.1394
2010-10-29,44.2045
2010-09-30,43.0125
2010-08-31,41.2409
2010-07-30,43.7261
2010-06-30,48.8911
2010-05-28,55.9428
2010-04-30,61.8668
2010-03-31,64.4345
2010-02-26,62.9850
2010-01-29,63.3502
2009-12-31,62.1458
2009-11-30,61.2422
2009-10-30,59.1757
2009-09-30,56.9953
2009-08-31,53.6128
2009-07-31,52.6131
2009-06-30,50.1193
2009-05-29,48.8952
2009-04-30,45.7220
2009-03-31,45.9961
2009-02-27,49.7680
2009-01-30,54.9027
2008-12-31,63.9781
2008-11-28,79.0675
2008-10-31,92.6836
2008-09-30,105.6473
2008-08-29,113.3853
2008-07-31,117.5453
2008-06-30,119.8065
2008-05-30,116.8331
2008-04-30,113.3010
2008-03-31,109.2085
2008-02-29,107.7020
2008-01-31,103.5236
2007-12-31,103.9945
2007-11-30,97.0082
2007-10-31,89.3799
2007-09-28,85.1521
2007-08-31,81.4683
2007-07-31,79.1063
2007-06-29,74.9238
2007-05-31,69.6572
2007-04-30,65.1630
2007-03-30,63.2454
2007-02-28,62.1724
2007-01-31,62.4418
2006-12-29,62.4710
2006-11-30,61.2020
2006-10-31,60.4480
2006-09-29,61.2489
2006-08-31,61.9937
2006-07-31,65.1476
2006-06-30,65.5724
2006-05-31,64.8858
2006-04-28,63.4050
2006-03-31,61.3229
2006-02-28,58.5978
2006-01-31,56.8847
2005-12-30,51.9605
2005-11-30,49.1873
2005-10-31,47.3612
2005-09-30,46.9876
2005-08-31,45.0057
2005-07-29,42.9931
2005-06-30,41.0650
2005-05-31,39.2044
2005-04-29,38.0349
2005-03-31,37.5425
2005-02-28,34.9748
2005-01-31,32.4485
2004-12-31,30.5167
2004-11-30,28.3927
2004-10-29,26.2022
2004-09-30,24.9506
2004-08-31,23.0311
2004-07-30,22.1877
2004-06-30,21.8259
2004-05-28,21.1208
2004-04-30,20.9187
2004-03-31,20.2574
2004-02-27,19.3045
2004-01-30,17.4545
2003-12-31,15.8593
2003-11-28,14.7609
2003-10-31,14.9390
2003-09-30,15.2854
2003-08-29,15.5096
2003-07-31,15.4634
2003-06-30,15.9911
2003-05-30,15.9110
2003-04-30,15.3690
2003-03-31,16.2152
2003-02-28,16.9286
2003-01-31,17.1661
2002-12-31,17.5292
2002-11-29,17.9392
2002-10-31,18.1817
2002-09-30,19.3986
2002-08-30,21.5229
2002-07-31,23.1487
2002-06-28,25.0353
2002-05-31,25.6341
2002-04-30,24.0201
2002-03-28,22.8454
2002-02-28,22.1303
2002-01-31,23.0781
2001-12-31,23.5337
2001-11-30,23.1304
2001-10-31,24.6186
2001-09-28,26.0885
2001-08-31,29.4673
2001-07-31,33.2104
2001-06-29,37.1108
