,DEMA_monthly_10
2022-04-04,111.1228
2022-03-31,110.0148
2022-02-28,107.4940
2022-01-31,103.9460
2021-12-31,100.5855
2021-11-30,98.3803
2021-10-29,96.0860
2021-09-30,92.6040
2021-08-31,90.4534
2021-07-30,86.9818
2021-06-30,85.1230
2021-05-28,82.2429
2021-04-30,77.4433
2021-03-31,71.2909
2021-02-26,65.2389
2021-01-29,58.7743
2020-12-31,54.9040
2020-11-30,51.0090
2020-10-30,47.1317
2020-09-30,46.1645
2020-08-31,45.9770
2020-07-31,45.0268
2020-06-30,45.6200
2020-05-29,46.6730
2020-04-30,48.1290
2020-03-31,51.1069
2020-02-28,55.9198
2020-01-31,56.6326
2019-12-31,55.3274
2019-11-29,54.1127
2019-10-31,52.4703
2019-09-30,52.0690
2019-08-30,51.8326
2019-07-31,52.7446
2019-06-28,53.3631
2019-05-31,53.0931
2019-04-30,53.3838
2019-03-29,51.2342
2019-02-28,51.5177
2019-01-31,51.4054
2018-12-31,51.8642
2018-11-30,54.3118
2018-10-31,56.1111
2018-09-28,59.3587
2018-08-31,59.3645
2018-07-31,59.1119
2018-06-29,59.1043
2018-05-31,59.6387
2018-04-30,58.3402
2018-03-29,58.3966
2018-02-28,58.4646
2018-01-31,57.5958
2017-12-29,55.2897
2017-11-30,54.1198
2017-10-31,52.7198
2017-09-29,51.7114
2017-08-31,50.3805
2017-07-31,50.2137
2017-06-30,48.5418
2017-05-31,47.0156
2017-04-28,47.1192
2017-03-31,46.5368
2017-02-28,45.1675
2017-01-31,42.6519
2016-12-30,40.1771
2016-11-30,38.3318
2016-10-31,35.1233
2016-09-30,34.0126
2016-08-31,33.0221
2016-07-29,31.7470
2016-06-30,30.9260
2016-05-31,31.3597
2016-04-29,30.1697
2016-03-31,29.6505
2016-02-29,30.2206
2016-01-29,32.0875
2015-12-31,34.6158
2015-11-30,34.1728
2015-10-30,33.4125
2015-09-30,33.3585
2015-08-31,34.7547
2015-07-31,35.7565
2015-06-30,35.4544
2015-05-29,34.8553
2015-04-30,34.4539
2015-03-31,34.3054
2015-02-27,34.0024
2015-01-30,33.5121
2014-12-31,34.0197
2014-11-28,33.4117
2014-10-31,32.8615
2014-09-30,32.1246
2014-08-29,31.7728
2014-07-31,31.0215
2014-06-30,30.9541
2014-05-30,30.8834
2014-04-30,31.4045
2014-03-31,31.7091
2014-02-28,30.4114
2014-01-31,29.4857
2013-12-31,28.6840
2013-11-29,27.2227
2013-10-31,26.3182
2013-09-30,25.7375
2013-08-30,25.9760
2013-07-31,26.2597
2013-06-28,26.0169
2013-05-31,25.9361
2013-04-30,25.5626
2013-03-28,25.6820
2013-02-28,24.5717
2013-01-31,23.6501
2012-12-31,22.1783
2012-11-30,21.7606
2012-10-31,21.4143
2012-09-28,20.8252
2012-08-31,20.4009
2012-07-31,20.2226
2012-06-29,20.3755
2012-05-31,20.4021
2012-04-30,20.4667
2012-03-30,19.9016
2012-02-29,19.1444
2012-01-31,18.4426
2011-12-30,17.5853
2011-11-30,17.4684
2011-10-31,17.6389
2011-09-30,17.7249
2011-08-31,18.9648
2011-07-29,20.1093
2011-06-30,20.6837
2011-05-31,21.3176
2011-04-29,21.2439
2011-03-31,20.6441
2011-02-28,19.5956
2011-01-31,18.1499
2010-12-31,16.6968
2010-11-30,15.6037
2010-10-29,15.1583
2010-09-30,14.6602
2010-08-31,14.7055
2010-07-30,15.3437
2010-06-30,15.2805
2010-05-28,15.6703
2010-04-30,15.3005
2010-03-31,14.1844
2010-02-26,13.6352
2010-01-29,13.1259
2009-12-31,12.5658
2009-11-30,12.1878
2009-10-30,11.5745
2009-09-30,10.9209
2009-08-31,10.1342
2009-07-31,9.2538
2009-06-30,8.6507
2009-05-29,8.6959
2009-04-30,9.1506
2009-03-31,9.8605
2009-02-27,9.8806
2009-01-30,11.3790
2008-12-31,12.3278
2008-11-28,13.9702
2008-10-31,15.0552
2008-09-30,16.2028
2008-08-29,15.4047
2008-07-31,14.8836
2008-06-30,14.6564
2008-05-30,14.9669
2008-04-30,14.6181
2008-03-31,14.4000
2008-02-29,15.5123
2008-01-31,17.1671
2007-12-31,18.0479
2007-11-30,18.1544
2007-10-31,18.3202
2007-09-28,17.3879
2007-08-31,17.1615
