,DEMA_monthly_10
2022-04-04,321.4338
2022-03-31,327.8767
2022-02-28,333.5909
2022-01-31,317.3023
2021-12-31,312.2255
2021-11-30,296.1643
2021-10-29,282.8811
2021-09-30,265.9564
2021-08-31,253.7739
2021-07-30,242.1729
2021-06-30,239.9708
2021-05-28,227.9900
2021-04-30,209.0792
2021-03-31,181.9849
2021-02-26,156.3131
2021-01-29,124.7368
2020-12-31,105.5242
2020-11-30,93.0812
2020-10-30,86.6460
2020-09-30,92.0435
2020-08-31,98.7644
2020-07-31,101.8248
2020-06-30,103.6720
2020-05-29,104.6193
2020-04-30,107.7619
2020-03-31,110.4982
2020-02-28,125.8262
2020-01-31,127.0731
2019-12-31,121.4136
2019-11-29,116.2706
2019-10-31,115.0648
2019-09-30,115.6388
2019-08-30,116.2907
2019-07-31,118.2879
2019-06-28,116.3502
2019-05-31,116.8263
2019-04-30,120.1658
2019-03-29,117.1793
2019-02-28,115.1152
2019-01-31,109.1208
2018-12-31,104.7588
2018-11-30,109.6503
2018-10-31,107.7015
2018-09-28,110.9289
2018-08-31,113.5881
2018-07-31,116.9339
2018-06-29,124.0932
2018-05-31,126.4206
2018-04-30,129.7562
2018-03-29,134.3945
2018-02-28,134.4055
2018-01-31,132.6049
2017-12-29,126.8916
2017-11-30,126.2398
2017-10-31,125.3983
2017-09-29,127.3631
2017-08-31,130.8699
2017-07-31,135.4669
2017-06-30,137.3245
2017-05-31,137.6850
2017-04-28,138.3032
2017-03-31,140.9492
2017-02-28,140.2167
2017-01-31,135.2778
2016-12-30,128.5304
2016-11-30,122.4790
2016-10-31,114.4877
2016-09-30,116.1262
2016-08-31,119.3202
2016-07-29,122.2122
2016-06-30,126.9035
2016-05-31,131.2726
2016-04-29,132.9050
2016-03-31,133.8672
2016-02-29,135.8096
2016-01-29,141.0725
2015-12-31,143.8923
2015-11-30,141.6058
2015-10-30,136.3223
2015-09-30,132.9003
2015-08-31,132.8900
2015-07-31,134.4019
2015-06-30,131.1652
2015-05-29,126.2800
2015-04-30,122.3622
2015-03-31,119.2767
2015-02-27,116.8897
2015-01-30,116.1737
2014-12-31,117.6956
2014-11-28,115.9060
2014-10-31,115.3190
2014-09-30,114.4379
2014-08-29,116.8871
2014-07-31,117.3028
2014-06-30,119.3337
2014-05-30,116.8591
2014-04-30,117.5820
2014-03-31,116.9803
2014-02-28,112.9932
2014-01-31,105.0580
2013-12-31,97.8042
2013-11-29,93.9264
2013-10-31,88.9732
2013-09-30,83.9663
2013-08-30,81.3744
2013-07-31,79.3227
2013-06-28,74.8136
2013-05-31,72.2005
2013-04-30,71.0282
2013-03-28,71.6819
2013-02-28,69.4558
2013-01-31,68.2349
2012-12-31,66.6329
2012-11-30,65.4652
2012-10-31,64.2945
2012-09-28,62.1777
2012-08-31,60.9923
2012-07-31,60.3489
2012-06-29,59.4635
2012-05-31,59.6754
2012-04-30,59.6927
2012-03-30,57.8337
2012-02-29,56.3593
2012-01-31,55.8394
2011-12-30,55.5678
2011-11-30,54.3495
2011-10-31,53.2839
2011-09-30,52.9101
2011-08-31,55.6671
2011-07-29,55.9506
2011-06-30,54.7147
2011-05-31,53.7333
2011-04-29,52.3873
2011-03-31,49.8938
2011-02-28,47.1650
2011-01-31,45.2639
2010-12-31,42.4523
2010-11-30,39.4933
2010-10-29,38.0224
2010-09-30,36.6800
2010-08-31,36.2463
2010-07-30,36.5737
2010-06-30,36.1594
2010-05-28,35.7199
2010-04-30,35.1356
2010-03-31,33.2235
2010-02-26,31.9937
2010-01-29,30.2221
2009-12-31,28.9198
2009-11-30,28.2725
2009-10-30,27.7753
2009-09-30,26.8574
2009-08-31,26.6956
2009-07-31,25.9140
2009-06-30,25.2445
2009-05-29,25.2906
2009-04-30,25.4816
2009-03-31,25.6923
2009-02-27,25.5663
2009-01-30,26.7726
2008-12-31,28.1298
2008-11-28,28.7072
2008-10-31,29.0206
2008-09-30,28.2776
2008-08-29,26.3230
2008-07-31,25.9427
2008-06-30,25.5252
2008-05-30,26.5418
2008-04-30,26.7841
2008-03-31,28.0517
2008-02-29,30.1530
2008-01-31,32.5692
2007-12-31,32.8710
2007-11-30,33.1544
2007-10-31,32.1286
2007-09-28,31.9426
2007-08-31,31.2218
2007-07-31,30.5194
2007-06-29,31.1021
2007-05-31,30.5296
2007-04-30,30.1056
2007-03-30,30.2779
2007-02-28,30.0498
2007-01-31,30.4970
2006-12-29,30.0868
2006-11-30,30.4163
2006-10-31,30.3520
2006-09-29,31.0155
2006-08-31,31.6328
2006-07-31,31.6269
2006-06-30,31.8828
2006-05-31,32.0782
2006-04-28,30.8896
2006-03-31,29.3985
2006-02-28,28.5239
2006-01-31,27.4019
2005-12-30,26.6923
2005-11-30,26.7230
2005-10-31,26.4521
