,DEMA_monthly_10
2022-04-04,43.1051
2022-03-31,42.9383
2022-02-28,42.8867
2022-01-31,41.6818
2021-12-31,39.5309
2021-11-30,38.3323
2021-10-29,37.6926
2021-09-30,36.1766
2021-08-31,35.4037
2021-07-30,34.4957
2021-06-30,33.0167
2021-05-28,31.0729
2021-04-30,29.4992
2021-03-31,27.6285
2021-02-26,26.3962
2021-01-29,25.2048
2020-12-31,23.6104
2020-11-30,22.4445
2020-10-30,21.2634
2020-09-30,21.0329
2020-08-31,21.0315
2020-07-31,20.2110
2020-06-30,20.0787
2020-05-29,20.6678
2020-04-30,20.3648
2020-03-31,20.6632
2020-02-28,24.4076
2020-01-31,25.3036
2019-12-31,25.2917
2019-11-29,25.4233
2019-10-31,25.3691
2019-09-30,24.6773
2019-08-30,24.4525
2019-07-31,24.1384
2019-06-28,23.1391
2019-05-31,22.6033
2019-04-30,22.2939
2019-03-29,21.7966
2019-02-28,21.0235
2019-01-31,20.3451
2018-12-31,19.4675
2018-11-30,19.3686
2018-10-31,18.9793
2018-09-28,18.9053
2018-08-31,18.1162
2018-07-31,17.8119
2018-06-29,17.7742
2018-05-31,18.2432
2018-04-30,18.3816
2018-03-29,18.5340
2018-02-28,19.3156
2018-01-31,19.3626
2017-12-29,18.7890
2017-11-30,18.9949
2017-10-31,18.9841
2017-09-29,18.7285
2017-08-31,18.3313
2017-07-31,17.7241
2017-06-30,16.8502
2017-05-31,16.1307
2017-04-28,15.3806
2017-03-31,14.4522
2017-02-28,14.8502
2017-01-31,15.0357
2016-12-30,14.8136
2016-11-30,14.9034
2016-10-31,15.7646
2016-09-30,16.0568
2016-08-31,16.3499
2016-07-29,16.5829
2016-06-30,16.8230
2016-05-31,17.4258
2016-04-29,17.4915
2016-03-31,17.1583
2016-02-29,17.3892
2016-01-29,18.4545
2015-12-31,19.1937
2015-11-30,18.9359
2015-10-30,19.1654
2015-09-30,20.2917
2015-08-31,21.9673
2015-07-31,22.9919
2015-06-30,24.4406
2015-05-29,25.1378
2015-04-30,25.8420
2015-03-31,25.5751
2015-02-27,25.3515
2015-01-30,24.9475
2014-12-31,24.7881
2014-11-28,24.5932
2014-10-31,24.8667
2014-09-30,25.4663
2014-08-29,24.3009
2014-07-31,22.2097
2014-06-30,20.6857
2014-05-30,19.4443
2014-04-30,17.6625
