,DEMA_monthly_10
2015-02-09,35.8214
2015-01-30,35.7986
2014-12-31,35.7299
2014-11-28,35.5873
2014-10-31,35.5765
2014-09-30,35.5040
2014-08-29,35.5999
2014-07-31,35.5580
2014-06-30,35.5748
2014-05-30,35.5751
2014-04-30,35.5938
2014-03-31,35.6482
2014-02-28,34.3631
2014-01-31,32.3977
2013-12-31,32.3567
2013-11-29,31.6254
2013-10-31,29.5923
2013-09-30,26.7977
2013-08-30,24.2234
2013-07-31,23.4074
2013-06-28,22.3112
2013-05-31,21.7099
2013-04-30,21.2244
2013-03-28,20.7441
2013-02-28,18.4388
2013-01-31,16.4533
2012-12-31,15.7356
2012-11-30,15.2769
2012-10-31,15.1681
2012-09-28,15.3841
2012-08-31,15.7951
2012-07-31,16.6281
2012-06-29,17.8108
2012-05-31,18.3378
2012-04-30,18.7697
2012-03-30,18.8165
2012-02-29,18.9300
2012-01-31,18.6379
2011-12-30,18.0338
2011-11-30,17.6141
2011-10-31,17.5460
2011-09-30,17.7277
2011-08-31,19.0964
2011-07-29,20.3196
2011-06-30,21.2221
2011-05-31,21.1389
2011-04-29,20.5389
2011-03-31,19.8739
2011-02-28,19.2781
2011-01-31,19.2051
2010-12-31,19.5524
2010-11-30,19.3028
2010-10-29,18.8157
2010-09-30,18.1985
2010-08-31,18.0618
2010-07-30,18.8637
2010-06-30,19.2621
2010-05-28,20.1419
2010-04-30,20.3968
2010-03-31,20.1588
2010-02-26,19.3370
2010-01-29,18.2438
2009-12-31,17.7368
2009-11-30,17.5176
2009-10-30,16.8128
2009-09-30,15.9580
2009-08-31,15.8537
2009-07-31,16.0543
2009-06-30,16.4182
2009-05-29,16.4053
2009-04-30,16.5220
2009-03-31,16.9334
2009-02-27,17.3808
2009-01-30,18.7191
2008-12-31,19.4617
2008-11-28,19.6255
2008-10-31,20.6826
2008-09-30,22.3575
2008-08-29,23.7226
2008-07-31,24.6301
2008-06-30,25.7298
2008-05-30,26.5315
2008-04-30,26.3966
2008-03-31,26.3249
2008-02-29,27.0844
2008-01-31,28.3632
2007-12-31,29.2269
2007-11-30,29.1576
2007-10-31,28.8440
2007-09-28,28.6987
2007-08-31,28.8123
2007-07-31,29.4783
2007-06-29,30.2825
2007-05-31,30.5046
2007-04-30,30.6009
2007-03-30,29.9837
2007-02-28,28.9583
2007-01-31,28.3214
2006-12-29,26.8414
2006-11-30,25.3430
2006-10-31,24.6980
2006-09-29,24.3263
2006-08-31,23.4144
2006-07-31,21.9557
2006-06-30,21.0250
2006-05-31,20.5258
2006-04-28,20.7566
2006-03-31,20.4725
2006-02-28,20.0743
2006-01-31,19.8392
2005-12-30,19.8276
2005-11-30,19.7119
2005-10-31,19.7064
2005-09-30,19.6737
2005-08-31,18.7434
2005-07-29,18.1841
2005-06-30,17.2110
2005-05-31,16.5298
2005-04-29,15.8502
2005-03-31,15.2144
2005-02-28,15.3949
2005-01-31,15.7078
2004-12-31,15.9848
2004-11-30,16.0513
2004-10-29,16.3321
2004-09-30,17.1132
2004-08-31,17.7862
2004-07-30,18.3740
2004-06-30,18.8273
2004-05-28,17.8911
2004-04-30,17.6631
2004-03-31,17.2274
2004-02-27,17.5318
2004-01-30,17.1195
2003-12-31,16.6939
2003-11-28,16.4048
2003-10-31,16.4822
2003-09-30,16.5018
2003-08-29,15.9014
2003-07-31,14.6153
2003-06-30,14.0913
2003-05-30,13.8101
2003-04-30,14.1374
2003-03-31,15.5116
2003-02-28,16.6283
2003-01-31,17.8950
2002-12-31,18.3162
2002-11-29,19.1323
2002-10-31,20.2054
2002-09-30,22.0301
2002-08-30,24.9039
2002-07-31,27.5844
2002-06-28,30.5454
2002-05-31,34.0920
2002-04-30,34.6902
2002-03-28,35.0515
2002-02-28,34.4444
2002-01-31,34.4216
2001-12-31,35.3697
2001-11-30,36.2119
2001-10-31,36.3532
2001-09-28,37.6559
2001-08-31,40.1494
2001-07-31,41.5332
2001-06-29,43.7378
