,DEMA_monthly_10
2022-04-04,455.0549
2022-03-31,461.1625
2022-02-28,468.4037
2022-01-31,483.5322
2021-12-31,522.2026
2021-11-30,510.1676
2021-10-29,512.6468
2021-09-30,491.5498
2021-08-31,478.9284
2021-07-30,453.8531
2021-06-30,426.2441
2021-05-28,401.9009
2021-04-30,384.0357
2021-03-31,352.8697
2021-02-26,330.1283
2021-01-29,307.6302
2020-12-31,293.0567
2020-11-30,276.0594
2020-10-30,258.9653
2020-09-30,258.2216
2020-08-31,258.8347
2020-07-31,255.7252
2020-06-30,242.4412
2020-05-29,229.0319
2020-04-30,210.3310
2020-03-31,202.7086
2020-02-28,207.9564
2020-01-31,215.1457
2019-12-31,215.3640
2019-11-29,211.1308
2019-10-31,205.6822
2019-09-30,202.6558
2019-08-30,203.8010
2019-07-31,206.8151
2019-06-28,202.4479
2019-05-31,196.9103
2019-04-30,193.6729
2019-03-29,186.2070
2019-02-28,178.4748
2019-01-31,169.8230
2018-12-31,166.6129
2018-11-30,175.0933
2018-10-31,178.8435
2018-09-28,180.8429
2018-08-31,167.1417
2018-07-31,153.5466
2018-06-29,148.8858
2018-05-31,147.8905
2018-04-30,145.2367
2018-03-29,141.2663
2018-02-28,135.6004
2018-01-31,131.9661
2017-12-29,127.4501
2017-11-30,125.8430
2017-10-31,121.2204
2017-09-29,116.5960
2017-08-31,114.6233
2017-07-31,110.5822
2017-06-30,108.5861
2017-05-31,105.1184
2017-04-28,102.7282
2017-03-31,101.7585
2017-02-28,102.7482
2017-01-31,102.0059
2016-12-30,103.0490
2016-11-30,103.9094
2016-10-31,103.8832
2016-09-30,104.4664
2016-08-31,102.7662
2016-07-29,102.1366
2016-06-30,98.2827
2016-05-31,92.8540
2016-04-29,86.7400
2016-03-31,85.7866
2016-02-29,83.9606
2016-01-29,85.2476
2015-12-31,88.4904
2015-11-30,89.7606
2015-10-30,90.9511
2015-09-30,93.9409
2015-08-31,96.1080
2015-07-31,98.0849
2015-06-30,94.4743
2015-05-29,94.1266
2015-04-30,92.3957
2015-03-31,92.3421
2015-02-27,90.3598
2015-01-30,88.7719
2014-12-31,88.5937
2014-11-28,88.5347
2014-10-31,88.6991
2014-09-30,89.1892
2014-08-29,88.6916
2014-07-31,87.0797
2014-06-30,85.8369
2014-05-30,84.3610
2014-04-30,84.2494
2014-03-31,83.4685
2014-02-28,83.9203
2014-01-31,82.9418
2013-12-31,80.7634
2013-11-29,76.1188
2013-10-31,73.5287
2013-09-30,69.3171
2013-08-30,66.6078
2013-07-31,63.9766
2013-06-28,62.0947
2013-05-31,61.4806
2013-04-30,61.7228
2013-03-28,63.1509
2013-02-28,63.5586
2013-01-31,64.0453
2012-12-31,63.3127
2012-11-30,63.6801
2012-10-31,63.1274
2012-09-28,63.9357
2012-08-31,63.1598
2012-07-31,63.4743
2012-06-29,63.7962
2012-05-31,62.1553
2012-04-30,62.5050
2012-03-30,63.4552
2012-02-29,63.4559
2012-01-31,62.8484
2011-12-30,63.4780
2011-11-30,64.3071
2011-10-31,65.7054
2011-09-30,67.1302
2011-08-31,69.2974
2011-07-29,70.3439
2011-06-30,70.4328
2011-05-31,67.4205
2011-04-29,64.0008
2011-03-31,60.9243
2011-02-28,59.1439
2011-01-31,56.6640
2010-12-31,54.4948
2010-11-30,52.8650
2010-10-29,52.8902
2010-09-30,52.7123
2010-08-31,52.1759
2010-07-30,53.0483
2010-06-30,54.0783
2010-05-28,55.8457
2010-04-30,57.0077
2010-03-31,56.4342
2010-02-26,56.6841
2010-01-29,56.8683
2009-12-31,56.5410
2009-11-30,54.9415
2009-10-30,53.0459
2009-09-30,52.6822
2009-08-31,52.1916
2009-07-31,51.8996
2009-06-30,50.8108
2009-05-29,49.3973
2009-04-30,48.9216
2009-03-31,49.6257
2009-02-27,51.6118
2009-01-30,56.5872
2008-12-31,59.1565
2008-11-28,60.8764
2008-10-31,64.1171
2008-09-30,65.7462
2008-08-29,66.7698
2008-07-31,66.1234
2008-06-30,64.2490
2008-05-30,62.4276
2008-04-30,59.4591
2008-03-31,57.6545
2008-02-29,57.1157
2008-01-31,55.9338
2007-12-31,55.5664
2007-11-30,54.6103
2007-10-31,53.6043
2007-09-28,52.1609
2007-08-31,50.9909
2007-07-31,49.4051
2007-06-29,49.8024
2007-05-31,49.9435
2007-04-30,49.1556
2007-03-30,48.3345
2007-02-28,47.9097
2007-01-31,47.6064
2006-12-29,46.5203
2006-11-30,46.0225
2006-10-31,45.9748
2006-09-29,45.0963
2006-08-31,45.8080
2006-07-31,46.7333
2006-06-30,48.4070
2006-05-31,50.1412
2006-04-28,50.9743
2006-03-31,51.2520
2006-02-28,50.2019
2006-01-31,48.9375
2005-12-30,48.1256
2005-11-30,47.2191
2005-10-31,46.2026
2005-09-30,45.1056
2005-08-31,42.4922
2005-07-29,38.8905
2005-06-30,36.9770
2005-05-31,35.5529
2005-04-29,33.3399
2005-03-31,32.1840
2005-02-28,31.2185
2005-01-31,32.2304
2004-12-31,33.2892
2004-11-30,33.1679
2004-10-29,33.5531
2004-09-30,34.5672
2004-08-31,35.0725
2004-07-30,35.4894
2004-06-30,35.5880
2004-05-28,34.2702
2004-04-30,34.2164
2004-03-31,33.9400
2004-02-27,32.8602
2004-01-30,31.4539
2003-12-31,30.1353
2003-11-28,28.6813
2003-10-31,27.4041
2003-09-30,26.0749
2003-08-29,25.4176
2003-07-31,23.8024
2003-06-30,22.1419
2003-05-30,20.6776
2003-04-30,19.2568
2003-03-31,19.9853
2003-02-28,21.5573
2003-01-31,23.3507
2002-12-31,25.3740
2002-11-29,25.9263
2002-10-31,25.7757
2002-09-30,24.7995
2002-08-30,23.5841
2002-07-31,23.6490
2002-06-28,24.0525
2002-05-31,24.4147
2002-04-30,23.7296
2002-03-28,24.6425
2002-02-28,25.5789
2002-01-31,26.1284
2001-12-31,26.4588
2001-11-30,24.6129
2001-10-31,24.1247
2001-09-28,24.1450
2001-08-31,24.5197
2001-07-31,24.2508
2001-06-29,24.8933
