,DEMA_monthly_10
2022-04-04,66.0812
2022-03-31,67.8302
2022-02-28,70.8206
2022-01-31,72.3288
2021-12-31,71.7811
2021-11-30,69.2102
2021-10-29,68.5748
2021-09-30,69.4933
2021-08-31,70.4277
2021-07-30,68.6064
2021-06-30,67.8973
2021-05-28,67.4571
2021-04-30,66.7085
2021-03-31,64.1902
2021-02-26,62.8374
2021-01-29,61.0026
2020-12-31,59.4203
2020-11-30,55.3726
2020-10-30,51.9876
2020-09-30,52.9880
2020-08-31,52.2123
2020-07-31,51.5482
2020-06-30,51.8883
2020-05-29,52.9783
2020-04-30,53.4814
2020-03-31,55.7684
2020-02-28,59.3496
2020-01-31,58.8550
2019-12-31,58.5335
2019-11-29,57.1364
2019-10-31,55.1467
2019-09-30,54.0149
2019-08-30,53.2576
2019-07-31,52.5116
2019-06-28,51.7315
2019-05-31,51.3492
2019-04-30,51.8917
2019-03-29,50.6731
2019-02-28,49.6844
2019-01-31,49.1156
2018-12-31,49.0390
2018-11-30,50.9987
2018-10-31,51.7757
2018-09-28,50.1833
2018-08-31,47.4708
2018-07-31,44.1619
2018-06-29,42.4289
2018-05-31,40.4785
2018-04-30,38.8405
2018-03-29,37.8471
2018-02-28,37.1797
2018-01-31,36.0239
2017-12-29,35.0258
2017-11-30,34.4938
2017-10-31,33.9739
2017-09-29,34.5614
2017-08-31,34.5333
2017-07-31,34.8005
2017-06-30,35.6435
2017-05-31,36.3833
2017-04-28,36.7295
2017-03-31,36.5245
2017-02-28,36.1374
2017-01-31,35.7296
2016-12-30,35.9523
2016-11-30,36.1884
2016-10-31,35.8172
2016-09-30,36.2985
2016-08-31,36.7021
2016-07-29,36.6573
2016-06-30,35.7256
2016-05-31,35.3585
2016-04-29,35.0556
2016-03-31,34.7246
2016-02-29,33.7226
2016-01-29,33.2140
2015-12-31,33.1300
2015-11-30,33.0523
2015-10-30,32.9762
2015-09-30,32.3511
2015-08-31,31.8358
2015-07-31,31.3336
2015-06-30,30.7712
2015-05-29,30.7272
2015-04-30,30.9998
2015-03-31,31.3372
2015-02-27,30.6297
2015-01-30,29.9206
2014-12-31,29.5076
2014-11-28,28.3793
2014-10-31,27.3187
2014-09-30,26.4773
2014-08-29,26.1642
2014-07-31,25.6393
2014-06-30,26.2288
2014-05-30,27.0302
2014-04-30,27.8167
2014-03-31,28.1178
2014-02-28,27.9781
2014-01-31,27.5739
2013-12-31,27.8223
2013-11-29,26.8200
2013-10-31,25.5812
2013-09-30,24.3071
2013-08-30,23.4243
2013-07-31,22.9269
2013-06-28,22.3818
2013-05-31,22.0033
2013-04-30,21.3464
2013-03-28,20.8201
2013-02-28,20.4786
2013-01-31,20.3379
2012-12-31,20.0938
2012-11-30,20.2675
2012-10-31,20.0843
2012-09-28,20.3495
2012-08-31,20.0296
2012-07-31,19.3456
2012-06-29,18.6901
2012-05-31,18.0196
2012-04-30,17.1574
2012-03-30,16.1191
2012-02-29,15.0717
2012-01-31,14.2344
2011-12-30,13.5933
2011-11-30,13.0546
2011-10-31,12.5842
2011-09-30,12.2182
2011-08-31,12.0425
2011-07-29,11.8684
2011-06-30,11.5660
2011-05-31,11.4081
2011-04-29,11.1277
2011-03-31,10.6910
2011-02-28,10.4630
2011-01-31,10.1263
2010-12-31,9.9126
2010-11-30,9.9006
2010-10-29,9.7516
2010-09-30,9.5233
2010-08-31,9.3231
2010-07-30,9.5146
2010-06-30,9.5927
2010-05-28,9.6363
2010-04-30,9.3357
2010-03-31,8.8395
2010-02-26,8.5177
2010-01-29,8.1522
2009-12-31,8.0020
2009-11-30,7.9230
2009-10-30,7.6261
2009-09-30,7.3205
2009-08-31,6.9150
2009-07-31,6.4731
2009-06-30,5.8573
2009-05-29,5.4794
2009-04-30,5.1591
2009-03-31,4.8926
2009-02-27,4.7645
2009-01-30,4.9233
2008-12-31,5.4277
2008-11-28,6.0075
2008-10-31,6.5804
2008-09-30,6.9900
2008-08-29,7.1834
2008-07-31,6.9003
2008-06-30,6.7579
2008-05-30,6.7679
2008-04-30,6.7188
2008-03-31,6.6403
2008-02-29,6.4480
2008-01-31,6.2818
2007-12-31,6.0975
2007-11-30,6.1114
2007-10-31,6.0691
2007-09-28,6.0538
2007-08-31,6.0152
2007-07-31,5.8272
2007-06-29,5.8307
2007-05-31,5.8541
2007-04-30,5.8373
2007-03-30,5.8248
2007-02-28,5.8870
2007-01-31,5.9140
2006-12-29,5.7591
2006-11-30,5.6390
2006-10-31,5.5707
2006-09-29,5.3382
2006-08-31,5.1040
2006-07-31,4.9023
2006-06-30,4.8522
2006-05-31,4.9207
2006-04-28,4.9335
2006-03-31,4.9163
2006-02-28,4.8282
2006-01-31,4.7377
2005-12-30,4.5263
2005-11-30,4.4510
2005-10-31,4.4259
2005-09-30,4.4795
2005-08-31,4.6484
2005-07-29,4.8374
2005-06-30,4.8616
2005-05-31,4.8168
2005-04-29,4.8827
2005-03-31,4.9995
2005-02-28,4.9751
2005-01-31,4.9571
2004-12-31,4.8769
2004-11-30,4.7571
2004-10-29,4.7352
2004-09-30,4.6671
2004-08-31,4.7460
2004-07-30,4.9267
2004-06-30,4.9614
2004-05-28,4.9408
2004-04-30,4.8365
2004-03-31,4.7230
2004-02-27,4.5638
2004-01-30,4.4331
2003-12-31,4.3046
2003-11-28,4.2103
2003-10-31,4.0312
2003-09-30,3.9327
2003-08-29,3.9373
2003-07-31,3.7424
2003-06-30,3.6789
2003-05-30,3.6475
2003-04-30,3.6623
2003-03-31,3.5929
2003-02-28,3.6463
2003-01-31,3.8540
2002-12-31,3.9320
2002-11-29,3.9319
2002-10-31,3.9245
2002-09-30,3.8301
2002-08-30,4.0107
2002-07-31,4.0040
2002-06-28,4.1730
2002-05-31,4.2273
2002-04-30,4.1610
2002-03-28,4.0038
2002-02-28,3.9403
2002-01-31,3.9356
2001-12-31,3.7734
2001-11-30,3.6111
2001-10-31,3.4796
2001-09-28,3.4673
2001-08-31,3.4815
2001-07-31,3.3946
2001-06-29,3.3175
