,DEMA_monthly_10
2022-04-04,1106.1044
2022-03-31,1054.6709
2022-02-28,1012.4766
2022-01-31,1044.7372
2021-12-31,1054.8588
2021-11-30,1010.7849
2021-10-29,908.1151
2021-09-30,780.1015
2021-08-31,755.8135
2021-07-30,738.1736
2021-06-30,733.2660
2021-05-28,726.9934
2021-04-30,739.5010
2021-03-31,715.1107
2021-02-26,696.8445
2021-01-29,664.7658
2020-12-31,564.9179
2020-11-30,466.1009
2020-10-30,391.6803
2020-09-30,369.0007
2020-08-31,317.8526
2020-07-31,216.1309
2020-06-30,172.4085
2020-05-29,143.9074
2020-04-30,126.6507
2020-03-31,107.5865
2020-02-28,104.4400
2020-01-31,86.9582
2019-12-31,64.6952
2019-11-29,55.3122
2019-10-31,50.5526
2019-09-30,45.5401
2019-08-30,45.4958
2019-07-31,46.9184
2019-06-28,47.5326
2019-05-31,50.1023
2019-04-30,57.0784
2019-03-29,61.7512
2019-02-28,64.3801
2019-01-31,64.3346
2018-12-31,65.3921
2018-11-30,64.4833
2018-10-31,61.6567
2018-09-28,59.0208
2018-08-31,61.9490
2018-07-31,62.6000
2018-06-29,63.7733
2018-05-31,61.3381
2018-04-30,63.2337
2018-03-29,64.9398
2018-02-28,69.6526
2018-01-31,69.0433
2017-12-29,67.1118
2017-11-30,68.2304
2017-10-31,69.8292
2017-09-29,69.8036
2017-08-31,68.7420
2017-07-31,65.8148
2017-06-30,64.5897
2017-05-31,59.3744
2017-04-28,54.0543
2017-03-31,49.2003
2017-02-28,45.8010
2017-01-31,43.7264
2016-12-30,40.7646
2016-11-30,40.2143
2016-10-31,41.6761
2016-09-30,42.9319
2016-08-31,44.0806
2016-07-29,44.9255
2016-06-30,44.0381
2016-05-31,44.8576
2016-04-29,44.9899
2016-03-31,43.6122
2016-02-29,42.7554
2016-01-29,44.9969
2015-12-31,48.0837
2015-11-30,47.8701
2015-10-30,48.4243
2015-09-30,51.2087
2015-08-31,51.1968
2015-07-31,51.0456
2015-06-30,49.2396
2015-05-29,46.5512
2015-04-30,44.4380
2015-03-31,43.7637
2015-02-27,46.1416
2015-01-30,47.9845
2014-12-31,50.3530
2014-11-28,51.7435
2014-10-31,51.4967
2014-09-30,51.2507
2014-08-29,50.6523
2014-07-31,47.2522
2014-06-30,46.6277
2014-05-30,44.1078
2014-04-30,43.4066
2014-03-31,42.2570
2014-02-28,40.4563
2014-01-31,34.5953
2013-12-31,32.1851
2013-11-29,31.5408
2013-10-31,32.5641
2013-09-30,30.8387
2013-08-30,25.3465
2013-07-31,19.9663
2013-06-28,15.6987
2013-05-31,12.2675
2013-04-30,8.4498
2013-03-28,7.1857
2013-02-28,6.9068
2013-01-31,6.7953
2012-12-31,6.3991
2012-11-30,6.1851
2012-10-31,5.8990
2012-09-28,6.0199
2012-08-31,6.0791
2012-07-31,6.2241
2012-06-29,6.5127
2012-05-31,6.5490
2012-04-30,6.7480
2012-03-30,6.6807
2012-02-29,6.2122
2012-01-31,5.9138
