,DEMA_monthly_10
2022-04-04,43.3218
2022-03-31,41.1774
2022-02-28,43.4215
2022-01-31,47.9358
2021-12-31,53.1966
2021-11-30,57.7429
2021-10-29,63.4971
2021-09-30,66.8605
2021-08-31,68.1825
2021-07-30,67.9459
2021-06-30,65.0889
2021-05-28,61.4691
2021-04-30,61.2286
2021-03-31,61.9455
2021-02-26,58.9465
2021-01-29,48.7289
2020-12-31,46.6558
2020-11-30,42.1413
2020-10-30,39.3860
2020-09-30,37.9109
2020-08-31,34.4820
2020-07-31,31.5967
2020-06-30,29.5881
2020-05-29,29.8617
2020-04-30,29.7425
2020-03-31,30.6427
2020-02-28,33.7217
2020-01-31,34.0288
2019-12-31,34.7665
2019-11-29,35.9468
2019-10-31,38.0242
2019-09-30,41.1939
2019-08-30,40.3836
2019-07-31,38.5689
2019-06-28,36.2107
2019-05-31,36.2826
2019-04-30,35.6372
2019-03-29,33.1705
2019-02-28,32.9430
2019-01-31,33.5333
2018-12-31,33.0436
2018-11-30,34.4798
2018-10-31,35.1374
2018-09-28,34.4710
2018-08-31,36.2847
2018-07-31,35.6211
2018-06-29,36.0792
2018-05-31,31.3110
2018-04-30,28.7853
2018-03-29,27.2555
2018-02-28,25.6988
2018-01-31,22.2702
2017-12-29,20.3110
2017-11-30,18.4558
2017-10-31,17.4833
2017-09-29,16.1655
2017-08-31,16.0837
2017-07-31,15.9825
2017-06-30,16.2416
2017-05-31,15.8300
2017-04-28,15.1160
2017-03-31,15.0253
2017-02-28,15.6417
2017-01-31,16.1639
2016-12-30,16.1022
2016-11-30,16.6717
2016-10-31,16.5308
2016-09-30,16.6571
2016-08-31,14.6429
2016-07-29,13.7558
2016-06-30,13.8423
2016-05-31,13.9896
2016-04-29,15.1050
2016-03-31,17.0435
2016-02-29,18.9619
2016-01-29,21.0108
2015-12-31,24.5153
2015-11-30,26.5517
2015-10-30,28.4208
2015-09-30,29.7038
2015-08-31,32.2345
2015-07-31,35.3756
2015-06-30,38.2622
