,DEMA_monthly_10
2022-04-04,44.5425
2022-03-31,44.3721
2022-02-28,43.8058
2022-01-31,43.9572
2021-12-31,44.8807
2021-11-30,45.7615
2021-10-29,47.6550
2021-09-30,48.4926
2021-08-31,48.9922
2021-07-30,50.1393
2021-06-30,51.5804
2021-05-28,51.0175
2021-04-30,47.5461
2021-03-31,44.6496
2021-02-26,39.4086
2021-01-29,34.6349
2020-12-31,34.0349
2020-11-30,31.9839
2020-10-30,28.6762
2020-09-30,29.5171
2020-08-31,30.5922
2020-07-31,31.8480
2020-06-30,35.9822
2020-05-29,40.4952
2020-04-30,49.8662
2020-03-31,62.1026
2020-02-28,77.9000
2020-01-31,85.8587
2019-12-31,90.6780
2019-11-29,91.1864
2019-10-31,89.6996
2019-09-30,88.5029
2019-08-30,87.9106
2019-07-31,88.8727
2019-06-28,86.7068
2019-05-31,85.6660
2019-04-30,88.6043
2019-03-29,87.4705
2019-02-28,89.8809
2019-01-31,89.4139
2018-12-31,88.8772
2018-11-30,89.5693
2018-10-31,84.5504
2018-09-28,82.6263
2018-08-31,78.3168
2018-07-31,73.1384
2018-06-29,69.2282
2018-05-31,68.6808
2018-04-30,67.9772
2018-03-29,67.9169
2018-02-28,66.9504
2018-01-31,66.3778
2017-12-29,65.5787
2017-11-30,64.6824
2017-10-31,65.2910
2017-09-29,68.2539
2017-08-31,71.1306
2017-07-31,74.4418
2017-06-30,76.2295
2017-05-31,75.1134
2017-04-28,71.4884
2017-03-31,70.6817
2017-02-28,69.2623
2017-01-31,65.6767
2016-12-30,62.3448
2016-11-30,56.6975
2016-10-31,50.8074
2016-09-30,48.5577
2016-08-31,47.2471
2016-07-29,46.4628
2016-06-30,47.0506
2016-05-31,50.5206
2016-04-29,53.4361
2016-03-31,57.0592
2016-02-29,55.6715
2016-01-29,54.9609
2015-12-31,58.0041
2015-11-30,58.0609
2015-10-30,58.8060
2015-09-30,57.7317
2015-08-31,59.4807
2015-07-31,60.0337
2015-06-30,60.9663
2015-05-29,63.6357
2015-04-30,66.3963
2015-03-31,67.6483
2015-02-27,65.7902
2015-01-30,64.0066
2014-12-31,59.5380
2014-11-28,54.4504
2014-10-31,49.9803
2014-09-30,47.6004
2014-08-29,46.9782
2014-07-31,45.6749
2014-06-30,44.3658
2014-05-30,44.8746
2014-04-30,43.9801
2014-03-31,44.2188
2014-02-28,42.7388
2014-01-31,40.4748
2013-12-31,36.9230
2013-11-29,35.6176
2013-10-31,33.1457
2013-09-30,32.1101
2013-08-30,32.0940
2013-07-31,33.0016
2013-06-28,31.2931
2013-05-31,30.4987
2013-04-30,28.8312
2013-03-28,26.5905
2013-02-28,23.6542
2013-01-31,22.0360
2012-12-31,20.9872
2012-11-30,19.9190
2012-10-31,19.8986
2012-09-28,20.3329
2012-08-31,20.7973
2012-07-31,21.8937
2012-06-29,23.1658
2012-05-31,22.4373
2012-04-30,21.0692
2012-03-30,20.6723
2012-02-29,20.3278
2012-01-31,20.2488
2011-12-30,19.0617
2011-11-30,19.3678
2011-10-31,20.2005
2011-09-30,20.7343
2011-08-31,21.4351
2011-07-29,22.7316
2011-06-30,24.6728
2011-05-31,25.2446
2011-04-29,25.2940
2011-03-31,25.9024
2011-02-28,26.5835
2011-01-31,26.9569
2010-12-31,26.7661
2010-11-30,27.1159
2010-10-29,25.7602
2010-09-30,23.2252
2010-08-31,22.1167
2010-07-30,21.6293
2010-06-30,19.7523
2010-05-28,18.5586
2010-04-30,17.1187
2010-03-31,14.4049
2010-02-26,11.6152
2010-01-29,8.9075
2009-12-31,7.4564
2009-11-30,5.2222
2009-10-30,4.5533
2009-09-30,4.2679
2009-08-31,2.7479
2009-07-31,2.1257
2009-06-30,2.3368
2009-05-29,3.1535
2009-04-30,3.7264
2009-03-31,4.5079
2009-02-27,5.8911
2009-01-30,7.6967
2008-12-31,8.2429
2008-11-28,8.4158
2008-10-31,8.7004
2008-09-30,7.7804
2008-08-29,9.3052
2008-07-31,10.5266
2008-06-30,13.6243
2008-05-30,19.3626
2008-04-30,25.7608
2008-03-31,31.6414
2008-02-29,36.6527
2008-01-31,39.4941
2007-12-31,39.8846
2007-11-30,42.4779
2007-10-31,43.7086
2007-09-28,42.3905
