,DEMA_monthly_10
2022-04-04,211.9168
2022-03-31,207.6912
2022-02-28,202.8969
2022-01-31,213.0190
2021-12-31,218.0259
2021-11-30,209.9431
2021-10-29,200.6191
2021-09-30,194.3252
2021-08-31,190.1113
2021-07-30,183.7547
2021-06-30,180.3351
2021-05-28,182.3953
2021-04-30,186.0204
2021-03-31,183.9430
2021-02-26,186.0788
2021-01-29,194.5474
2020-12-31,196.9537
2020-11-30,189.1899
2020-10-30,182.6357
2020-09-30,182.4881
2020-08-31,178.7322
2020-07-31,172.8842
2020-06-30,163.8350
2020-05-29,159.5877
2020-04-30,152.7138
2020-03-31,152.0429
2020-02-28,156.8930
2020-01-31,156.4151
2019-12-31,152.3039
2019-11-29,152.3053
2019-10-31,152.9817
2019-09-30,154.8219
2019-08-30,151.0793
2019-07-31,144.3391
2019-06-28,139.2709
2019-05-31,134.4824
2019-04-30,130.7221
2019-03-29,124.9348
2019-02-28,120.5068
2019-01-31,117.3563
2018-12-31,116.8928
2018-11-30,119.7471
2018-10-31,117.1557
2018-09-28,114.9762
2018-08-31,111.5280
2018-07-31,107.3334
2018-06-29,105.2111
2018-05-31,103.4904
2018-04-30,101.6232
2018-03-29,98.8608
2018-02-28,96.0655
2018-01-31,92.9620
2017-12-29,89.6075
2017-11-30,86.7713
2017-10-31,82.7084
2017-09-29,82.1646
2017-08-31,82.2164
2017-07-31,83.1873
2017-06-30,81.7462
2017-05-31,81.0333
2017-04-28,81.5605
2017-03-31,81.3959
2017-02-28,81.8613
2017-01-31,81.6625
2016-12-30,81.4640
2016-11-30,81.7800
2016-10-31,81.3071
2016-09-30,81.2683
2016-08-31,81.2575
2016-07-29,80.3886
2016-06-30,78.1658
2016-05-31,76.9365
2016-04-29,75.9564
2016-03-31,75.3677
2016-02-29,73.4992
2016-01-29,74.0237
2015-12-31,74.6038
2015-11-30,73.6276
2015-10-30,73.0904
2015-09-30,73.7559
2015-08-31,73.5694
2015-07-31,73.5925
2015-06-30,71.3375
2015-05-29,70.5509
2015-04-30,69.4882
2015-03-31,66.9080
2015-02-27,64.9619
2015-01-30,62.1206
2014-12-31,61.5268
2014-11-28,60.8435
2014-10-31,60.8158
2014-09-30,60.6069
2014-08-29,60.9520
2014-07-31,59.9656
2014-06-30,60.4404
2014-05-30,61.0767
2014-04-30,62.2743
2014-03-31,63.4583
2014-02-28,65.0553
2014-01-31,65.4934
2013-12-31,65.9312
2013-11-29,65.6076
2013-10-31,65.3275
2013-09-30,63.3473
2013-08-30,62.1231
2013-07-31,61.5771
2013-06-28,59.7786
2013-05-31,59.2796
2013-04-30,58.8763
2013-03-28,57.1356
2013-02-28,54.5336
2013-01-31,52.3038
2012-12-31,50.6574
2012-11-30,50.1867
2012-10-31,49.9615
2012-09-28,49.0107
2012-08-31,49.1691
2012-07-31,48.8837
2012-06-29,47.6366
2012-05-31,46.2816
2012-04-30,44.9455
2012-03-30,42.5892
2012-02-29,40.1946
2012-01-31,38.4136
2011-12-30,37.4564
2011-11-30,36.0832
2011-10-31,34.5603
2011-09-30,34.2751
2011-08-31,34.0214
2011-07-29,33.6130
2011-06-30,33.6977
2011-05-31,33.1959
