,DEMA_monthly_10
2017-08-29,39.8071
2017-07-31,38.0791
2017-06-30,35.7931
2017-05-31,32.5174
2017-04-28,31.3281
2017-03-31,29.1143
2017-02-28,29.1615
2017-01-31,28.8282
2016-12-30,28.6061
2016-11-30,28.1649
2016-10-31,27.7759
2016-09-30,28.2247
2016-08-31,28.8535
2016-07-29,28.9229
2016-06-30,29.0277
2016-05-31,28.5567
2016-04-29,27.9119
2016-03-31,28.5532
2016-02-29,28.6818
2016-01-29,28.8667
2015-12-31,30.0877
2015-11-30,30.0844
2015-10-30,32.0712
2015-09-30,34.5017
2015-08-31,37.1348
2015-07-31,40.3287
2015-06-30,43.1084
2015-05-29,45.5629
2015-04-30,48.1454
2015-03-31,48.7970
2015-02-27,47.8389
2015-01-30,44.6325
2014-12-31,42.1903
2014-11-28,39.6962
2014-10-31,36.9851
2014-09-30,37.5535
2014-08-29,38.9264
2014-07-31,40.4704
2014-06-30,43.0087
2014-05-30,46.3591
2014-04-30,51.0544
2014-03-31,52.4981
2014-02-28,54.0198
2014-01-31,54.5932
2013-12-31,56.0423
2013-11-29,55.5942
2013-10-31,55.4016
2013-09-30,52.2764
2013-08-30,49.9276
2013-07-31,49.1473
2013-06-28,46.8283
2013-05-31,45.4100
2013-04-30,43.2885
2013-03-28,43.6273
2013-02-28,44.4081
2013-01-31,45.6343
2012-12-31,44.9790
2012-11-30,45.1235
2012-10-31,45.1846
2012-09-28,44.8712
2012-08-31,43.8054
2012-07-31,42.4219
2012-06-29,41.4667
2012-05-31,39.3499
2012-04-30,37.8000
2012-03-30,36.7516
2012-02-29,35.2523
2012-01-31,33.6516
2011-12-30,32.7868
2011-11-30,32.4805
2011-10-31,32.2880
2011-09-30,31.1258
2011-08-31,30.8606
2011-07-29,30.2844
2011-06-30,29.2813
2011-05-31,28.4972
2011-04-29,27.8316
2011-03-31,26.5141
2011-02-28,24.0332
2011-01-31,22.1017
2010-12-31,20.8227
2010-11-30,19.2915
2010-10-29,17.8638
2010-09-30,17.4119
2010-08-31,17.2994
2010-07-30,17.5756
2010-06-30,17.2585
2010-05-28,17.1759
2010-04-30,16.1221
2010-03-31,14.9414
2010-02-26,13.8921
2010-01-29,12.5811
2009-12-31,12.4631
2009-11-30,12.2347
2009-10-30,12.2667
2009-09-30,10.9913
2009-08-31,9.5776
2009-07-31,7.9599
2009-06-30,6.7871
2009-05-29,6.2918
2009-04-30,5.6884
2009-03-31,4.5539
2009-02-27,3.8905
2009-01-30,4.0209
2008-12-31,4.6721
2008-11-28,5.8070
2008-10-31,7.1973
2008-09-30,9.1273
2008-08-29,9.9234
2008-07-31,11.4178
2008-06-30,12.7183
2008-05-30,14.2659
2008-04-30,15.3382
2008-03-31,16.0993
2008-02-29,17.1392
2008-01-31,18.1408
2007-12-31,18.6648
2007-11-30,19.1715
2007-10-31,19.4404
2007-09-28,18.5363
2007-08-31,17.5060
2007-07-31,17.0972
2007-06-29,18.0302
2007-05-31,19.1296
2007-04-30,20.1123
2007-03-30,20.3671
2007-02-28,21.1757
2007-01-31,21.7403
2006-12-29,23.4387
2006-11-30,25.0604
2006-10-31,26.8951
2006-09-29,26.4391
2006-08-31,26.7154
2006-07-31,28.2148
2006-06-30,29.4622
2006-05-31,29.7578
2006-04-28,30.0489
2006-03-31,31.0962
2006-02-28,31.4949
2006-01-31,32.4530
2005-12-30,31.7238
2005-11-30,30.3823
2005-10-31,29.1947
2005-09-30,27.8094
2005-08-31,26.8019
2005-07-29,25.8578
2005-06-30,23.8362
2005-05-31,22.7952
2005-04-29,21.2733
2005-03-31,20.9859
2005-02-28,20.3468
2005-01-31,19.3805
2004-12-31,19.2933
2004-11-30,18.6017
2004-10-29,18.0610
2004-09-30,18.1681
2004-08-31,17.8806
2004-07-30,18.2013
2004-06-30,18.1573
2004-05-28,16.8391
2004-04-30,15.8973
2004-03-31,15.1482
2004-02-27,14.5859
2004-01-30,13.5777
2003-12-31,13.1060
2003-11-28,12.4931
2003-10-31,11.7819
2003-09-30,11.4022
2003-08-29,11.2575
2003-07-31,11.1300
2003-06-30,11.2586
2003-05-30,11.7357
2003-04-30,11.7000
2003-03-31,11.1982
2003-02-28,10.8426
2003-01-31,10.7685
2002-12-31,10.6728
2002-11-29,10.3477
2002-10-31,9.8530
2002-09-30,9.7726
2002-08-30,9.9999
2002-07-31,10.1170
2002-06-28,10.3233
2002-05-31,10.1701
2002-04-30,9.6612
2002-03-28,9.3557
2002-02-28,9.0158
2002-01-31,8.6457
2001-12-31,8.2741
2001-11-30,7.6792
2001-10-31,6.9180
2001-09-28,6.6326
2001-08-31,6.5433
2001-07-31,6.0601
2001-06-29,5.5143
