,DEMA_monthly_10
2022-04-04,81.3404
2022-03-31,82.7982
2022-02-28,85.8618
2022-01-31,87.1228
2021-12-31,89.4521
2021-11-30,92.9164
2021-10-29,99.4936
2021-09-30,104.4994
2021-08-31,113.4957
2021-07-30,117.9862
2021-06-30,125.3828
2021-05-28,124.4428
2021-04-30,118.6794
2021-03-31,112.2635
2021-02-26,104.8227
2021-01-29,91.8956
2020-12-31,88.8629
2020-11-30,78.9482
2020-10-30,71.2906
2020-09-30,73.7695
2020-08-31,77.6818
2020-07-31,76.2852
2020-06-30,81.4257
2020-05-29,87.7450
2020-04-30,92.6237
2020-03-31,98.4503
2020-02-28,117.7783
2020-01-31,122.5671
2019-12-31,121.4084
2019-11-29,114.2583
2019-10-31,112.6722
2019-09-30,110.8849
2019-08-30,114.1432
2019-07-31,118.0269
2019-06-28,115.1930
2019-05-31,114.1551
2019-04-30,120.1367
2019-03-29,112.7511
2019-02-28,113.8219
2019-01-31,112.3916
2018-12-31,112.5720
2018-11-30,123.3918
2018-10-31,133.6744
2018-09-28,151.6884
2018-08-31,164.6371
2018-07-31,172.8175
2018-06-29,176.0558
2018-05-31,179.7668
2018-04-30,172.1898
2018-03-29,165.9785
2018-02-28,158.7880
2018-01-31,154.9379
2017-12-29,150.3542
2017-11-30,142.5219
2017-10-31,136.0126
2017-09-29,131.5490
2017-08-31,124.6197
2017-07-31,119.1505
2017-06-30,115.7624
2017-05-31,108.9670
2017-04-28,101.8731
2017-03-31,94.7516
2017-02-28,88.5604
2017-01-31,87.8390
2016-12-30,84.8692
2016-11-30,87.0182
2016-10-31,83.5167
2016-09-30,82.1087
2016-08-31,79.0746
2016-07-29,78.3794
2016-06-30,74.1989
2016-05-31,71.6961
2016-04-29,66.2613
2016-03-31,62.6274
2016-02-29,56.0014
2016-01-29,51.9734
2015-12-31,53.4043
2015-11-30,55.1701
2015-10-30,60.7579
2015-09-30,66.2271
2015-08-31,80.9502
2015-07-31,92.5466
2015-06-30,97.5758
2015-05-29,106.6398
2015-04-30,118.4675
2015-03-31,130.7996
2015-02-27,141.7857
2015-01-30,150.1534
2014-12-31,159.9211
2014-11-28,172.7377
2014-10-31,178.1347
2014-09-30,181.7443
2014-08-29,187.4490
2014-07-31,192.5033
2014-06-30,191.4863
2014-05-30,191.7706
2014-04-30,188.7341
2014-03-31,188.7737
2014-02-28,181.1876
2014-01-31,162.5651
2013-12-31,147.0263
2013-11-29,134.5284
2013-10-31,128.1586
2013-09-30,120.6729
2013-08-30,113.4257
2013-07-31,109.7871
2013-06-28,108.0158
2013-05-31,107.3733
2013-04-30,103.4277
2013-03-28,97.8216
2013-02-28,94.6194
2013-01-31,93.2571
2012-12-31,88.6913
2012-11-30,87.1408
2012-10-31,85.0809
2012-09-28,82.1237
2012-08-31,80.0957
2012-07-31,81.5919
2012-06-29,86.8552
2012-05-31,90.7637
2012-04-30,96.2229
2012-03-30,93.4887
2012-02-29,92.5959
2012-01-31,93.4521
2011-12-30,95.8019
2011-11-30,100.4236
2011-10-31,103.1032
2011-09-30,104.2881
2011-08-31,111.3990
2011-07-29,107.9915
2011-06-30,103.3586
2011-05-31,100.1160
2011-04-29,94.4344
2011-03-31,86.2390
2011-02-28,81.3807
2011-01-31,75.8978
2010-12-31,70.3522
2010-11-30,66.6142
2010-10-29,62.2462
2010-09-30,56.7172
2010-08-31,55.1140
2010-07-30,54.6243
2010-06-30,51.8178
2010-05-28,51.2432
2010-04-30,48.1068
2010-03-31,42.5719
2010-02-26,38.6689
2010-01-29,36.9514
2009-12-31,35.1094
2009-11-30,33.6884
2009-10-30,29.9486
2009-09-30,28.8650
2009-08-31,22.8961
2009-07-31,19.6174
2009-06-30,16.2166
2009-05-29,16.2576
2009-04-30,16.1101
2009-03-31,15.6292
2009-02-27,20.6281
2009-01-30,27.4173
2008-12-31,34.3364
2008-11-28,40.5487
2008-10-31,49.7867
2008-09-30,56.6897
2008-08-29,60.2103
2008-07-31,61.2025
2008-06-30,62.0091
2008-05-30,67.5592
2008-04-30,69.8649
2008-03-31,71.4539
2008-02-29,74.8059
2008-01-31,79.1748
2007-12-31,80.9421
2007-11-30,83.8778
2007-10-31,83.4753
2007-09-28,75.0827
2007-08-31,64.5680
2007-07-31,59.1621
2007-06-29,58.9170
2007-05-31,60.2765
2007-04-30,60.1482
2007-03-30,58.3032
2007-02-28,57.5837
2007-01-31,55.6044
2006-12-29,49.1584
2006-11-30,45.0650
2006-10-31,41.0416
2006-09-29,40.5380
2006-08-31,41.1589
2006-07-31,39.5999
2006-06-30,40.7352
2006-05-31,39.8831
2006-04-28,39.1643
2006-03-31,36.8957
2006-02-28,33.5858
2006-01-31,31.6482
2005-12-30,29.4704
2005-11-30,28.9264
2005-10-31,27.9452
2005-09-30,28.8938
2005-08-31,30.5250
2005-07-29,32.0569
2005-06-30,31.9549
2005-05-31,33.9900
2005-04-29,36.7488
2005-03-31,38.8373
2005-02-28,37.8426
2005-01-31,35.3984
2004-12-31,33.4387
2004-11-30,30.3193
2004-10-29,28.1692
2004-09-30,25.1414
2004-08-31,22.5598
2004-07-30,22.2287
2004-06-30,22.3877
2004-05-28,21.7968
