,EMA_monthly_10
2018-09-28,132.0616
2018-08-31,127.2975
2018-07-31,121.6325
2018-06-29,115.4427
2018-05-31,112.0569
2018-04-30,104.9856
2018-03-29,97.8188
2018-02-28,97.3847
2018-01-31,99.2663
2017-12-29,97.6276
2017-11-30,94.2708
2017-10-31,92.1114
2017-09-29,89.4333
2017-08-31,86.8334
2017-07-31,84.3093
2017-06-30,81.4881
2017-05-31,79.3243
2017-04-28,78.9235
2017-03-31,79.3134
2017-02-28,79.4995
2017-01-31,78.8385
2016-12-30,79.0723
2016-11-30,77.9470
2016-10-31,77.8758
2016-09-30,77.1326
2016-08-31,77.3733
2016-07-29,78.5470
2016-06-30,79.9461
2016-05-31,81.9155
2016-04-29,83.6562
2016-03-31,85.5523
2016-02-29,86.5457
2016-01-29,88.8765
2015-12-31,90.4657
2015-11-30,88.6363
2015-10-30,84.3605
2015-09-30,80.9442
2015-08-31,78.7771
2015-07-31,77.2125
2015-06-30,74.3047
2015-05-29,73.4163
2015-04-30,71.4873
2015-03-31,69.7646
2015-02-27,66.5390
2015-01-30,62.4838
2014-12-31,59.6796
2014-11-28,57.7592
2014-10-31,54.9485
2014-09-30,52.6327
2014-08-29,51.9239
2014-07-31,50.2928
2014-06-30,49.0088
2014-05-30,48.0205
2014-04-30,47.3128
2014-03-31,46.4808
2014-02-28,46.6128
2014-01-31,46.6894
2013-12-31,46.7305
2013-11-29,45.3806
2013-10-31,43.7046
2013-09-30,43.6528
2013-08-30,44.5701
2013-07-31,45.2698
2013-06-28,44.0369
2013-05-31,43.4300
2013-04-30,40.8348
2013-03-28,39.3362
2013-02-28,36.4850
2013-01-31,33.4575
2012-12-31,31.2875
2012-11-30,29.5506
2012-10-31,27.7769
2012-09-28,26.5370
2012-08-31,24.1982
2012-07-31,21.7643
2012-06-29,21.1824
2012-05-31,20.9984
2012-04-30,21.3300
2012-03-30,21.5139
2012-02-29,21.0352
2012-01-31,20.5108
2011-12-30,20.1638
2011-11-30,20.0670
2011-10-31,19.8448
2011-09-30,19.1715
2011-08-31,19.6165
2011-07-29,19.2609
2011-06-30,18.7812
2011-05-31,18.4653
2011-04-29,17.7872
2011-03-31,16.4254
2011-02-28,14.8178
2011-01-31,13.4507
2010-12-31,12.6675
2010-11-30,11.8494
2010-10-29,11.2844
2010-09-30,11.2524
2010-08-31,11.1349
2010-07-30,11.4092
2010-06-30,11.4147
2010-05-28,11.6644
2010-04-30,11.9638
2010-03-31,12.0455
2010-02-26,11.9984
2010-01-29,12.3288
2009-12-31,12.6191
2009-11-30,12.7680
2009-10-30,13.1009
2009-09-30,13.2522
2009-08-31,13.2732
2009-07-31,13.4745
2009-06-30,13.9316
2009-05-29,14.5601
2009-04-30,14.5123
2009-03-31,14.7987
2009-02-27,15.4917
2009-01-30,16.0901
2008-12-31,16.3670
2008-11-28,17.4828
2008-10-31,19.6084
2008-09-30,22.1347
2008-08-29,23.9309
2008-07-31,25.7362
2008-06-30,28.5476
2008-05-30,31.1682
2008-04-30,33.4146
2008-03-31,36.1258
2008-02-29,38.5281
2008-01-31,40.1254
2007-12-31,41.7666
2007-11-30,42.1267
2007-10-31,42.2900
2007-09-28,40.3897
2007-08-31,40.7754
2007-07-31,40.6290
2007-06-29,40.3813
2007-05-31,38.7095
2007-04-30,35.8031
2007-03-30,32.4890
2007-02-28,30.3698
2007-01-31,28.6407
2006-12-29,27.3525
2006-11-30,27.3217
2006-10-31,26.8495
2006-09-29,26.8853
2006-08-31,27.4818
2006-07-31,27.5960
2006-06-30,26.8012
2006-05-31,25.8705
2006-04-28,25.3119
2006-03-31,24.4712
2006-02-28,23.5898
2006-01-31,23.2458
2005-12-30,21.7210
2005-11-30,20.8656
2005-10-31,20.4183
2005-09-30,19.3206
2005-08-31,17.4176
2005-07-29,15.9618
2005-06-30,15.0692
2005-05-31,14.1348
2005-04-29,13.2617
2005-03-31,12.7196
2005-02-28,12.1416
2005-01-31,11.4434
2004-12-31,11.0582
2004-11-30,10.5856
2004-10-29,9.8920
2004-09-30,9.3055
2004-08-31,8.6577
2004-07-30,8.4039
2004-06-30,7.6044
2004-05-28,6.7561
2004-04-30,6.0668
2004-03-31,5.5472
2004-02-27,5.0518
2004-01-30,4.4961
2003-12-31,4.0973
2003-11-28,3.6679
2003-10-31,3.3169
2003-09-30,3.0056
2003-08-29,2.8955
2003-07-31,2.7167
2003-06-30,2.6813
2003-05-30,2.6444
2003-04-30,2.5874
2003-03-31,2.4478
2003-02-28,2.3112
2003-01-31,2.3328
2002-12-31,2.4742
2002-11-29,2.6083
2002-10-31,2.7925
2002-09-30,3.1132
2002-08-30,3.5475
2002-07-31,4.0030
2002-06-28,4.5081
2002-05-31,4.7971
2002-04-30,5.2148
2002-03-28,5.3345
2002-02-28,5.2278
2002-01-31,5.3135
2001-12-31,5.2288
2001-11-30,5.1851
2001-10-31,5.1786
2001-09-28,5.1137
2001-08-31,5.1556
2001-07-31,5.0984
2001-06-29,5.2106
2001-05-31,5.2098
2001-04-30,4.9374
2001-03-30,4.6643
2001-02-28,4.5559
2001-01-31,4.4059
2000-12-29,4.3421
2000-11-30,4.2374
2000-10-31,4.3111
2000-09-29,4.3145
