,EMA_monthly_10
2022-04-04,75.3594
2022-03-31,75.2193
2022-02-28,75.1903
2022-01-31,75.0524
2021-12-31,74.0905
2021-11-30,71.1704
2021-10-29,69.1703
2021-09-30,67.5681
2021-08-31,66.3924
2021-07-30,64.2369
2021-06-30,62.5159
2021-05-28,61.3127
2021-04-30,60.1280
2021-03-31,58.6624
2021-02-26,57.1728
2021-01-29,56.1031
2020-12-31,54.8833
2020-11-30,52.7469
2020-10-30,50.1632
2020-09-30,48.9705
2020-08-31,48.0126
2020-07-31,46.7025
2020-06-30,45.5420
2020-05-29,45.2093
2020-04-30,44.7480
2020-03-31,45.0874
2020-02-28,47.1760
2020-01-31,47.7191
2019-12-31,47.5384
2019-11-29,46.3676
2019-10-31,45.4215
2019-09-30,44.6620
2019-08-30,44.1481
2019-07-31,44.5141
2019-06-28,44.3378
2019-05-31,43.8397
2019-04-30,44.2183
2019-03-29,43.3293
2019-02-28,42.7937
2019-01-31,42.2140
2018-12-31,42.1551
2018-11-30,42.8239
2018-10-31,42.9244
2018-09-28,42.8802
2018-08-31,42.3421
2018-07-31,41.6486
2018-06-29,40.9152
2018-05-31,40.6982
2018-04-30,40.4799
2018-03-29,40.5560
2018-02-28,40.3913
2018-01-31,39.6496
2017-12-29,38.5963
2017-11-30,37.8374
2017-10-31,36.6337
2017-09-29,35.5435
2017-08-31,34.4613
2017-07-31,33.5510
2017-06-30,32.8957
2017-05-31,32.3912
2017-04-28,31.7086
2017-03-31,31.1162
2017-02-28,30.5127
2017-01-31,29.9983
2016-12-30,29.5510
2016-11-30,29.0348
2016-10-31,28.3090
2016-09-30,27.6669
2016-08-31,26.9883
2016-07-29,26.4483
2016-06-30,26.0810
2016-05-31,25.8619
2016-04-29,25.4627
2016-03-31,25.2773
2016-02-29,24.8424
2016-01-29,24.8219
2015-12-31,25.1622
2015-11-30,25.3005
2015-10-30,25.1902
2015-09-30,25.1419
2015-08-31,25.4224
2015-07-31,25.6343
2015-06-30,25.4728
2015-05-29,25.1135
2015-04-30,24.7827
2015-03-31,24.5526
2015-02-27,23.9025
2015-01-30,23.3764
2014-12-31,23.0178
2014-11-28,22.5692
2014-10-31,22.0524
2014-09-30,21.7353
2014-08-29,21.4148
2014-07-31,20.8734
2014-06-30,20.5636
2014-05-30,20.1762
2014-04-30,19.7405
2014-03-31,19.2311
2014-02-28,18.7985
2014-01-31,18.4661
2013-12-31,18.1182
2013-11-29,17.5753
2013-10-31,17.1359
2013-09-30,16.8395
2013-08-30,16.6261
2013-07-31,16.4578
2013-06-28,16.1097
2013-05-31,15.7159
2013-04-30,15.2420
2013-03-28,14.7840
2013-02-28,14.2685
2013-01-31,13.8366
2012-12-31,13.4759
2012-11-30,13.1810
2012-10-31,12.9673
2012-09-28,12.7969
2012-08-31,12.6522
2012-07-31,12.3795
2012-06-29,12.1470
2012-05-31,12.0635
2012-04-30,12.0544
2012-03-30,11.7929
2012-02-29,11.3909
2012-01-31,11.0974
2011-12-30,10.8160
2011-11-30,10.9284
2011-10-31,11.0695
2011-09-30,11.1330
2011-08-31,11.5497
2011-07-29,11.7465
2011-06-30,11.8906
2011-05-31,11.8095
2011-04-29,11.7077
