,EMA_monthly_10
2022-04-04,79.6695
2022-03-31,80.6027
2022-02-28,81.2833
2022-01-31,80.4641
2021-12-31,79.4209
2021-11-30,78.0573
2021-10-29,78.9473
2021-09-30,79.0664
2021-08-31,78.8875
2021-07-30,79.6558
2021-06-30,80.3463
2021-05-28,80.4975
2021-04-30,80.3877
2021-03-31,79.4712
2021-02-26,78.6468
2021-01-29,79.0967
2020-12-31,79.8873
2020-11-30,80.1086
2020-10-30,81.3434
2020-09-30,82.5258
2020-08-31,83.3503
2020-07-31,82.9098
2020-06-30,82.5751
2020-05-29,82.2267
2020-04-30,81.0058
2020-03-31,79.7799
2020-02-28,79.9253
2020-01-31,79.6093
2019-12-31,78.0280
2019-11-29,77.3051
2019-10-31,76.8250
2019-09-30,77.3735
2019-08-30,75.7237
2019-07-31,73.6039
2019-06-28,71.9158
2019-05-31,70.2974
2019-04-30,70.1823
2019-03-29,69.4289
2019-02-28,67.4346
2019-01-31,66.4069
2018-12-31,65.6703
2018-11-30,66.1957
2018-10-31,66.2543
2018-09-28,67.6537
2018-08-31,66.2566
2018-07-31,65.1287
2018-06-29,64.1990
2018-05-31,62.7672
2018-04-30,61.6550
2018-03-29,60.6200
2018-02-28,60.3007
2018-01-31,59.3620
2017-12-29,57.3178
2017-11-30,56.3825
2017-10-31,55.0511
2017-09-29,53.6813
2017-08-31,52.3700
2017-07-31,50.9170
2017-06-30,49.5035
2017-05-31,47.7633
2017-04-28,45.8952
2017-03-31,44.4075
2017-02-28,43.3909
2017-01-31,42.3728
2016-12-30,41.7586
2016-11-30,41.7553
2016-10-31,41.7451
2016-09-30,41.0875
2016-08-31,40.2817
2016-07-29,39.4784
2016-06-30,38.2552
2016-05-31,37.3430
2016-04-29,36.6838
2016-03-31,35.6581
2016-02-29,35.0561
2016-01-29,34.6700
2015-12-31,34.8002
2015-11-30,34.6386
2015-10-30,34.5684
2015-09-30,34.5364
2015-08-31,35.4338
2015-07-31,35.3996
2015-06-30,35.0226
2015-05-29,34.9110
2015-04-30,35.1493
2015-03-31,35.2598
2015-02-27,35.4217
2015-01-30,35.6059
2014-12-31,35.7020
2014-11-28,35.4882
2014-10-31,35.3159
2014-09-30,35.4211
2014-08-29,35.3697
2014-07-31,35.0103
2014-06-30,34.6028
2014-05-30,34.3668
2014-04-30,33.9047
2014-03-31,33.5163
2014-02-28,32.9555
2014-01-31,32.7685
2013-12-31,32.6695
2013-11-29,32.4134
2013-10-31,32.2732
2013-09-30,32.3786
2013-08-30,32.5267
2013-07-31,32.3447
2013-06-28,31.7515
2013-05-31,31.4282
2013-04-30,30.9730
2013-03-28,30.4653
2013-02-28,29.5517
2013-01-31,29.0140
2012-12-31,28.3316
2012-11-30,27.6215
2012-10-31,26.8429
2012-09-28,26.2711
2012-08-31,25.8187
2012-07-31,25.4787
2012-06-29,25.0808
2012-05-31,25.1496
2012-04-30,25.5304
2012-03-30,25.5030
2012-02-29,25.0198
2012-01-31,24.6337
2011-12-30,24.4329
2011-11-30,24.8012
2011-10-31,25.0631
2011-09-30,25.0457
2011-08-31,24.9066
2011-07-29,24.7844
2011-06-30,24.4137
2011-05-31,23.8071
2011-04-29,23.1150
2011-03-31,22.5323
2011-02-28,22.1348
2011-01-31,21.7424
2010-12-31,21.7284
2010-11-30,21.4984
2010-10-29,21.4544
2010-09-30,21.1642
2010-08-31,21.1294
2010-07-30,21.6275
2010-06-30,22.1160
2010-05-28,23.0218
2010-04-30,24.0014
2010-03-31,24.7098
2010-02-26,24.5002
2010-01-29,24.3956
2009-12-31,24.2034
2009-11-30,23.8623
2009-10-30,23.8758
2009-09-30,23.9397
2009-08-31,23.7319
2009-07-31,23.5123
2009-06-30,23.2969
2009-05-29,23.3629
2009-04-30,23.6417
2009-03-31,24.2407
2009-02-27,24.7117
2009-01-30,25.3415
2008-12-31,25.3721
2008-11-28,25.8927
2008-10-31,26.6199
2008-09-30,26.7875
2008-08-29,26.5039
2008-07-31,25.9754
2008-06-30,25.2488
2008-05-30,24.8032
2008-04-30,24.5481
2008-03-31,24.1212
2008-02-29,24.0242
2008-01-31,23.8134
2007-12-31,23.4109
2007-11-30,23.1550
2007-10-31,22.6915
2007-09-28,22.1120
2007-08-31,21.7531
2007-07-31,21.4728
2007-06-29,21.3320
2007-05-31,20.8105
2007-04-30,20.1421
2007-03-30,19.3446
2007-02-28,18.7387
2007-01-31,18.2617
2006-12-29,17.7113
2006-11-30,17.3420
2006-10-31,17.0969
2006-09-29,16.6846
2006-08-31,16.2275
2006-07-31,15.7677
2006-06-30,15.4238
2006-05-31,15.4835
2006-04-28,15.4703
2006-03-31,15.4543
2006-02-28,15.3330
2006-01-31,15.2727
2005-12-30,15.2906
2005-11-30,15.2391
2005-10-31,15.1197
2005-09-30,15.0288
2005-08-31,14.7696
2005-07-29,14.4113
2005-06-30,14.0690
2005-05-31,13.8466
2005-04-29,13.5928
2005-03-31,13.2646
2005-02-28,13.1451
2005-01-31,12.8473
2004-12-31,12.6549
2004-11-30,12.3493
2004-10-29,12.2875
2004-09-30,12.2909
2004-08-31,12.1709
2004-07-30,12.1679
2004-06-30,12.2059
2004-05-28,11.8586
2004-04-30,11.7064
2004-03-31,11.5018
2004-02-27,11.3190
2004-01-30,11.2526
2003-12-31,11.1688
2003-11-28,10.9448
2003-10-31,10.9581
2003-09-30,11.0820
2003-08-29,11.0179
2003-07-31,11.0231
2003-06-30,11.0719
2003-05-30,11.2716
2003-04-30,11.5731
2003-03-31,12.1451
2003-02-28,13.2232
2003-01-31,13.6932
2002-12-31,14.2858
2002-11-29,15.0258
2002-10-31,15.6385
2002-09-30,16.9814
2002-08-30,18.1513
2002-07-31,19.0921
2002-06-28,19.9333
2002-05-31,20.5746
2002-04-30,20.5701
2002-03-28,20.2918
2002-02-28,19.7284
2002-01-31,19.3840
2001-12-31,18.9334
2001-11-30,18.5701
2001-10-31,18.3152
2001-09-28,18.3095
2001-08-31,17.7397
2001-07-31,17.3340
2001-06-29,16.9898
2001-05-31,16.5101
2001-04-30,16.0182
2001-03-30,15.7376
2001-02-28,15.2686
2001-01-31,14.7818
2000-12-29,14.3643
2000-11-30,13.8358
2000-10-31,13.3128
2000-09-29,12.8552
