,EMA_monthly_10
2022-04-04,55.2144
2022-03-31,56.8576
2022-02-28,58.8704
2022-01-31,60.0927
2021-12-31,61.0342
2021-11-30,59.1477
2021-10-29,55.6598
2021-09-30,52.7632
2021-08-31,50.5618
2021-07-30,46.8881
2021-06-30,42.9836
2021-05-28,39.6444
2021-04-30,35.9833
2021-03-31,32.2171
2021-02-26,28.3352
2021-01-29,24.8757
2020-12-31,23.1284
2020-11-30,21.6301
2020-10-30,19.5096
2020-09-30,18.1317
2020-08-31,16.4832
2020-07-31,14.8986
2020-06-30,13.8525
2020-05-29,14.2588
2020-04-30,14.5377
2020-03-31,15.6461
2020-02-28,17.0597
2020-01-31,16.9847
2019-12-31,16.6775
2019-11-29,17.1903
2019-10-31,17.6373
2019-09-30,18.6053
2019-08-30,19.3467
2019-07-31,20.7864
2019-06-28,20.9796
2019-05-31,21.1902
2019-04-30,22.0683
2019-03-29,22.6559
2019-02-28,23.0474
2019-01-31,23.7683
2018-12-31,24.4152
2018-11-30,25.5672
2018-10-31,25.7364
2018-09-28,26.1663
2018-08-31,27.0375
2018-07-31,28.7337
2018-06-29,30.0594
2018-05-31,30.8473
2018-04-30,32.2849
2018-03-29,33.9791
2018-02-28,35.5317
2018-01-31,35.6838
2017-12-29,35.8472
2017-11-30,34.4762
2017-10-31,33.4441
2017-09-29,34.2838
2017-08-31,35.5293
2017-07-31,37.8771
2017-06-30,39.2950
2017-05-31,39.8966
2017-04-28,40.9773
2017-03-31,42.2072
2017-02-28,44.5619
2017-01-31,46.6168
2016-12-30,48.0878
2016-11-30,49.0547
2016-10-31,49.5898
2016-09-30,50.0463
2016-08-31,50.8121
2016-07-29,50.9520
2016-06-30,51.5479
2016-05-31,53.2590
2016-04-29,55.2306
2016-03-31,56.2390
2016-02-29,56.1015
2016-01-29,56.3681
2015-12-31,55.4852
2015-11-30,54.4522
2015-10-30,53.2469
2015-09-30,51.7663
2015-08-31,50.7682
2015-07-31,50.4124
2015-06-30,50.4872
2015-05-29,49.8879
2015-04-30,49.1153
2015-03-31,47.7818
2015-02-27,45.4763
2015-01-30,42.9915
2014-12-31,41.2571
2014-11-28,38.8812
2014-10-31,36.7310
2014-09-30,35.3159
2014-08-29,34.2690
2014-07-31,33.4050
2014-06-30,33.1713
2014-05-30,32.7945
2014-04-30,32.5455
2014-03-31,32.6601
2014-02-28,32.4627
2014-01-31,32.2792
2013-12-31,32.7438
2013-11-29,32.0957
2013-10-31,30.9013
2013-09-30,29.7834
2013-08-30,28.6097
2013-07-31,27.6521
2013-06-28,26.7199
2013-05-31,26.4080
2013-04-30,25.9670
2013-03-28,25.3775
2013-02-28,25.3824
2013-01-31,25.2800
2012-12-31,24.8803
2012-11-30,24.5122
2012-10-31,23.8063
2012-09-28,23.4753
2012-08-31,22.9099
2012-07-31,22.2964
2012-06-29,21.8113
2012-05-31,21.7928
2012-04-30,21.5902
2012-03-30,20.7354
2012-02-29,19.8839
2012-01-31,19.0104
2011-12-30,18.4999
2011-11-30,18.0468
2011-10-31,17.4922
2011-09-30,16.7962
2011-08-31,16.3962
2011-07-29,15.9900
2011-06-30,15.5033
2011-05-31,14.8455
2011-04-29,14.0196
2011-03-31,12.8864
2011-02-28,12.3560
2011-01-31,11.7966
2010-12-31,11.4186
2010-11-30,10.8038
2010-10-29,10.0484
2010-09-30,9.5387
2010-08-31,9.1593
2010-07-30,8.9924
2010-06-30,8.6126
2010-05-28,8.4794
2010-04-30,8.0712
2010-03-31,7.3934
2010-02-26,6.7659
2010-01-29,6.3101
2009-12-31,6.0385
2009-11-30,5.6871
2009-10-30,5.4909
2009-09-30,5.1760
2009-08-31,4.8444
2009-07-31,4.6196
2009-06-30,4.5285
2009-05-29,4.5010
2009-04-30,4.4331
2009-03-31,4.4433
2009-02-27,4.6880
2009-01-30,5.0732
2008-12-31,5.5357
2008-11-28,5.9228
2008-10-31,6.4573
2008-09-30,6.9044
2008-08-29,7.0105
2008-07-31,6.8532
2008-06-30,7.0262
2008-05-30,7.2083
2008-04-30,7.2237
2008-03-31,7.3249
2008-02-29,7.5638
2008-01-31,8.0061
2007-12-31,8.2492
2007-11-30,8.5576
2007-10-31,8.8419
2007-09-28,9.0487
2007-08-31,9.2311
2007-07-31,9.4325
2007-06-29,9.6125
2007-05-31,9.5706
2007-04-30,9.6147
2007-03-30,9.5764
2007-02-28,9.6488
2007-01-31,9.6109
2006-12-29,9.5547
2006-11-30,9.4075
2006-10-31,9.0118
2006-09-29,8.7137
2006-08-31,8.5819
2006-07-31,8.4802
2006-06-30,8.4119
2006-05-31,8.2952
2006-04-28,8.0306
2006-03-31,7.8364
2006-02-28,7.6901
2006-01-31,7.5723
2005-12-30,7.4406
2005-11-30,7.3800
2005-10-31,7.3137
2005-09-30,7.4146
2005-08-31,7.5060
2005-07-29,7.4996
2005-06-30,7.3215
2005-05-31,7.3279
2005-04-29,7.4111
2005-03-31,7.4287
2005-02-28,7.2541
2005-01-31,7.0907
2004-12-31,6.8969
2004-11-30,6.7108
2004-10-29,6.4814
2004-09-30,6.1770
2004-08-31,5.9803
2004-07-30,5.9038
2004-06-30,5.7852
2004-05-28,5.7619
2004-04-30,5.6999
2004-03-31,5.5309
2004-02-27,5.3688
2004-01-30,5.1965
2003-12-31,5.0930
2003-11-28,4.9783
2003-10-31,4.8525
2003-09-30,4.7207
2003-08-29,4.7329
2003-07-31,4.6254
2003-06-30,4.5111
2003-05-30,4.4541
2003-04-30,4.4075
2003-03-31,4.3995
2003-02-28,4.5031
2003-01-31,4.7039
2002-12-31,4.9014
2002-11-29,5.0527
2002-10-31,5.0356
2002-09-30,5.1044
2002-08-30,5.2777
2002-07-31,5.4308
2002-06-28,5.4393
2002-05-31,5.2276
2002-04-30,4.9944
2002-03-28,4.8309
2002-02-28,4.7149
2002-01-31,4.5708
2001-12-31,4.3590
2001-11-30,4.3535
2001-10-31,4.3997
2001-09-28,4.6395
2001-08-31,5.0418
2001-07-31,5.2342
2001-06-29,5.2805
2001-05-31,5.3666
2001-04-30,5.4912
2001-03-30,5.6029
2001-02-28,5.8181
2001-01-31,5.9597
2000-12-29,5.9364
2000-11-30,6.1428
2000-10-31,6.2399
2000-09-29,5.9855
