,EMA_monthly_10
2022-04-04,90.4152
2022-03-31,90.5431
2022-02-28,90.6637
2022-01-31,90.8690
2021-12-31,89.5323
2021-11-30,88.0827
2021-10-29,86.9361
2021-09-30,86.0149
2021-08-31,85.2230
2021-07-30,82.9299
2021-06-30,83.5009
2021-05-28,84.1679
2021-04-30,84.7314
2021-03-31,82.9230
2021-02-26,82.6744
2021-01-29,82.2272
2020-12-31,81.1350
2020-11-30,78.6649
2020-10-30,75.0233
2020-09-30,72.1451
2020-08-31,69.9191
2020-07-31,67.8024
2020-06-30,66.7259
2020-05-29,66.3180
2020-04-30,65.4314
2020-03-31,65.6211
2020-02-28,66.0564
2020-01-31,65.3195
2019-12-31,64.0761
2019-11-29,64.1960
2019-10-31,64.0390
2019-09-30,63.0281
2019-08-30,61.1739
2019-07-31,57.2521
2019-06-28,54.4331
2019-05-31,51.3116
2019-04-30,49.3663
2019-03-29,47.3358
2019-02-28,45.3051
2019-01-31,43.4913
2018-12-31,41.8373
2018-11-30,41.1796
2018-10-31,39.6982
2018-09-28,38.8405
2018-08-31,37.9671
2018-07-31,37.3556
2018-06-29,37.2569
2018-05-31,37.8735
2018-04-30,38.3253
2018-03-29,38.2241
2018-02-28,38.1820
2018-01-31,38.0790
2017-12-29,38.3327
2017-11-30,38.7349
2017-10-31,38.7848
2017-09-29,38.2212
2017-08-31,37.8810
2017-07-31,37.7454
2017-06-30,37.1937
2017-05-31,36.4534
2017-04-28,35.8280
2017-03-31,35.6074
2017-02-28,35.6177
2017-01-31,35.7080
2016-12-30,35.5421
2016-11-30,35.4659
2016-10-31,35.3737
2016-09-30,35.0613
2016-08-31,34.1619
2016-07-29,33.3554
2016-06-30,33.2856
2016-05-31,33.0287
2016-04-29,32.7137
2016-03-31,32.4396
2016-02-29,32.1141
2016-01-29,32.2511
2015-12-31,32.3688
2015-11-30,31.8902
2015-10-30,31.6545
2015-09-30,31.4771
2015-08-31,31.9234
2015-07-31,32.0784
2015-06-30,32.0786
2015-05-29,31.8360
2015-04-30,31.4513
2015-03-31,30.7408
2015-02-27,30.1628
2015-01-30,29.3443
2014-12-31,29.2347
2014-11-28,28.5939
2014-10-31,27.9260
2014-09-30,27.3992
2014-08-29,26.8766
2014-07-31,26.1512
2014-06-30,25.5743
2014-05-30,24.7211
2014-04-30,23.9203
2014-03-31,23.3890
2014-02-28,22.8832
2014-01-31,22.1870
2013-12-31,21.8033
2013-11-29,21.2855
2013-10-31,20.8271
2013-09-30,20.3930
2013-08-30,20.2777
2013-07-31,20.1844
2013-06-28,20.0454
2013-05-31,20.2111
2013-04-30,20.2463
2013-03-28,20.2039
2013-02-28,19.7958
2013-01-31,19.6234
2012-12-31,19.4147
2012-11-30,19.1360
2012-10-31,18.8016
2012-09-28,18.5935
2012-08-31,18.3925
2012-07-31,18.1612
2012-06-29,17.9510
2012-05-31,17.7463
2012-04-30,17.6064
2012-03-30,17.2632
2012-02-29,16.7296
2012-01-31,16.3628
2011-12-30,16.0079
2011-11-30,15.9351
2011-10-31,15.9071
2011-09-30,15.9350
2011-08-31,16.3292
2011-07-29,16.3140
2011-06-30,16.0108
2011-05-31,15.6748
2011-04-29,15.1577
2011-03-31,14.7552
2011-02-28,14.4109
2011-01-31,13.9648
2010-12-31,13.4805
2010-11-30,13.0440
2010-10-29,12.6200
2010-09-30,12.1833
2010-08-31,11.9272
2010-07-30,11.7536
2010-06-30,11.4379
2010-05-28,11.3240
2010-04-30,11.3647
2010-03-31,11.2209
2010-02-26,11.0365
2010-01-29,10.7780
2009-12-31,10.6300
2009-11-30,10.4034
2009-10-30,10.2412
2009-09-30,10.0519
2009-08-31,9.8271
2009-07-31,9.5892
2009-06-30,9.3084
2009-05-29,9.1249
2009-04-30,9.1678
2009-03-31,9.3288
2009-02-27,9.2430
2009-01-30,9.2929
2008-12-31,9.4557
2008-11-28,9.4933
2008-10-31,9.7944
2008-09-30,10.2787
2008-08-29,10.6090
2008-07-31,10.6945
2008-06-30,10.8701
2008-05-30,10.9287
2008-04-30,10.6764
2008-03-31,10.3987
2008-02-29,10.4456
2008-01-31,10.5937
2007-12-31,10.6948
2007-11-30,10.8586
2007-10-31,10.9975
2007-09-28,11.0086
2007-08-31,10.8177
2007-07-31,10.6515
2007-06-29,10.5078
2007-05-31,10.2390
2007-04-30,9.8033
2007-03-30,9.5040
2007-02-28,9.3747
2007-01-31,9.1938
2006-12-29,8.9776
2006-11-30,8.8460
2006-10-31,8.7262
2006-09-29,8.6416
2006-08-31,8.5937
2006-07-31,8.5405
2006-06-30,8.5794
2006-05-31,8.6881
2006-04-28,8.8024
2006-03-31,8.8233
2006-02-28,8.6624
2006-01-31,8.5253
2005-12-30,8.4639
2005-11-30,8.4266
2005-10-31,8.3085
2005-09-30,8.2582
2005-08-31,8.3234
2005-07-29,8.3659
2005-06-30,8.4016
2005-05-31,8.5408
2005-04-29,8.6345
2005-03-31,8.6604
2005-02-28,8.5972
2005-01-31,8.3799
2004-12-31,8.1995
2004-11-30,7.9187
2004-10-29,7.5397
2004-09-30,7.3141
2004-08-31,7.1539
2004-07-30,6.9623
2004-06-30,6.7925
2004-05-28,6.5880
2004-04-30,6.4270
2004-03-31,6.2887
2004-02-27,6.0774
2004-01-30,5.8954
2003-12-31,5.7238
2003-11-28,5.5851
2003-10-31,5.5014
2003-09-30,5.3967
2003-08-29,5.3207
2003-07-31,5.2561
2003-06-30,5.2539
2003-05-30,5.3498
2003-04-30,5.3726
2003-03-31,5.2466
2003-02-28,5.1034
2003-01-31,4.9852
2002-12-31,4.8612
2002-11-29,4.7404
2002-10-31,4.6329
2002-09-30,4.5282
2002-08-30,4.3543
2002-07-31,4.1554
2002-06-28,4.0733
2002-05-31,4.0089
2002-04-30,3.9279
2002-03-28,3.6917
2002-02-28,3.4106
2002-01-31,3.1822
2001-12-31,2.9734
2001-11-30,2.8114
2001-10-31,2.6387
2001-09-28,2.5105
2001-08-31,2.3728
2001-07-31,2.2886
2001-06-29,2.2248
2001-05-31,2.1685
2001-04-30,2.1004
2001-03-30,2.0361
2001-02-28,1.9591
2001-01-31,1.9166
2000-12-29,1.8829
2000-11-30,1.7716
2000-10-31,1.7175
2000-09-29,1.6967
