,EMA_monthly_10
2022-04-04,65.7312
2022-03-31,63.9404
2022-02-28,61.9205
2022-01-31,60.5326
2021-12-31,59.6701
2021-11-30,59.2961
2021-10-29,60.7457
2021-09-30,61.4743
2021-08-31,62.1966
2021-07-30,61.5178
2021-06-30,60.4691
2021-05-28,59.5211
2021-04-30,58.5992
2021-03-31,58.1828
2021-02-26,57.5211
2021-01-29,57.2016
2020-12-31,56.7897
2020-11-30,56.1580
2020-10-30,55.4115
2020-09-30,55.3362
2020-08-31,54.9497
2020-07-31,54.0754
2020-06-30,53.7516
2020-05-29,53.4198
2020-04-30,52.8222
2020-03-31,51.8642
2020-02-28,51.8459
2020-01-31,51.1360
2019-12-31,49.4628
2019-11-29,47.2547
2019-10-31,46.0468
2019-09-30,44.4820
2019-08-30,44.0246
2019-07-31,44.0040
2019-06-28,44.7253
2019-05-31,45.4959
2019-04-30,46.4337
2019-03-29,47.3656
2019-02-28,48.3298
2019-01-31,48.7167
2018-12-31,49.6484
2018-11-30,50.3580
2018-10-31,50.9313
2018-09-28,52.2119
2018-08-31,51.5638
2018-07-31,51.0737
2018-06-29,50.8298
2018-05-31,51.2821
2018-04-30,52.3679
2018-03-29,53.7910
2018-02-28,53.4306
2018-01-31,52.4157
2017-12-29,51.8762
2017-11-30,51.5506
2017-10-31,50.7832
2017-09-29,50.1412
2017-08-31,49.0291
2017-07-31,48.2966
2017-06-30,48.0897
2017-05-31,48.1372
2017-04-28,48.5333
2017-03-31,48.6164
2017-02-28,49.1126
2017-01-31,49.2775
2016-12-30,50.9100
2016-11-30,51.2189
2016-10-31,51.9730
2016-09-30,53.9361
2016-08-31,55.8385
2016-07-29,57.5147
2016-06-30,56.3059
2016-05-31,55.0640
2016-04-29,53.9615
2016-03-31,52.5247
2016-02-29,52.3128
2016-01-29,52.4852
2015-12-31,52.6533
2015-11-30,51.6327
2015-10-30,50.7818
2015-09-30,49.9368
2015-08-31,50.1455
2015-07-31,50.4189
2015-06-30,49.6253
2015-05-29,48.5569
2015-04-30,47.6038
2015-03-31,46.5971
2015-02-27,45.2945
2015-01-30,44.3495
2014-12-31,43.3120
2014-11-28,42.2680
2014-10-31,41.0545
2014-09-30,39.7258
2014-08-29,39.4260
2014-07-31,39.1540
2014-06-30,38.8270
2014-05-30,38.8679
2014-04-30,38.7001
2014-03-31,38.4331
2014-02-28,37.8412
2014-01-31,36.7978
2013-12-31,36.1906
2013-11-29,34.8895
2013-10-31,33.6711
2013-09-30,31.9829
2013-08-30,31.0689
2013-07-31,30.7474
2013-06-28,30.0858
2013-05-31,29.0870
2013-04-30,27.6392
2013-03-28,26.9513
2013-02-28,25.9177
2013-01-31,25.3738
2012-12-31,24.8506
2012-11-30,24.8752
2012-10-31,24.8985
2012-09-28,24.8224
2012-08-31,24.7022
2012-07-31,24.6788
2012-06-29,24.2177
2012-05-31,23.6536
2012-04-30,23.3958
2012-03-30,23.0758
2012-02-29,22.6773
2012-01-31,22.4489
2011-12-30,22.1583
2011-11-30,21.3685
2011-10-31,20.8117
2011-09-30,20.3145
2011-08-31,19.7920
2011-07-29,19.4151
2011-06-30,19.1293
2011-05-31,18.7319
2011-04-29,18.3311
2011-03-31,17.9459
2011-02-28,17.7401
2011-01-31,17.6373
2010-12-31,17.6105
2010-11-30,17.4259
2010-10-29,17.3921
2010-09-30,17.1032
2010-08-31,16.7083
2010-07-30,16.4317
2010-06-30,16.2711
2010-05-28,16.0718
2010-04-30,16.1378
2010-03-31,15.9013
2010-02-26,15.4022
2010-01-29,15.1668
2009-12-31,14.9015
2009-11-30,14.4443
2009-10-30,13.9233
2009-09-30,13.8038
2009-08-31,13.5517
2009-07-31,13.3454
2009-06-30,13.1499
2009-05-29,13.1634
2009-04-30,13.2358
2009-03-31,13.4274
2009-02-27,13.3157
2009-01-30,13.6748
2008-12-31,13.6901
2008-11-28,13.4490
2008-10-31,13.5535
2008-09-30,13.7021
2008-08-29,13.8846
2008-07-31,14.0404
2008-06-30,14.2610
2008-05-30,14.6535
2008-04-30,14.8275
2008-03-31,15.1510
2008-02-29,15.6778
2008-01-31,16.1469
2007-12-31,16.6656
2007-11-30,16.8744
2007-10-31,16.7197
2007-09-28,16.4832
2007-08-31,16.3837
2007-07-31,16.2190
2007-06-29,16.1144
2007-05-31,15.6113
2007-04-30,15.1581
2007-03-30,14.7919
2007-02-28,14.5227
2007-01-31,14.3706
2006-12-29,13.8759
2006-11-30,13.6231
2006-10-31,13.5031
2006-09-29,13.3665
2006-08-31,13.2134
2006-07-31,13.4237
2006-06-30,13.4025
2006-05-31,13.1753
2006-04-28,13.0600
2006-03-31,12.8162
2006-02-28,12.6480
2006-01-31,12.6276
2005-12-30,12.6406
2005-11-30,12.6676
2005-10-31,12.8689
2005-09-30,13.1658
2005-08-31,13.2136
2005-07-29,13.2229
2005-06-30,13.1733
2005-05-31,13.1127
2005-04-29,13.0265
2005-03-31,12.8454
2005-02-28,12.6880
2005-01-31,12.5786
2004-12-31,12.6309
2004-11-30,12.4732
2004-10-29,12.5258
2004-09-30,12.5982
2004-08-31,12.6588
2004-07-30,12.7579
2004-06-30,12.9739
2004-05-28,13.0549
2004-04-30,13.0986
2004-03-31,13.1711
2004-02-27,13.3581
2004-01-30,13.2167
2003-12-31,13.0181
2003-11-28,12.7140
2003-10-31,12.6225
2003-09-30,12.6191
2003-08-29,12.6132
2003-07-31,12.6376
2003-06-30,12.5767
2003-05-30,12.4284
2003-04-30,12.4152
2003-03-31,12.4056
2003-02-28,12.9007
2003-01-31,13.2736
2002-12-31,13.6982
2002-11-29,14.2644
2002-10-31,14.6317
2002-09-30,15.2805
2002-08-30,16.1892
2002-07-31,17.1798
2002-06-28,18.5492
2002-05-31,20.0163
2002-04-30,21.2494
2002-03-28,22.9963
2002-02-28,23.9545
2002-01-31,24.4581
2001-12-31,25.2407
2001-11-30,25.6486
2001-10-31,25.8656
2001-09-28,26.1625
2001-08-31,26.3375
2001-07-31,26.4925
2001-06-29,26.3775
2001-05-31,26.9582
2001-04-30,27.4720
2001-03-30,27.9224
2001-02-28,28.1585
2001-01-31,28.0441
2000-12-29,28.0570
2000-11-30,26.8924
2000-10-31,25.9323
2000-09-29,25.5965
