,EMA_monthly_10
2022-04-04,60.2606
2022-03-31,61.9185
2022-02-28,63.8115
2022-01-31,64.8296
2021-12-31,64.8759
2021-11-30,65.9756
2021-10-29,66.5897
2021-09-30,66.1362
2021-08-31,65.4704
2021-07-30,64.2778
2021-06-30,63.7593
2021-05-28,62.5564
2021-04-30,59.3567
2021-03-31,57.0690
2021-02-26,54.0571
2021-01-29,51.8580
2020-12-31,50.8722
2020-11-30,48.9916
2020-10-30,48.1024
2020-09-30,49.9344
2020-08-31,51.9244
2020-07-31,52.6645
2020-06-30,53.8035
2020-05-29,55.0744
2020-04-30,57.2947
2020-03-31,59.9850
2020-02-28,64.6050
2020-01-31,65.8386
2019-12-31,65.0820
2019-11-29,63.1365
2019-10-31,61.7384
2019-09-30,60.8004
2019-08-30,60.2209
2019-07-31,60.4775
2019-06-28,59.5107
2019-05-31,58.5579
2019-04-30,58.9886
2019-03-29,57.8746
2019-02-28,58.2190
2019-01-31,58.2859
2018-12-31,58.3621
2018-11-30,60.9322
2018-10-31,61.5305
2018-09-28,62.2166
2018-08-31,61.8092
2018-07-31,61.4105
2018-06-29,60.8823
2018-05-31,61.2167
2018-04-30,61.6708
2018-03-29,61.9773
2018-02-28,62.5031
2018-01-31,61.5777
2017-12-29,59.9235
2017-11-30,58.6972
2017-10-31,56.9854
2017-09-29,55.3459
2017-08-31,53.4899
2017-07-31,52.1380
2017-06-30,50.4662
2017-05-31,48.7270
2017-04-28,47.8294
2017-03-31,47.0073
2017-02-28,45.8980
2017-01-31,44.5442
2016-12-30,43.6891
2016-11-30,41.9505
2016-10-31,40.4111
2016-09-30,39.9555
2016-08-31,39.7673
2016-07-29,39.4394
2016-06-30,39.7930
2016-05-31,40.5273
2016-04-29,40.6252
2016-03-31,40.8003
2016-02-29,41.8894
2016-01-29,43.7746
2015-12-31,45.3661
2015-11-30,45.5712
2015-10-30,45.3753
2015-09-30,45.3115
2015-08-31,45.9217
2015-07-31,45.9296
2015-06-30,44.9898
2015-05-29,44.4640
2015-04-30,44.0423
2015-03-31,43.6812
2015-02-27,43.5825
2015-01-30,43.2906
