,EMA_monthly_10
2022-04-04,74.3277
2022-03-31,74.2049
2022-02-28,74.3438
2022-01-31,73.6713
2021-12-31,73.0921
2021-11-30,71.4593
2021-10-29,70.9727
2021-09-30,71.4026
2021-08-31,72.2829
2021-07-30,72.0297
2021-06-30,71.4931
2021-05-28,70.3850
2021-04-30,67.4543
2021-03-31,65.5743
2021-02-26,63.2393
2021-01-29,61.9081
2020-12-31,58.3575
2020-11-30,55.8347
2020-10-30,54.4222
2020-09-30,54.1822
2020-08-31,54.1925
2020-07-31,54.1443
2020-06-30,54.5798
2020-05-29,55.2519
2020-04-30,56.5909
2020-03-31,59.0873
2020-02-28,64.9081
2020-01-31,70.1359
2019-12-31,74.8231
2019-11-29,77.7794
2019-10-31,81.2628
2019-09-30,85.3498
2019-08-30,89.2005
2019-07-31,94.6233
2019-06-28,100.3545
2019-05-31,106.8072
2019-04-30,111.2127
2019-03-29,111.5747
2019-02-28,113.6635
2019-01-31,116.2504
2018-12-31,119.1652
2018-11-30,122.8683
2018-10-31,125.5331
2018-09-28,130.4639
2018-08-31,132.0651
2018-07-31,131.5433
2018-06-29,131.4848
2018-05-31,132.6272
2018-04-30,134.7944
2018-03-29,137.8137
2018-02-28,141.3037
2018-01-31,142.7626
2017-12-29,142.2968
2017-11-30,143.5845
2017-10-31,144.8431
2017-09-29,146.2324
2017-08-31,149.2422
2017-07-31,146.6599
2017-06-30,144.2363
2017-05-31,142.0668
2017-04-28,140.1741
2017-03-31,137.6709
2017-02-28,134.3666
2017-01-31,131.0834
2016-12-30,128.5082
2016-11-30,126.2427
2016-10-31,123.3854
2016-09-30,122.0713
2016-08-31,121.2252
2016-07-29,119.0927
2016-06-30,116.8241
2016-05-31,115.8667
2016-04-29,114.4431
2016-03-31,112.6563
2016-02-29,111.5421
2016-01-29,111.1920
2015-12-31,114.2553
2015-11-30,112.3211
2015-10-30,109.6535
2015-09-30,108.1578
2015-08-31,112.5303
2015-07-31,116.5282
2015-06-30,119.8379
2015-05-29,121.8482
2015-04-30,121.5873
2015-03-31,120.6229
2015-02-27,120.1057
2015-01-30,117.0345
2014-12-31,115.9881
2014-11-28,113.6721
2014-10-31,111.8064
2014-09-30,110.5550
2014-08-29,108.0404
2014-07-31,107.0994
2014-06-30,106.8025
2014-05-30,106.0162
2014-04-30,103.6051
2014-03-31,101.5705
2014-02-28,99.1656
2014-01-31,96.4049
2013-12-31,95.2787
2013-11-29,92.4386
2013-10-31,90.2943
2013-09-30,87.9057
2013-08-30,85.9550
2013-07-31,84.2826
2013-06-28,82.0042
2013-05-31,81.1095
2013-04-30,78.8179
2013-03-28,76.6459
2013-02-28,75.9235
2013-01-31,75.4956
2012-12-31,75.2886
2012-11-30,75.9202
2012-10-31,77.3503
2012-09-28,78.7623
2012-08-31,78.4504
2012-07-31,78.2534
2012-06-29,78.1799
2012-05-31,77.7844
2012-04-30,78.1127
2012-03-30,76.8421
2012-02-29,75.4843
2012-01-31,74.5391
2011-12-30,73.5125
2011-11-30,74.0240
2011-10-31,73.9787
2011-09-30,73.9445
2011-08-31,76.6786
2011-07-29,77.1758
2011-06-30,76.8565
2011-05-31,75.5728
2011-04-29,74.2585
2011-03-31,71.6116
2011-02-28,68.9901
2011-01-31,65.8199
2010-12-31,63.4853
