,EMA_monthly_10
2022-04-04,112.0959
2022-03-31,112.3794
2022-02-28,112.8659
2022-01-31,110.5161
2021-12-31,109.4540
2021-11-30,108.1980
2021-10-29,108.3695
2021-09-30,107.4729
2021-08-31,104.2764
2021-07-30,99.1858
2021-06-30,93.9294
2021-05-28,88.8290
2021-04-30,82.8212
2021-03-31,76.2900
2021-02-26,72.4655
2021-01-29,67.9924
2020-12-31,64.9158
2020-11-30,59.6338
2020-10-30,56.3042
2020-09-30,54.7454
2020-08-31,54.4051
2020-07-31,55.0065
2020-06-30,56.6233
2020-05-29,58.4579
2020-04-30,61.2537
2020-03-31,65.7429
2020-02-28,72.7795
2020-01-31,75.0299
2019-12-31,75.8451
2019-11-29,74.7961
2019-10-31,73.5035
2019-09-30,72.9862
2019-08-30,72.1797
2019-07-31,71.4291
2019-06-28,68.5638
2019-05-31,67.5987
2019-04-30,67.0539
2019-03-29,65.0275
2019-02-28,64.6964
2019-01-31,64.1983
2018-12-31,64.5233
2018-11-30,66.6783
2018-10-31,66.7673
2018-09-28,67.2967
2018-08-31,66.5513
2018-07-31,65.2973
2018-06-29,65.2166
2018-05-31,65.3223
2018-04-30,64.7466
2018-03-29,64.6420
2018-02-28,64.3759
2018-01-31,62.6471
2017-12-29,60.4089
2017-11-30,58.2564
2017-10-31,56.9054
2017-09-29,56.1499
2017-08-31,55.6394
2017-07-31,56.1294
2017-06-30,56.3992
2017-05-31,56.4787
2017-04-28,57.2747
2017-03-31,57.5302
2017-02-28,56.6868
2017-01-31,55.1080
2016-12-30,53.6091
2016-11-30,51.2196
2016-10-31,49.1563
2016-09-30,48.9636
2016-08-31,48.6847
2016-07-29,47.6629
2016-06-30,47.0980
2016-05-31,47.0454
2016-04-29,46.3491
2016-03-31,45.6595
2016-02-29,45.8615
2016-01-29,46.9872
2015-12-31,48.5413
2015-11-30,48.9211
2015-10-30,48.7759
2015-09-30,48.7571
2015-08-31,49.5511
2015-07-31,50.1855
2015-06-30,50.6139
2015-05-29,50.7897
2015-04-30,50.8797
2015-03-31,51.1003
2015-02-27,51.6797
2015-01-30,51.5025
2014-12-31,52.5921
2014-11-28,51.8082
2014-10-31,50.8387
2014-09-30,50.0360
2014-08-29,48.9392
2014-07-31,47.9819
2014-06-30,47.1069
2014-05-30,45.8637
2014-04-30,44.8826
2014-03-31,44.3393
2014-02-28,43.2443
2014-01-31,42.0585
2013-12-31,41.3493
2013-11-29,40.0516
2013-10-31,38.9621
2013-09-30,37.9339
2013-08-30,36.9275
2013-07-31,36.3117
2013-06-28,35.1733
2013-05-31,34.1298
2013-04-30,32.8971
2013-03-28,32.1082
2013-02-28,30.9403
2013-01-31,30.6814
2012-12-31,30.3908
2012-11-30,30.0060
2012-10-31,28.9969
2012-09-28,27.8762
2012-08-31,26.7593
2012-07-31,25.5782
2012-06-29,24.6444
2012-05-31,23.7752
2012-04-30,22.9826
2012-03-30,21.8690
2012-02-29,20.6288
2012-01-31,19.7223
2011-12-30,19.1321
2011-11-30,18.9926
2011-10-31,18.8730
2011-09-30,18.7741
2011-08-31,18.7772
2011-07-29,18.3776
2011-06-30,17.8073
2011-05-31,16.9141
2011-04-29,16.3499
2011-03-31,15.4791
2011-02-28,14.5560
2011-01-31,13.8564
2010-12-31,13.2112
2010-11-30,12.7952
2010-10-29,12.3356
2010-09-30,11.8877
2010-08-31,11.5190
2010-07-30,11.4601
2010-06-30,11.2509
2010-05-28,11.2317
2010-04-30,11.3037
2010-03-31,11.0295
2010-02-26,10.7953
2010-01-29,10.7375
2009-12-31,10.6616
2009-11-30,10.3833
2009-10-30,9.9120
2009-09-30,9.5733
2009-08-31,8.7836
2009-07-31,8.2672
2009-06-30,7.9718
2009-05-29,7.8998
2009-04-30,7.9424
2009-03-31,8.2507
2009-02-27,8.9535
2009-01-30,9.9201
2008-12-31,10.8479
2008-11-28,11.5569
2008-10-31,12.3106
2008-09-30,12.8734
2008-08-29,13.2829
2008-07-31,13.3299
2008-06-30,13.7051
2008-05-30,14.4250
2008-04-30,14.6154
