,EMA_monthly_10
2022-04-04,25.2968
2022-03-31,22.8383
2022-02-28,20.2668
2022-01-31,19.6283
2021-12-31,19.2935
2021-11-30,18.7606
2021-10-29,18.6352
2021-09-30,18.3759
2021-08-31,17.9375
2021-07-30,17.8723
2021-06-30,17.7794
2021-05-28,16.8106
2021-04-30,15.9314
2021-03-31,15.2503
2021-02-26,14.5327
2021-01-29,13.8303
2020-12-31,13.2989
2020-11-30,13.4451
2020-10-30,13.1442
2020-09-30,12.7189
2020-08-31,12.6876
2020-07-31,11.9995
2020-06-30,11.4568
2020-05-29,11.3727
2020-04-30,10.9516
2020-03-31,10.1606
2020-02-28,10.8560
2020-01-31,11.9710
2019-12-31,13.3015
2019-11-29,13.8615
2019-10-31,15.0230
2019-09-30,16.0073
2019-08-30,17.2321
2019-07-31,18.8321
2019-06-28,19.7127
2019-05-31,20.6360
2019-04-30,21.2198
2019-03-29,21.4696
2019-02-28,21.7116
2019-01-31,22.5795
2018-12-31,23.3525
2018-11-30,24.4236
2018-10-31,25.7721
2018-09-28,27.4749
2018-08-31,28.3406
2018-07-31,28.5944
2018-06-29,29.0669
2018-05-31,28.9931
2018-04-30,29.3339
2018-03-29,29.9138
2018-02-28,30.9396
2018-01-31,31.8621
2017-12-29,32.5227
2017-11-30,33.0191
2017-10-31,33.3088
2017-09-29,33.3187
2017-08-31,33.0117
2017-07-31,32.9791
2017-06-30,32.7822
2017-05-31,33.1453
2017-04-28,33.9812
2017-03-31,34.6675
2017-02-28,35.1568
2017-01-31,35.8976
2016-12-30,36.7191
2016-11-30,37.1601
2016-10-31,37.1468
2016-09-30,37.6157
2016-08-31,37.4079
2016-07-29,37.2860
2016-06-30,36.9803
2016-05-31,36.0679
2016-04-29,35.4456
2016-03-31,35.0599
2016-02-29,34.9234
2016-01-29,36.1142
2015-12-31,36.8662
2015-11-30,38.9175
2015-10-30,40.8249
2015-09-30,42.1171
2015-08-31,43.8496
2015-07-31,44.4303
2015-06-30,45.2578
2015-05-29,45.7407
2015-04-30,45.8918
2015-03-31,45.5068
2015-02-27,45.8682
2015-01-30,46.6699
2014-12-31,48.2849
2014-11-28,50.1106
2014-10-31,50.5446
2014-09-30,50.7187
2014-08-29,51.2254
2014-07-31,50.9604
2014-06-30,51.2563
2014-05-30,50.0803
2014-04-30,48.6454
2014-03-31,46.7041
2014-02-28,45.7378
2014-01-31,43.9342
2013-12-31,42.8424
2013-11-29,41.8624
2013-10-31,41.2107
2013-09-30,40.3594
2013-08-30,38.9587
2013-07-31,37.5974
2013-06-28,35.8460
2013-05-31,34.5384
2013-04-30,32.8808
2013-03-28,31.4142
2013-02-28,30.4826
2013-01-31,29.8881
2012-12-31,29.5948
2012-11-30,29.2865
2012-10-31,28.7835
2012-09-28,28.1283
2012-08-31,27.5170
2012-07-31,27.3560
2012-06-29,26.9012
2012-05-31,26.6663
2012-04-30,27.2191
2012-03-30,27.5216
2012-02-29,28.0769
2012-01-31,28.2009
2011-12-30,28.6661
2011-11-30,28.7444
2011-10-31,28.0109
2011-09-30,26.9689
2011-08-31,26.8558
2011-07-29,25.9782
2011-06-30,24.5132
2011-05-31,23.9722
2011-04-29,23.1218
2011-03-31,22.2868
2011-02-28,21.5750
2011-01-31,20.7731
2010-12-31,19.9438
2010-11-30,19.3086
2010-10-29,19.0262
2010-09-30,19.0479
2010-08-31,19.2295
2010-07-30,19.8401
2010-06-30,20.1515
2010-05-28,20.5924
2010-04-30,20.7905
2010-03-31,20.5774
2010-02-26,20.5937
2010-01-29,20.3069
2009-12-31,19.9527
2009-11-30,19.5309
2009-10-30,19.3216
2009-09-30,19.0115
2009-08-31,18.5512
2009-07-31,18.3108
2009-06-30,18.1825
2009-05-29,18.4053
2009-04-30,18.4217
2009-03-31,18.8589
2009-02-27,19.6434
2009-01-30,20.6652
2008-12-31,21.5584
2008-11-28,22.7235
2008-10-31,24.1671
2008-09-30,25.8120
2008-08-29,27.6110
2008-07-31,28.3897
2008-06-30,29.1151
2008-05-30,28.2053
2008-04-30,26.9682
2008-03-31,25.8906
2008-02-29,25.3693
2008-01-31,24.4424
2007-12-31,23.9573
2007-11-30,23.6264
2007-10-31,23.2666
2007-09-28,22.4835
2007-08-31,21.9968
2007-07-31,21.6852
2007-06-29,21.5449
2007-05-31,21.1156
2007-04-30,20.3318
2007-03-30,19.3981
2007-02-28,18.6438
2007-01-31,18.3098
2006-12-29,17.8678
2006-11-30,17.4841
2006-10-31,16.8450
2006-09-29,16.3846
2006-08-31,16.3966
2006-07-31,16.2162
2006-06-30,16.1068
2006-05-31,16.2318
2006-04-28,16.3692
2006-03-31,16.3680
2006-02-28,16.2641
2006-01-31,16.1526
2005-12-30,15.9832
2005-11-30,15.7976
2005-10-31,15.4994
2005-09-30,15.0286
2005-08-31,14.4117
2005-07-29,13.7954
2005-06-30,13.2843
2005-05-31,12.8131
2005-04-29,12.4608
2005-03-31,12.3485
2005-02-28,12.2212
2005-01-31,11.9702
2004-12-31,11.7976
2004-11-30,11.4068
2004-10-29,10.9868
2004-09-30,10.7008
2004-08-31,10.3999
2004-07-30,10.1250
2004-06-30,9.8646
2004-05-28,9.5253
2004-04-30,9.2726
2004-03-31,9.0512
2004-02-27,8.9055
2004-01-30,8.7920
2003-12-31,8.6290
2003-11-28,8.4765
2003-10-31,8.3731
2003-09-30,8.2611
2003-08-29,8.1291
2003-07-31,8.0457
2003-06-30,7.9980
2003-05-30,7.8395
2003-04-30,7.6685
2003-03-31,7.5563
2003-02-28,7.4623
2003-01-31,7.4045
2002-12-31,7.3004
2002-11-29,7.2739
2002-10-31,7.2307
2002-09-30,7.1706
2002-08-30,7.1463
2002-07-31,7.0880
2002-06-28,7.0700
2002-05-31,7.0428
2002-04-30,6.9294
2002-03-28,6.8020
2002-02-28,6.6990
2002-01-31,6.6720
2001-12-31,6.7364
2001-11-30,6.6616
2001-10-31,6.6420
2001-09-28,6.6070
2001-08-31,6.6974
2001-07-31,6.7165
2001-06-29,6.5708
2001-05-31,6.5089
2001-04-30,6.2599
2001-03-30,5.8306
2001-02-28,5.5561
2001-01-31,5.4846
2000-12-29,5.3743
2000-11-30,5.0569
2000-10-31,4.9180
2000-09-29,4.7040
