,EMA_monthly_10
2022-04-04,178.7354
2022-03-31,174.6122
2022-02-28,169.9327
2022-01-31,164.1155
2021-12-31,159.8545
2021-11-30,155.2177
2021-10-29,153.9128
2021-09-30,151.5800
2021-08-31,148.8423
2021-07-30,149.8072
2021-06-30,147.3488
2021-05-28,143.7130
2021-04-30,136.3270
2021-03-31,127.4597
2021-02-26,117.5352
2021-01-29,107.8763
2020-12-31,104.2711
2020-11-30,98.0202
2020-10-30,92.1380
2020-09-30,91.6909
2020-08-31,91.6911
2020-07-31,90.2558
2020-06-30,92.3105
2020-05-29,94.5572
2020-04-30,97.9077
2020-03-31,103.8917
2020-02-28,114.4743
2020-01-31,118.0835
2019-12-31,120.3188
2019-11-29,123.1195
2019-10-31,127.9769
2019-09-30,126.2743
2019-08-30,124.6895
2019-07-31,123.7031
2019-06-28,121.9912
2019-05-31,119.8350
2019-04-30,121.1661
2019-03-29,119.6064
2019-02-28,120.0783
2019-01-31,119.7785
2018-12-31,120.3005
2018-11-30,122.3827
2018-10-31,123.1464
2018-09-28,123.1362
2018-08-31,122.0216
2018-07-31,120.6550
2018-06-29,118.3280
2018-05-31,118.4558
2018-04-30,118.4290
2018-03-29,119.7438
2018-02-28,122.3779
2018-01-31,126.7965
2017-12-29,127.2507
2017-11-30,129.5903
2017-10-31,131.8586
2017-09-29,134.2298
2017-08-31,132.9629
2017-07-31,130.4595
2017-06-30,125.7164
2017-05-31,121.5406
2017-04-28,117.5514
2017-03-31,114.9011
2017-02-28,113.2864
2017-01-31,112.9055
2016-12-30,111.8925
2016-11-30,112.4384
2016-10-31,110.7936
2016-09-30,107.7294
2016-08-31,106.6643
2016-07-29,106.9907
2016-06-30,105.8336
2016-05-31,106.6315
2016-04-29,106.5508
2016-03-31,105.5363
2016-02-29,105.9921
2016-01-29,107.3911
2015-12-31,109.7543
2015-11-30,107.6929
2015-10-30,105.4267
2015-09-30,99.9075
2015-08-31,97.1163
2015-07-31,94.2761
2015-06-30,89.4918
2015-05-29,86.2065
2015-04-30,82.6339
2015-03-31,81.0611
2015-02-27,79.1599
2015-01-30,77.3783
2014-12-31,76.4298
2014-11-28,75.3908
2014-10-31,73.7514
2014-09-30,72.2361
2014-08-29,69.8256
2014-07-31,67.2418
2014-06-30,65.4836
2014-05-30,63.4734
2014-04-30,62.1647
2014-03-31,61.0815
2014-02-28,59.4407
2014-01-31,56.2029
2013-12-31,55.0834
2013-11-29,52.7350
2013-10-31,51.1150
2013-09-30,50.1550
2013-08-30,50.4765
2013-07-31,51.9245
2013-06-28,53.6482
2013-05-31,53.0434
2013-04-30,52.8540
2013-03-28,52.9959
2013-02-28,52.3017
2013-01-31,50.6728
2012-12-31,48.4020
2012-11-30,46.4166
2012-10-31,44.0144
2012-09-28,41.6667
2012-08-31,39.0653
2012-07-31,37.2146
2012-06-29,33.8268
2012-05-31,31.5107
2012-04-30,29.1259
2012-03-30,26.8913
2012-02-29,26.0404
2012-01-31,24.8952
2011-12-30,23.8374
2011-11-30,23.2267
2011-10-31,23.0509
2011-09-30,23.1470
2011-08-31,23.3620
2011-07-29,22.7521
2011-06-30,21.7578
2011-05-31,21.0580
2011-04-29,20.3897
2011-03-31,20.1561
2011-02-28,20.3199
2011-01-31,21.0657
2010-12-31,20.9712
2010-11-30,20.8690
2010-10-29,20.5087
2010-09-30,19.5860
2010-08-31,18.5946
2010-07-30,18.3994
2010-06-30,18.2081
2010-05-28,18.7104
2010-04-30,18.7996
2010-03-31,18.5361
2010-02-26,17.9621
2010-01-29,17.7830
2009-12-31,17.7197
2009-11-30,16.8323
2009-10-30,15.7945
2009-09-30,15.0530
2009-08-31,13.9068
2009-07-31,12.6746
2009-06-30,11.6074
2009-05-29,11.3532
2009-04-30,10.6300
2009-03-31,10.4399
2009-02-27,11.0571
2009-01-30,12.0196
2008-12-31,13.0160
2008-11-28,14.3632
2008-10-31,15.9797
2008-09-30,17.7474
2008-08-29,18.8576
2008-07-31,19.7364
2008-06-30,20.4523
2008-05-30,21.5504
2008-04-30,21.7918
2008-03-31,21.8973
2008-02-29,22.6584
2008-01-31,23.3935
2007-12-31,24.2750
2007-11-30,23.7398
2007-10-31,22.9017
2007-09-28,21.8662
2007-08-31,20.7469
2007-07-31,19.7595
2007-06-29,19.1603
2007-05-31,17.9254
2007-04-30,17.4024
2007-03-30,16.8401
2007-02-28,16.2354
2007-01-31,15.8564
2006-12-29,15.3575
2006-11-30,14.8358
2006-10-31,14.7271
2006-09-29,14.9524
2006-08-31,15.3347
2006-07-31,15.6819
2006-06-30,16.6539
2006-05-31,17.5436
