,EMA_monthly_10
2022-04-04,207.6640
2022-03-31,206.7004
2022-02-28,206.2005
2022-01-31,207.3895
2021-12-31,207.3383
2021-11-30,199.0335
2021-10-29,192.6898
2021-09-30,188.5875
2021-08-31,186.3225
2021-07-30,182.4897
2021-06-30,177.1519
2021-05-28,175.0390
2021-04-30,172.7299
2021-03-31,169.6121
2021-02-26,160.9436
2021-01-29,154.4911
2020-12-31,145.2780
2020-11-30,138.4643
2020-10-30,133.0541
2020-09-30,133.0794
2020-08-31,135.3704
2020-07-31,136.0461
2020-06-30,136.0785
2020-05-29,135.3227
2020-04-30,133.1899
2020-03-31,131.8410
2020-02-28,137.4435
2020-01-31,141.3309
2019-12-31,145.6000
2019-11-29,146.9222
2019-10-31,147.1916
2019-09-30,147.8831
2019-08-30,149.5415
2019-07-31,154.1663
2019-06-28,155.8210
2019-05-31,158.0857
2019-04-30,163.8648
2019-03-29,165.4125
2019-02-28,167.2975
2019-01-31,167.1103
2018-12-31,168.4792
2018-11-30,169.9124
2018-10-31,169.4551
2018-09-28,168.1607
2018-08-31,161.2142
2018-07-31,155.0129
2018-06-29,151.3758
2018-05-31,146.6927
2018-04-30,140.8221
2018-03-29,135.8737
2018-02-28,133.9323
2018-01-31,130.6906
2017-12-29,127.6130
2017-11-30,126.8114
2017-10-31,125.1695
2017-09-29,126.0361
2017-08-31,127.2530
2017-07-31,129.0025
2017-06-30,130.8364
2017-05-31,131.6756
2017-04-28,132.4635
2017-03-31,133.2043
2017-02-28,131.1231
2017-01-31,128.4238
2016-12-30,127.1779
2016-11-30,123.2797
2016-10-31,119.3974
2016-09-30,115.2168
2016-08-31,113.1228
2016-07-29,110.9878
2016-06-30,108.2251
2016-05-31,106.9774
2016-04-29,106.2613
2016-03-31,106.5971
2016-02-29,106.7631
2016-01-29,109.1171
2015-12-31,112.5254
2015-11-30,115.9844
2015-10-30,118.8698
2015-09-30,120.7964
2015-08-31,121.9067
2015-07-31,122.0171
2015-06-30,119.3232
2015-05-29,119.0950
2015-04-30,117.6294
2015-03-31,116.6537
2015-02-27,117.0346
2015-01-30,116.7945
2014-12-31,117.9443
2014-11-28,115.1620
2014-10-31,112.0446
2014-09-30,109.6145
2014-08-29,107.5867
2014-07-31,103.8970
2014-06-30,101.9652
2014-05-30,99.8597
2014-04-30,97.9286
2014-03-31,96.3194
2014-02-28,94.0281
2014-01-31,89.9588
2013-12-31,86.1674
2013-11-29,85.1246
2013-10-31,85.7612
2013-09-30,86.7004
2013-08-30,86.8987
2013-07-31,87.6806
2013-06-28,87.6541
2013-05-31,91.8439
2013-04-30,93.7626
2013-03-28,97.6143
2013-02-28,99.5108
2013-01-31,100.6398
2012-12-31,99.6976
2012-11-30,100.2637
2012-10-31,101.7267
2012-09-28,105.9793
2012-08-31,106.2769
2012-07-31,108.2296
2012-06-29,111.5295
2012-05-31,114.1894
2012-04-30,116.5693
2012-03-30,112.7113
2012-02-29,107.7672
2012-01-31,103.9465
2011-12-30,100.4369
2011-11-30,99.1740
2011-10-31,96.0949
2011-09-30,94.3493
2011-08-31,99.5269
2011-07-29,103.5173
2011-06-30,105.7478
2011-05-31,104.7473
2011-04-29,102.7845
2011-03-31,103.1011
2011-02-28,103.2191
2011-01-31,99.9322
2010-12-31,98.0549
2010-11-30,90.9205
2010-10-29,81.8184
2010-09-30,73.8447
2010-08-31,67.1857
2010-07-30,62.6870
2010-06-30,57.0996
2010-05-28,54.5506
2010-04-30,51.0441
2010-03-31,47.1806
2010-02-26,43.9696
2010-01-29,41.3406
2009-12-31,39.5430
2009-11-30,36.5592
2009-10-30,34.2323
2009-09-30,31.8640
2009-08-31,30.1382
2009-07-31,29.1689
2009-06-30,27.4020
2009-05-29,25.8002
2009-04-30,24.4758
2009-03-31,23.8549
2009-02-27,24.5004
2009-01-30,25.5005
2008-12-31,26.2406
2008-11-28,26.9919
2008-10-31,27.4568
2008-09-30,28.0427
2008-08-29,29.0789
2008-07-31,27.9608
2008-06-30,27.6966
2008-05-30,27.5358
2008-04-30,26.9771
2008-03-31,27.9431
2008-02-29,30.1149
2008-01-31,31.8827
2007-12-31,33.7388
2007-11-30,34.8985
2007-10-31,36.7827
2007-09-28,36.9499
2007-08-31,36.8966
2007-07-31,37.3247
2007-06-29,35.9869
2007-05-31,35.0284
2007-04-30,33.7836
2007-03-30,32.7599
2007-02-28,32.6310
2007-01-31,31.8135
2006-12-29,30.9487
2006-11-30,29.5806
2006-10-31,27.8419
2006-09-29,26.6745
2006-08-31,26.6333
2006-07-31,26.9863
2006-06-30,27.8343
2006-05-31,28.0775
2006-04-28,28.9259
2006-03-31,28.8472
2006-02-28,27.2032
2006-01-31,25.7150
2005-12-30,24.2506
2005-11-30,23.2852
2005-10-31,22.5730
2005-09-30,21.8081
2005-08-31,21.8244
2005-07-29,22.0865
2005-06-30,22.3079
