,EMA_monthly_10
2022-04-04,41.5186
2022-03-31,41.4850
2022-02-28,41.1395
2022-01-31,39.7220
2021-12-31,38.6981
2021-11-30,37.6850
2021-10-29,36.8194
2021-09-30,35.4589
2021-08-31,34.0350
2021-07-30,33.1380
2021-06-30,32.6013
2021-05-28,31.5229
2021-04-30,29.4182
2021-03-31,27.1917
2021-02-26,25.1384
2021-01-29,23.2782
2020-12-31,22.2411
2020-11-30,21.2654
2020-10-30,20.6049
2020-09-30,20.2482
2020-08-31,20.2736
2020-07-31,20.4431
2020-06-30,20.8182
2020-05-29,21.3984
2020-04-30,22.1422
2020-03-31,23.1961
2020-02-28,25.2786
2020-01-31,25.9327
2019-12-31,25.9082
2019-11-29,25.4125
2019-10-31,24.9664
2019-09-30,24.6451
2019-08-30,24.5956
2019-07-31,24.7691
2019-06-28,24.3327
2019-05-31,24.1576
2019-04-30,24.2699
2019-03-29,23.9470
2019-02-28,24.2664
2019-01-31,24.2357
2018-12-31,24.3475
2018-11-30,25.1312
2018-10-31,25.2750
2018-09-28,25.6339
2018-08-31,25.8914
2018-07-31,25.9486
2018-06-29,25.9876
2018-05-31,26.2075
2018-04-30,26.1492
2018-03-29,25.5798
2018-02-28,25.1570
2018-01-31,24.4223
2017-12-29,23.5147
2017-11-30,22.9336
2017-10-31,22.2212
2017-09-29,21.6570
2017-08-31,21.1427
2017-07-31,20.8949
2017-06-30,20.4841
2017-05-31,20.1221
2017-04-28,20.1245
2017-03-31,19.9975
2017-02-28,19.6597
2017-01-31,18.8914
2016-12-30,18.2033
2016-11-30,17.1995
2016-10-31,16.1752
2016-09-30,15.7169
2016-08-31,15.3987
2016-07-29,15.0894
2016-06-30,14.9298
2016-05-31,14.9919
2016-04-29,14.8580
2016-03-31,14.7972
2016-02-29,15.0204
2016-01-29,15.5775
2015-12-31,16.1599
2015-11-30,16.0882
2015-10-30,15.9204
2015-09-30,16.0087
2015-08-31,16.1420
2015-07-31,16.1471
2015-06-30,15.9464
2015-05-29,15.7462
2015-04-30,15.6278
2015-03-31,15.5261
2015-02-27,15.6072
2015-01-30,15.6389
2014-12-31,16.0433
2014-11-28,15.9917
2014-10-31,15.9964
2014-09-30,16.0249
2014-08-29,16.0546
2014-07-31,16.0458
2014-06-30,16.0220
2014-05-30,15.8403
2014-04-30,15.7560
2014-03-31,15.6669
2014-02-28,15.1494
2014-01-31,14.7565
2013-12-31,14.3932
2013-11-29,13.9474
2013-10-31,13.5458
2013-09-30,13.2762
2013-08-30,13.1165
2013-07-31,12.9007
2013-06-28,12.4744
2013-05-31,12.1570
2013-04-30,11.7640
2013-03-28,11.4828
2013-02-28,11.2614
2013-01-31,11.0886
2012-12-31,10.8015
2012-11-30,10.6347
2012-10-31,10.5417
2012-09-28,10.4473
2012-08-31,10.1675
2012-07-31,9.9031
2012-06-29,9.8001
2012-05-31,9.7442
2012-04-30,9.6978
2012-03-30,9.4962
2012-02-29,9.2796
2012-01-31,9.0996
2011-12-30,8.9793
2011-11-30,8.8793
2011-10-31,8.8733
2011-09-30,8.8792
2011-08-31,9.1990
2011-07-29,9.5184
2011-06-30,9.5791
2011-05-31,9.6371
2011-04-29,9.6675
2011-03-31,9.6708
2011-02-28,9.5754
2011-01-31,9.3535
2010-12-31,9.0387
2010-11-30,8.6846
2010-10-29,8.6926
2010-09-30,8.6041
2010-08-31,8.5812
2010-07-30,8.7140
2010-06-30,8.6079
2010-05-28,8.5457
2010-04-30,8.3571
2010-03-31,7.8191
2010-02-26,7.3791
2010-01-29,7.0596
2009-12-31,6.6322
2009-11-30,6.5415
2009-10-30,6.3794
2009-09-30,6.3639
2009-08-31,6.1542
2009-07-31,5.7698
2009-06-30,5.5307
2009-05-29,5.6227
2009-04-30,5.7688
2009-03-31,6.3952
2009-02-27,7.3494
