,EMA_monthly_10
2022-04-04,11.2260
2022-03-31,11.5473
2022-02-28,11.9711
2022-01-31,11.6269
2021-12-31,11.7462
2021-11-30,12.0699
2021-10-29,12.0965
2021-09-30,12.1579
2021-08-31,12.2264
2021-07-30,11.9656
2021-06-30,11.8201
2021-05-28,11.2735
2021-04-30,10.6409
2021-03-31,10.1389
2021-02-26,9.6364
2021-01-29,8.4134
2020-12-31,7.0608
2020-11-30,6.7033
2020-10-30,5.8373
2020-09-30,5.8656
2020-08-31,5.8935
2020-07-31,5.7732
2020-06-30,6.3206
2020-05-29,6.6918
2020-04-30,7.5011
2020-03-31,8.2880
2020-02-28,9.3987
2020-01-31,10.4672
2019-12-31,11.2977
2019-11-29,12.0572
2019-10-31,13.0722
2019-09-30,13.5593
2019-08-30,13.7925
2019-07-31,14.0131
2019-06-28,14.6738
2019-05-31,15.3791
2019-04-30,16.6211
2019-03-29,17.4102
2019-02-28,18.2303
2019-01-31,18.8059
2018-12-31,19.2161
2018-11-30,19.9908
2018-10-31,20.1376
2018-09-28,19.7882
2018-08-31,19.0122
2018-07-31,18.1994
2018-06-29,16.4215
2018-05-31,14.0996
2018-04-30,12.3706
2018-03-29,11.7974
2018-02-28,11.5969
2018-01-31,11.2006
2017-12-29,11.9208
2017-11-30,12.8432
2017-10-31,14.1239
2017-09-29,15.5114
2017-08-31,16.8850
2017-07-31,18.7950
2017-06-30,20.4717
2017-05-31,22.7210
2017-04-28,25.3768
2017-03-31,27.1827
2017-02-28,29.3455
2017-01-31,31.6645
2016-12-30,33.0189
2016-11-30,34.6097
2016-10-31,34.8741
2016-09-30,36.5639
2016-08-31,38.5181
2016-07-29,40.7310
2016-06-30,42.7602
2016-05-31,45.9224
2016-04-29,49.9341
2016-03-31,52.0305
2016-02-29,53.7218
2016-01-29,55.2355
2015-12-31,60.2656
2015-11-30,65.5335
2015-10-30,71.5476
2015-09-30,75.3560
2015-08-31,79.6840
2015-07-31,83.7071
2015-06-30,87.0309
2015-05-29,90.9577
2015-04-30,95.3905
2015-03-31,97.9262
2015-02-27,101.3654
2015-01-30,104.7777
2014-12-31,106.3283
2014-11-28,105.3479
2014-10-31,103.9319
2014-09-30,104.4367
2014-08-29,106.7782
2014-07-31,107.9978
2014-06-30,110.2196
2014-05-30,111.4861
2014-04-30,112.9808
2014-03-31,114.3877
2014-02-28,113.9027
2014-01-31,113.6789
2013-12-31,114.0898
2013-11-29,112.7897
2013-10-31,109.5719
2013-09-30,105.7123
2013-08-30,103.3728
2013-07-31,100.5356
2013-06-28,98.4547
2013-05-31,97.3757
2013-04-30,95.4148
2013-03-28,94.8136
2013-02-28,94.4166
2013-01-31,92.5603
2012-12-31,89.6671
2012-11-30,88.9042
2012-10-31,89.4518
2012-09-28,89.9744
2012-08-31,91.1465
2012-07-31,92.5235
2012-06-29,97.1531
2012-05-31,101.7338
2012-04-30,108.0836
2012-03-30,103.0644
2012-02-29,96.6387
2012-01-31,91.0073
2011-12-30,90.1089
2011-11-30,92.4976
2011-10-31,93.1437
2011-09-30,90.8067
2011-08-31,92.9727
2011-07-29,92.1644
2011-06-30,84.7187
2011-05-31,77.3851
2011-04-29,71.0618
2011-03-31,65.5688
2011-02-28,59.3286
2011-01-31,55.4593
2010-12-31,51.9947
2010-11-30,47.8869
2010-10-29,43.4951
2010-09-30,40.0518
2010-08-31,36.9989
2010-07-30,34.6675
2010-06-30,33.5714
2010-05-28,33.3206
2010-04-30,32.3919
2010-03-31,30.9323
2010-02-26,29.4194
2010-01-29,27.9015
2009-12-31,26.8463
2009-11-30,25.3544
2009-10-30,24.1332
2009-09-30,23.5561
2009-08-31,22.4686
2009-07-31,21.8216
2009-06-30,20.8175
2009-05-29,20.0925
2009-04-30,19.5930
2009-03-31,19.4670
2009-02-27,20.3041
2009-01-30,22.0117
2008-12-31,24.3387
2008-11-28,26.0362
2008-10-31,28.4443
2008-09-30,30.7319
2008-08-29,31.2879
2008-07-31,31.5919
2008-06-30,32.6612
2008-05-30,33.4592
2008-04-30,33.8480
2008-03-31,33.4164
2008-02-29,34.0556
2008-01-31,34.4724
2007-12-31,34.5818
2007-11-30,32.9378
2007-10-31,30.6262
2007-09-28,29.0853
2007-08-31,27.2465
2007-07-31,25.8546
2007-06-29,25.9223
2007-05-31,25.1295
2007-04-30,23.7782
2007-03-30,22.8023
2007-02-28,21.9873
2007-01-31,20.8911
2006-12-29,20.5313
2006-11-30,20.0761
2006-10-31,19.8663
2006-09-29,19.4277
2006-08-31,18.9583
2006-07-31,18.9891
2006-06-30,19.1733
2006-05-31,19.4318
2006-04-28,19.6989
2006-03-31,20.4631
2006-02-28,20.8816
2006-01-31,21.7397
2005-12-30,21.3063
2005-11-30,21.2610
2005-10-31,21.5546
2005-09-30,22.8645
2005-08-31,23.9033
2005-07-29,24.3285
2005-06-30,24.4482
2005-05-31,24.8366
2005-04-29,25.6114
2005-03-31,26.1340
2005-02-28,26.1804
2005-01-31,26.2650
2004-12-31,25.9016
2004-11-30,25.9598
2004-10-29,25.7175
2004-09-30,24.8192
2004-08-31,23.4590
2004-07-30,22.2921
2004-06-30,21.8704
2004-05-28,20.6749
2004-04-30,19.9826
2004-03-31,19.0099
2004-02-27,18.3069
2004-01-30,17.2255
2003-12-31,16.7644
2003-11-28,16.3225
2003-10-31,15.6326
2003-09-30,15.1066
2003-08-29,14.8636
2003-07-31,14.0110
2003-06-30,13.3587
2003-05-30,12.8369
2003-04-30,12.3696
2003-03-31,12.4043
2003-02-28,12.6097
2003-01-31,12.7481
2002-12-31,12.8403
2002-11-29,12.6804
2002-10-31,12.4908
2002-09-30,12.3614
2002-08-30,12.1380
2002-07-31,11.5968
2002-06-28,11.4420
2002-05-31,10.9387
2002-04-30,10.3118
2002-03-28,9.8626
2002-02-28,9.4281
2002-01-31,8.9958
2001-12-31,8.6818
2001-11-30,8.5370
2001-10-31,8.2860
2001-09-28,8.3357
2001-08-31,8.6365
2001-07-31,8.5300
2001-06-29,8.4502
2001-05-31,8.2787
2001-04-30,7.9110
2001-03-30,7.8162
2001-02-28,7.8365
2001-01-31,7.8496
2000-12-29,7.6868
2000-11-30,7.9648
2000-10-31,8.2652
2000-09-29,8.8120
