,EMA_monthly_10
2022-04-04,16.6116
2022-03-31,16.6008
2022-02-28,16.5321
2022-01-31,16.3037
2021-12-31,15.4156
2021-11-30,14.2493
2021-10-29,13.1730
2021-09-30,12.3434
2021-08-31,11.9716
2021-07-30,11.7658
2021-06-30,11.3119
2021-05-28,10.5570
2021-04-30,9.7069
2021-03-31,9.3255
2021-02-26,8.7033
2021-01-29,8.0638
2020-12-31,7.5395
2020-11-30,7.2814
2020-10-30,6.9022
2020-09-30,6.7357
2020-08-31,6.7675
2020-07-31,6.7712
2020-06-30,6.8219
2020-05-29,7.0005
2020-04-30,7.3002
2020-03-31,7.8028
2020-02-28,8.4744
2020-01-31,8.8266
2019-12-31,8.8480
2019-11-29,8.8026
2019-10-31,8.7990
2019-09-30,8.8962
2019-08-30,8.9242
2019-07-31,8.9563
2019-06-28,8.9189
2019-05-31,8.7563
2019-04-30,8.7064
2019-03-29,8.4506
2019-02-28,8.5165
2019-01-31,8.5992
2018-12-31,8.6940
2018-11-30,9.0740
2018-10-31,9.1813
2018-09-28,9.2841
2018-08-31,9.5035
2018-07-31,9.7259
2018-06-29,9.8859
2018-05-31,9.9072
2018-04-30,9.8389
2018-03-29,9.8162
2018-02-28,9.8495
2018-01-31,9.9812
2017-12-29,10.0724
2017-11-30,9.9486
2017-10-31,9.7916
2017-09-29,9.6471
2017-08-31,9.5549
2017-07-31,9.6178
2017-06-30,9.6591
2017-05-31,9.7418
2017-04-28,9.8557
2017-03-31,9.9303
2017-02-28,10.0188
2017-01-31,9.9649
2016-12-30,9.9299
2016-11-30,9.9641
2016-10-31,10.0363
2016-09-30,10.1640
2016-08-31,10.2879
2016-07-29,10.3457
2016-06-30,10.4057
2016-05-31,10.5187
2016-04-29,10.4959
2016-03-31,10.4557
2016-02-29,10.4428
2016-01-29,10.5984
2015-12-31,10.8871
2015-11-30,10.9476
2015-10-30,10.9813
2015-09-30,10.9422
2015-08-31,11.1245
2015-07-31,11.2976
2015-06-30,11.3500
2015-05-29,11.4085
2015-04-30,11.4538
2015-03-31,11.4058
2015-02-27,11.3158
2015-01-30,11.1733
2014-12-31,11.2642
2014-11-28,11.2727
2014-10-31,11.2462
2014-09-30,11.4776
2014-08-29,11.6690
2014-07-31,11.4850
2014-06-30,11.3224
2014-05-30,11.1081
2014-04-30,10.9728
2014-03-31,10.8534
2014-02-28,10.8136
2014-01-31,10.7979
2013-12-31,10.8463
2013-11-29,10.8513
2013-10-31,10.6002
2013-09-30,10.2887
2013-08-30,9.9604
2013-07-31,9.6645
2013-06-28,9.1960
2013-05-31,8.8559
2013-04-30,8.4080
2013-03-28,8.1797
2013-02-28,7.9864
2013-01-31,7.8326
2012-12-31,7.5927
2012-11-30,7.3137
2012-10-31,7.2005
2012-09-28,7.1062
2012-08-31,7.1950
2012-07-31,7.3820
2012-06-29,7.6334
2012-05-31,7.8880
2012-04-30,8.0533
2012-03-30,8.1471
2012-02-29,8.0904
2012-01-31,8.0427
2011-12-30,7.9784
2011-11-30,8.1539
2011-10-31,8.3920
2011-09-30,8.5228
2011-08-31,8.9811
2011-07-29,9.3259
2011-06-30,9.5855
2011-05-31,9.6682
2011-04-29,9.6016
2011-03-31,9.4385
2011-02-28,9.3222
2011-01-31,9.1593
2010-12-31,8.8267
2010-11-30,8.2954
2010-10-29,7.7722
2010-09-30,7.4014
2010-08-31,7.2290
2010-07-30,7.1599
2010-06-30,6.8550
2010-05-28,6.8818
2010-04-30,6.6696
2010-03-31,6.2186
2010-02-26,5.7343
2010-01-29,5.2655
2009-12-31,4.8263
2009-11-30,4.4141
2009-10-30,4.0751
2009-09-30,3.9414
2009-08-31,3.7468
2009-07-31,3.4510
2009-06-30,3.0302
2009-05-29,2.8023
2009-04-30,2.5714
2009-03-31,2.2549
2009-02-27,2.3655
2009-01-30,2.5943
2008-12-31,2.8931
2008-11-28,3.1961
2008-10-31,3.5069
2008-09-30,3.9611
2008-08-29,4.0693
2008-07-31,4.3114
2008-06-30,4.5569
2008-05-30,4.8554
2008-04-30,4.9248
2008-03-31,4.7928
2008-02-29,5.0086
2008-01-31,5.1521
2007-12-31,5.3112
2007-11-30,5.4923
2007-10-31,5.5978
2007-09-28,5.5248
2007-08-31,5.4920
2007-07-31,5.5530
2007-06-29,5.5235
2007-05-31,5.3523
2007-04-30,5.3035
2007-03-30,5.2884
2007-02-28,5.2921
2007-01-31,5.2938
2006-12-29,5.2631
2006-11-30,5.3177
2006-10-31,5.2923
2006-09-29,5.2391
2006-08-31,5.2022
2006-07-31,5.1155
2006-06-30,5.2620
2006-05-31,5.4101
2006-04-28,5.5573
2006-03-31,5.7680
2006-02-28,5.8934
2006-01-31,6.0452
2005-12-30,6.1422
2005-11-30,6.3984
2005-10-31,6.6526
2005-09-30,6.9361
2005-08-31,7.0788
2005-07-29,7.2376
2005-06-30,7.3225
2005-05-31,7.5106
2005-04-29,7.7771
2005-03-31,8.2250
2005-02-28,8.4777
2005-01-31,8.6030
2004-12-31,8.6839
2004-11-30,8.5935
2004-10-29,8.5466
2004-09-30,8.6478
2004-08-31,8.6455
2004-07-30,8.6344
2004-06-30,8.5374
2004-05-28,8.3054
2004-04-30,8.1307
2004-03-31,7.8478
2004-02-27,7.7574
2004-01-30,7.6225
2003-12-31,7.3509
2003-11-28,6.8354
2003-10-31,6.5815
2003-09-30,6.4148
2003-08-29,6.4052
2003-07-31,6.2883
2003-06-30,6.2120
2003-05-30,6.1418
2003-04-30,6.1206
2003-03-31,6.1211
2003-02-28,6.4982
2003-01-31,6.8545
2002-12-31,7.1867
2002-11-29,7.5808
2002-10-31,7.7933
2002-09-30,8.4308
2002-08-30,9.0514
2002-07-31,9.5582
2002-06-28,9.9603
2002-05-31,10.1433
2002-04-30,10.1576
2002-03-28,10.3969
2002-02-28,10.6275
2002-01-31,11.1125
2001-12-31,11.6522
2001-11-30,12.2719
2001-10-31,12.6260
2001-09-28,13.4208
2001-08-31,14.2495
2001-07-31,14.9495
2001-06-29,15.1475
2001-05-31,15.5022
