,EMA_monthly_10
2022-04-04,213.5556
2022-03-31,207.8501
2022-02-28,200.4435
2022-01-31,192.8865
2021-12-31,188.6169
2021-11-30,184.4644
2021-10-29,183.6982
2021-09-30,179.7168
2021-08-31,176.5895
2021-07-30,171.8271
2021-06-30,166.9466
2021-05-28,162.9485
2021-04-30,157.7018
2021-03-31,151.2192
2021-02-26,145.4434
2021-01-29,142.3077
2020-12-31,142.1169
2020-11-30,141.6483
2020-10-30,140.9614
2020-09-30,144.0028
2020-08-31,146.4153
2020-07-31,147.0299
2020-06-30,148.3390
2020-05-29,149.5946
2020-04-30,151.6872
2020-03-31,157.6838
2020-02-28,164.8775
2020-01-31,167.9071
2019-12-31,168.2951
2019-11-29,168.7841
2019-10-31,168.2537
2019-09-30,168.6394
2019-08-30,168.0891
2019-07-31,165.6395
2019-06-28,163.7546
2019-05-31,162.5183
2019-04-30,165.3531
2019-03-29,165.1136
2019-02-28,166.9815
2019-01-31,169.0712
2018-12-31,171.4299
2018-11-30,177.3650
2018-10-31,178.9565
2018-09-28,183.4200
2018-08-31,182.4887
2018-07-31,183.6558
2018-06-29,183.7871
2018-05-31,186.8525
2018-04-30,187.4984
2018-03-29,188.3690
2018-02-28,185.6531
2018-01-31,182.0208
2017-12-29,177.5754
2017-11-30,176.1474
2017-10-31,173.6565
2017-09-29,171.4521
2017-08-31,168.3973
2017-07-31,165.5104
2017-06-30,162.9870
2017-05-31,159.7137
2017-04-28,154.6864
2017-03-31,150.4278
2017-02-28,146.7045
2017-01-31,141.6358
2016-12-30,137.1733
2016-11-30,133.5375
2016-10-31,128.5622
2016-09-30,127.3444
2016-08-31,125.1333
2016-07-29,123.0091
2016-06-30,121.4608
2016-05-31,121.0727
2016-04-29,120.2367
2016-03-31,119.4788
2016-02-29,120.4891
2016-01-29,120.7713
2015-12-31,121.6022
2015-11-30,122.0619
2015-10-30,120.8639
2015-09-30,118.9897
2015-08-31,118.8851
2015-07-31,117.9722
2015-06-30,115.4940
2015-05-29,113.8930
2015-04-30,112.3613
2015-03-31,111.0331
2015-02-27,109.8461
2015-01-30,107.8143
2014-12-31,106.3922
2014-11-28,103.9317
2014-10-31,99.4564
2014-09-30,95.0487
2014-08-29,92.1854
2014-07-31,89.4106
2014-06-30,87.2421
2014-05-30,84.7497
2014-04-30,81.4087
2014-03-31,78.9529
2014-02-28,76.1675
2014-01-31,72.6474
2013-12-31,69.8813
2013-11-29,67.6794
2013-10-31,65.7101
2013-09-30,64.2365
2013-08-30,62.3776
2013-07-31,60.8927
2013-06-28,58.6926
2013-05-31,57.3986
2013-04-30,56.0422
2013-03-28,54.9591
2013-02-28,54.3699
2013-01-31,54.1111
2012-12-31,54.0979
2012-11-30,53.5425
2012-10-31,53.4573
2012-09-28,53.0683
2012-08-31,53.0368
2012-07-31,53.1075
2012-06-29,53.5640
2012-05-31,53.7616
2012-04-30,54.3491
2012-03-30,54.4478
2012-02-29,53.6200
2012-01-31,52.6347
2011-12-30,52.1474
2011-11-30,52.1126
2011-10-31,52.1313
2011-09-30,52.4815
2011-08-31,54.2676
2011-07-29,55.2023
2011-06-30,55.6400
2011-05-31,55.0672
2011-04-29,54.5007
2011-03-31,54.0498
2011-02-28,52.9361
2011-01-31,51.6503
2010-12-31,50.2023
2010-11-30,49.2649
2010-10-29,48.9492
2010-09-30,48.2175
2010-08-31,48.2982
2010-07-30,49.5719
2010-06-30,50.2177
2010-05-28,51.4625
2010-04-30,51.4845
2010-03-31,50.0892
2010-02-26,48.3135
2010-01-29,46.9206
2009-12-31,46.1711
2009-11-30,45.0950
2009-10-30,44.1572
2009-09-30,43.5432
2009-08-31,42.5388
2009-07-31,42.2056
2009-06-30,42.4266
2009-05-29,42.6968
2009-04-30,42.8415
2009-03-31,43.8771
2009-02-27,46.8572
2009-01-30,50.1364
2008-12-31,52.0428
2008-11-28,54.2927
2008-10-31,58.0002
2008-09-30,61.1324
2008-08-29,62.8725
2008-07-31,61.9940
2008-06-30,61.4286
2008-05-30,61.5889
2008-04-30,60.5110
2008-03-31,59.4708
2008-02-29,59.3837
2008-01-31,59.5199
2007-12-31,59.2587
2007-11-30,58.2766
2007-10-31,57.1098
2007-09-28,55.3369
2007-08-31,54.2487
2007-07-31,53.8552
2007-06-29,53.3743
2007-05-31,52.8860
2007-04-30,51.9703
2007-03-30,51.1257
2007-02-28,50.4705
2007-01-31,49.6728
2006-12-29,48.4195
2006-11-30,47.5188
2006-10-31,46.3412
2006-09-29,45.4883
2006-08-31,44.3910
2006-07-31,43.6941
2006-06-30,42.9251
2006-05-31,42.2653
2006-04-28,41.7424
2006-03-31,40.7948
2006-02-28,39.9276
2006-01-31,39.2317
2005-12-30,38.9176
2005-11-30,38.7434
2005-10-31,38.5112
2005-09-30,38.0726
2005-08-31,37.3165
2005-07-29,36.7747
2005-06-30,36.0663
2005-05-31,35.6361
2005-04-29,35.2607
2005-03-31,35.0270
2005-02-28,34.6178
2005-01-31,34.2479
2004-12-31,33.9565
2004-11-30,33.5253
2004-10-29,32.7115
2004-09-30,32.1928
2004-08-31,31.5877
2004-07-30,31.1871
2004-06-30,30.6078
2004-05-28,29.8633
2004-04-30,29.2585
2004-03-31,28.6714
2004-02-27,28.3049
2004-01-30,27.6464
2003-12-31,26.8936
2003-11-28,26.0753
2003-10-31,25.7908
2003-09-30,25.2304
2003-08-29,24.9928
2003-07-31,24.0998
2003-06-30,23.5153
2003-05-30,23.3364
2003-04-30,23.5412
2003-03-31,24.1456
2003-02-28,25.4304
2003-01-31,26.6901
2002-12-31,27.7200
2002-11-29,28.0211
2002-10-31,28.2356
2002-09-30,28.6690
2002-08-30,29.0600
2002-07-31,29.7356
2002-06-28,30.3937
2002-05-31,29.3476
2002-04-30,28.4943
2002-03-28,27.7086
2002-02-28,27.0000
2002-01-31,26.3583
2001-12-31,25.6704
2001-11-30,25.5762
2001-10-31,25.2055
2001-09-28,24.8653
2001-08-31,23.9802
2001-07-31,23.5778
2001-06-29,22.9459
2001-05-31,22.4181
2001-04-30,21.7941
2001-03-30,21.0631
2001-02-28,21.2254
2001-01-31,21.0319
2000-12-29,20.5938
2000-11-30,19.5746
2000-10-31,18.4544
2000-09-29,17.4217
