,EMA_monthly_10
2022-04-04,64.7021
2022-03-31,63.8603
2022-02-28,63.0026
2022-01-31,62.0187
2021-12-31,60.5384
2021-11-30,59.1286
2021-10-29,58.6430
2021-09-30,58.0428
2021-08-31,57.8549
2021-07-30,58.0649
2021-06-30,58.0919
2021-05-28,57.7850
2021-04-30,56.9913
2021-03-31,56.4550
2021-02-26,55.8101
2021-01-29,56.3792
2020-12-31,56.4102
2020-11-30,56.4078
2020-10-30,55.9741
2020-09-30,55.8065
2020-08-31,55.1642
2020-07-31,53.8992
2020-06-30,52.4967
2020-05-29,51.2266
2020-04-30,49.3826
2020-03-31,47.7897
2020-02-28,47.4334
2020-01-31,47.7820
2019-12-31,47.5384
2019-11-29,47.0652
2019-10-31,46.5362
2019-09-30,46.3966
2019-08-30,45.4500
2019-07-31,44.5627
2019-06-28,43.6190
2019-05-31,42.6838
2019-04-30,42.1641
2019-03-29,41.1181
2019-02-28,39.8826
2019-01-31,39.2986
2018-12-31,39.1240
2018-11-30,40.1064
2018-10-31,40.6399
2018-09-28,40.9968
2018-08-31,41.7024
2018-07-31,41.9597
2018-06-29,42.2644
2018-05-31,43.0841
2018-04-30,44.4675
2018-03-29,45.8774
2018-02-28,47.4392
2018-01-31,48.2962
2017-12-29,47.8223
2017-11-30,47.1829
2017-10-31,46.9202
2017-09-29,47.4809
2017-08-31,48.2894
2017-07-31,48.9953
2017-06-30,49.4062
2017-05-31,50.0515
2017-04-28,50.5903
2017-03-31,51.1051
2017-02-28,51.5454
2017-01-31,51.8319
2016-12-30,51.7918
2016-11-30,51.9627
2016-10-31,52.3238
2016-09-30,52.5743
2016-08-31,52.6213
2016-07-29,51.4146
2016-06-30,49.7448
2016-05-31,47.8937
2016-04-29,47.1767
2016-03-31,46.5609
2016-02-29,45.5274
2016-01-29,45.0727
2015-12-31,44.9373
2015-11-30,44.6472
2015-10-30,44.2749
2015-09-30,43.7574
2015-08-31,43.5563
2015-07-31,43.1990
2015-06-30,42.5059
2015-05-29,42.1746
2015-04-30,41.6943
2015-03-31,41.2493
2015-02-27,40.5621
2015-01-30,40.2113
2014-12-31,40.0107
2014-11-28,39.6879
2014-10-31,39.3937
2014-09-30,39.1706
2014-08-29,39.2295
2014-07-31,38.7994
2014-06-30,38.8272
2014-05-30,38.5206
2014-04-30,37.7394
2014-03-31,37.1094
2014-02-28,36.6134
2014-01-31,36.3091
2013-12-31,36.2764
2013-11-29,35.9829
2013-10-31,35.5371
2013-09-30,34.9939
2013-08-30,34.8124
2013-07-31,34.3579
2013-06-28,33.3574
2013-05-31,32.7725
2013-04-30,32.2966
2013-03-28,31.1644
2013-02-28,30.0184
2013-01-31,29.1185
2012-12-31,28.7241
2012-11-30,28.5434
2012-10-31,28.2300
2012-09-28,27.9946
2012-08-31,27.7973
2012-07-31,27.6398
2012-06-29,27.5488
2012-05-31,27.5158
2012-04-30,27.5169
2012-03-30,27.4209
2012-02-29,27.2630
2012-01-31,27.2507
2011-12-30,26.9947
2011-11-30,26.6384
2011-10-31,26.2752
2011-09-30,26.0546
2011-08-31,25.8395
2011-07-29,25.6672
2011-06-30,25.5439
2011-05-31,25.4610
2011-04-29,24.9650
2011-03-31,24.5430
2011-02-28,24.3849
2011-01-31,24.1012
2010-12-31,24.1168
2010-11-30,24.0537
2010-10-29,24.0161
2010-09-30,23.6305
2010-08-31,23.3561
2010-07-30,23.0781
2010-06-30,23.0347
2010-05-28,22.8228
2010-04-30,22.5495
2010-03-31,22.2208
2010-02-26,21.8835
2010-01-29,21.3805
2009-12-31,20.8178
2009-11-30,20.2033
2009-10-30,19.6603
2009-09-30,19.1505
2009-08-31,18.6758
2009-07-31,18.4372
2009-06-30,18.2059
2009-05-29,18.1682
2009-04-30,18.4749
2009-03-31,18.8854
2009-02-27,19.4767
2009-01-30,20.0115
2008-12-31,20.1831
2008-11-28,20.3091
2008-10-31,20.2895
2008-09-30,19.9376
2008-08-29,19.4695
2008-07-31,19.0784
2008-06-30,18.7280
2008-05-30,18.5878
2008-04-30,18.2444
2008-03-31,18.0230
2008-02-29,17.8171
2008-01-31,17.8391
2007-12-31,17.9694
2007-11-30,17.9814
2007-10-31,17.7760
2007-09-28,17.6941
2007-08-31,17.6017
2007-07-31,17.6365
2007-06-29,17.6971
2007-05-31,17.6040
2007-04-30,17.2959
2007-03-30,17.0117
2007-02-28,16.8051
2007-01-31,16.6828
2006-12-29,16.4703
2006-11-30,16.2112
2006-10-31,16.0069
2006-09-29,15.6979
2006-08-31,15.3592
2006-07-31,15.1055
2006-06-30,14.9529
2006-05-31,14.8064
2006-04-28,14.6119
2006-03-31,14.5455
2006-02-28,14.3972
2006-01-31,14.3113
2005-12-30,14.2490
2005-11-30,14.1479
2005-10-31,14.1429
2005-09-30,14.0884
2005-08-31,14.0477
2005-07-29,14.1347
2005-06-30,14.1569
2005-05-31,14.2461
2005-04-29,14.1781
2005-03-31,14.1016
2005-02-28,14.0444
2005-01-31,13.7654
2004-12-31,13.3841
2004-11-30,13.1511
2004-10-29,13.1385
2004-09-30,13.2031
2004-08-31,13.2600
2004-07-30,13.1789
2004-06-30,13.2304
2004-05-28,13.1451
2004-04-30,13.1350
2004-03-31,12.9509
2004-02-27,12.8749
2004-01-30,12.8264
2003-12-31,12.8019
2003-11-28,12.7975
2003-10-31,12.8102
2003-09-30,12.8359
2003-08-29,12.7452
2003-07-31,12.6788
2003-06-30,12.6282
2003-05-30,12.4873
2003-04-30,12.3542
2003-03-31,12.2954
2003-02-28,12.2130
2003-01-31,12.2780
2002-12-31,12.2301
2002-11-29,12.0638
2002-10-31,12.0037
2002-09-30,12.1329
2002-08-30,12.1173
2002-07-31,12.2405
2002-06-28,12.4301
2002-05-31,12.5179
2002-04-30,12.5390
2002-03-28,12.6528
2002-02-28,12.5172
2002-01-31,12.5094
2001-12-31,12.2997
2001-11-30,11.9123
2001-10-31,11.5984
