,EMA_monthly_10
2022-04-04,15.3837
2022-03-31,15.1757
2022-02-28,14.8347
2022-01-31,14.6193
2021-12-31,14.2655
2021-11-30,13.9567
2021-10-29,13.9170
2021-09-30,13.8029
2021-08-31,13.7509
2021-07-30,13.4507
2021-06-30,13.2922
2021-05-28,13.0810
2021-04-30,12.5498
2021-03-31,11.8875
2021-02-26,11.1385
2021-01-29,10.5023
2020-12-31,10.1991
2020-11-30,9.9332
2020-10-30,9.8046
2020-09-30,10.1552
2020-08-31,10.4292
2020-07-31,10.7264
2020-06-30,11.0478
2020-05-29,11.4699
2020-04-30,12.0118
2020-03-31,12.6018
2020-02-28,13.3952
2020-01-31,13.7557
2019-12-31,13.9630
2019-11-29,13.8216
2019-10-31,13.6793
2019-09-30,13.3876
2019-08-30,13.2828
2019-07-31,13.4495
2019-06-28,13.5425
2019-05-31,13.5393
2019-04-30,13.8048
2019-03-29,13.7115
2019-02-28,13.6734
2019-01-31,13.4608
2018-12-31,13.3578
2018-11-30,13.7043
2018-10-31,13.7950
2018-09-28,13.8567
2018-08-31,13.7232
2018-07-31,13.5389
2018-06-29,13.5269
2018-05-31,13.6745
2018-04-30,13.7529
2018-03-29,13.4970
2018-02-28,13.0891
2018-01-31,12.4009
2017-12-29,11.9834
2017-11-30,11.8679
2017-10-31,11.8200
2017-09-29,11.7671
2017-08-31,11.5505
2017-07-31,11.4213
2017-06-30,11.3454
2017-05-31,11.3901
2017-04-28,11.1240
2017-03-31,10.8256
2017-02-28,10.5838
2017-01-31,10.3940
2016-12-30,10.1776
2016-11-30,9.8618
2016-10-31,9.4095
2016-09-30,9.0045
2016-08-31,8.4846
