,EMA_monthly_10
2022-04-04,79.9733
2022-03-31,78.2541
2022-02-28,76.2683
2022-01-31,74.0212
2021-12-31,73.7371
2021-11-30,72.8942
2021-10-29,73.3018
2021-09-30,72.6244
2021-08-31,71.8387
2021-07-30,71.0051
2021-06-30,68.9729
2021-05-28,67.8136
2021-04-30,65.9855
2021-03-31,64.5378
2021-02-26,63.4929
2021-01-29,63.8580
2020-12-31,63.4153
2020-11-30,62.6498
2020-10-30,62.2809
2020-09-30,61.9922
2020-08-31,62.7060
2020-07-31,61.8762
2020-06-30,60.3532
2020-05-29,60.7894
2020-04-30,60.8049
2020-03-31,62.1926
2020-02-28,64.7865
2020-01-31,65.6413
2019-12-31,64.9083
2019-11-29,64.5057
2019-10-31,63.5292
2019-09-30,63.7390
2019-08-30,63.7921
2019-07-31,64.2748
2019-06-28,63.7714
2019-05-31,62.4094
2019-04-30,61.9538
2019-03-29,61.4857
2019-02-28,61.7914
2019-01-31,62.3451
2018-12-31,62.6571
2018-11-30,62.8955
2018-10-31,61.3254
2018-09-28,60.4870
2018-08-31,59.1085
2018-07-31,58.7048
2018-06-29,57.9097
2018-05-31,58.1180
2018-04-30,58.9721
2018-03-29,58.8308
2018-02-28,60.1902
2018-01-31,62.0294
2017-12-29,62.6233
2017-11-30,64.3601
2017-10-31,66.2091
2017-09-29,67.2229
2017-08-31,67.8712
2017-07-31,67.8181
2017-06-30,67.0099
2017-05-31,65.9516
2017-04-28,64.5753
2017-03-31,63.7793
2017-02-28,63.1403
2017-01-31,62.2208
2016-12-30,62.1164
2016-11-30,62.6992
2016-10-31,63.6511
2016-09-30,64.7936
2016-08-31,64.9891
2016-07-29,65.1575
2016-06-30,63.8652
2016-05-31,62.6501
2016-04-29,61.4325
2016-03-31,60.3826
2016-02-29,58.7569
2016-01-29,57.3957
2015-12-31,56.9530
2015-11-30,55.8235
2015-10-30,54.5922
2015-09-30,53.5029
2015-08-31,53.8264
2015-07-31,53.8653
2015-06-30,52.9395
2015-05-29,52.3187
2015-04-30,51.5991
2015-03-31,51.1179
2015-02-27,50.3101
2015-01-30,49.2853
2014-12-31,48.2054
2014-11-28,47.0527
2014-10-31,45.5525
2014-09-30,45.2151
2014-08-29,45.1130
2014-07-31,44.7076
2014-06-30,44.5119
2014-05-30,44.0632
2014-04-30,43.4280
2014-03-31,43.1240
2014-02-28,42.3044
2014-01-31,41.3316
2013-12-31,40.5042
2013-11-29,39.5478
2013-10-31,38.4015
2013-09-30,37.1374
2013-08-30,36.3474
2013-07-31,35.6186
2013-06-28,34.4854
2013-05-31,33.8055
2013-04-30,32.9265
2013-03-28,32.3656
2013-02-28,31.4925
2013-01-31,30.7157
2012-12-31,30.0172
2012-11-30,29.6795
2012-10-31,29.2361
2012-09-28,29.3060
2012-08-31,28.9148
2012-07-31,28.6466
2012-06-29,28.4931
2012-05-31,27.9848
2012-04-30,27.7279
2012-03-30,27.2020
2012-02-29,26.6517
2012-01-31,26.1238
2011-12-30,25.7513
2011-11-30,25.8590
2011-10-31,25.9985
2011-09-30,25.7350
2011-08-31,26.0499
2011-07-29,26.0950
2011-06-30,26.1022
2011-05-31,25.6639
2011-04-29,25.1081
2011-03-31,24.3200
2011-02-28,23.6094
2011-01-31,22.8446
2010-12-31,22.1991
2010-11-30,21.7824
2010-10-29,21.6229
2010-09-30,21.5347
2010-08-31,21.2152
2010-07-30,21.3284
2010-06-30,21.4938
2010-05-28,21.4859
2010-04-30,21.3446
2010-03-31,20.8155
2010-02-26,20.3083
2010-01-29,19.8687
2009-12-31,19.5738
2009-11-30,19.3396
2009-10-30,19.3096
2009-09-30,18.9967
2009-08-31,18.4330
2009-07-31,17.9123
2009-06-30,17.4152
2009-05-29,17.1066
2009-04-30,16.9395
2009-03-31,17.1273
2009-02-27,17.4484
2009-01-30,18.1293
2008-12-31,18.8962
2008-11-28,19.8979
2008-10-31,21.2060
2008-09-30,21.8391
2008-08-29,22.0003
2008-07-31,21.7930
2008-06-30,21.9683
2008-05-30,22.3560
2008-04-30,22.4683
2008-03-31,22.6360
2008-02-29,22.6640
2008-01-31,22.4874
2007-12-31,22.4188
2007-11-30,22.0499
2007-10-31,21.7952
2007-09-28,21.4186
2007-08-31,20.8763
2007-07-31,20.4445
2007-06-29,20.2522
2007-05-31,20.0964
2007-04-30,19.8974
2007-03-30,19.7761
2007-02-28,19.3621
2007-01-31,19.1184
2006-12-29,18.9425
2006-11-30,18.8835
2006-10-31,18.5892
2006-09-29,18.3899
2006-08-31,18.1070
2006-07-31,17.7848
2006-06-30,17.6054
2006-05-31,17.4454
2006-04-28,17.3056
2006-03-31,17.0886
2006-02-28,16.7152
2006-01-31,16.3644
2005-12-30,15.9364
2005-11-30,15.6748
2005-10-31,15.4405
2005-09-30,15.4172
2005-08-31,15.1291
2005-07-29,14.8580
2005-06-30,14.3977
2005-05-31,13.9789
2005-04-29,13.5602
2005-03-31,13.3048
2005-02-28,13.1381
2005-01-31,12.9055
2004-12-31,12.8079
2004-11-30,12.6196
2004-10-29,12.5839
2004-09-30,12.6252
2004-08-31,12.7158
2004-07-30,12.8278
2004-06-30,12.7547
2004-05-28,12.8379
2004-04-30,12.7644
2004-03-31,12.5303
2004-02-27,12.2085
2004-01-30,11.8060
2003-12-31,11.3729
2003-11-28,10.9556
2003-10-31,10.4516
2003-09-30,10.0687
2003-08-29,9.8352
2003-07-31,9.5053
2003-06-30,9.0712
2003-05-30,8.7990
2003-04-30,8.6122
2003-03-31,8.6472
2003-02-28,8.6037
2003-01-31,8.7727
2002-12-31,8.9561
2002-11-29,8.9856
2002-10-31,9.1279
2002-09-30,8.9703
2002-08-30,8.6652
2002-07-31,8.4135
2002-06-28,8.4113
2002-05-31,8.3415
2002-04-30,8.0348
2002-03-28,7.7466
2002-02-28,7.5487
2002-01-31,7.3521
2001-12-31,6.9864
2001-11-30,6.9254
2001-10-31,6.7128
2001-09-28,6.7339
2001-08-31,6.5484
2001-07-31,6.4210
2001-06-29,6.2357
2001-05-31,5.9548
2001-04-30,5.6332
2001-03-30,5.2109
2001-02-28,4.7676
2001-01-31,4.5826
2000-12-29,4.3347
2000-11-30,3.7891
2000-10-31,3.4790
2000-09-29,3.1898
