,EMA_monthly_10
2022-04-04,47.1567
2022-03-31,47.4360
2022-02-28,47.7218
2022-01-31,48.6533
2021-12-31,48.8493
2021-11-30,49.3684
2021-10-29,50.3240
2021-09-30,50.6806
2021-08-31,50.4004
2021-07-30,49.1973
2021-06-30,48.3100
2021-05-28,46.4991
2021-04-30,43.9194
2021-03-31,41.9054
2021-02-26,40.2416
2021-01-29,39.1053
2020-12-31,37.6894
2020-11-30,36.0773
2020-10-30,34.1551
2020-09-30,33.0499
2020-08-31,32.3371
2020-07-31,32.3145
2020-06-30,32.6768
2020-05-29,33.0373
2020-04-30,33.7053
2020-03-31,34.5812
2020-02-28,36.2543
2020-01-31,37.1734
2019-12-31,37.6633
2019-11-29,37.2450
2019-10-31,36.6783
2019-09-30,36.5862
2019-08-30,36.8246
2019-07-31,37.6292
2019-06-28,37.8108
2019-05-31,38.1427
2019-04-30,38.8930
2019-03-29,38.9159
2019-02-28,39.0434
2019-01-31,39.2821
2018-12-31,39.3678
2018-11-30,40.7611
2018-10-31,41.4015
2018-09-28,42.4251
2018-08-31,42.9931
2018-07-31,43.3285
2018-06-29,43.3595
2018-05-31,43.6922
2018-04-30,43.8452
2018-03-29,44.4581
2018-02-28,44.8761
2018-01-31,44.2961
2017-12-29,43.0986
2017-11-30,42.4991
2017-10-31,42.0001
2017-09-29,41.3614
2017-08-31,40.6592
2017-07-31,40.3145
2017-06-30,39.7835
2017-05-31,38.8531
2017-04-28,38.3597
2017-03-31,37.6504
2017-02-28,37.3293
2017-01-31,36.6084
2016-12-30,35.1442
2016-11-30,33.9551
2016-10-31,33.2378
2016-09-30,33.0632
2016-08-31,32.3546
2016-07-29,31.4028
2016-06-30,30.7609
2016-05-31,30.5470
2016-04-29,30.3221
2016-03-31,29.9370
2016-02-29,29.8334
2016-01-29,30.5860
2015-12-31,31.8249
2015-11-30,32.7720
2015-10-30,33.2587
2015-09-30,33.7889
2015-08-31,35.2243
2015-07-31,36.1189
2015-06-30,36.5168
2015-05-29,37.0478
2015-04-30,37.0212
2015-03-31,36.7514
2015-02-27,36.1417
2015-01-30,35.2510
2014-12-31,34.8151
2014-11-28,34.1379
2014-10-31,33.2725
2014-09-30,32.7749
2014-08-29,32.6158
2014-07-31,32.3107
2014-06-30,32.1405
2014-05-30,31.5844
2014-04-30,31.3378
2014-03-31,31.2392
2014-02-28,31.2353
2014-01-31,30.7748
2013-12-31,30.4376
2013-11-29,29.8316
2013-10-31,29.4486
2013-09-30,29.3394
2013-08-30,29.1777
2013-07-31,28.6205
2013-06-28,27.8202
2013-05-31,27.4348
2013-04-30,26.6911
2013-03-28,25.7038
2013-02-28,24.5559
2013-01-31,23.5314
2012-12-31,22.7043
2012-11-30,21.9243
2012-10-31,21.3658
2012-09-28,20.9201
2012-08-31,20.3043
2012-07-31,19.8067
2012-06-29,19.4888
2012-05-31,19.6612
2012-04-30,19.8302
2012-03-30,19.4877
2012-02-29,18.8137
2012-01-31,17.9829
2011-12-30,17.5743
2011-11-30,17.2926
2011-10-31,17.1181
2011-09-30,17.0400
2011-08-31,17.5683
2011-07-29,17.6673
2011-06-30,17.4734
2011-05-31,17.2197
2011-04-29,16.7154
2011-03-31,16.1818
2011-02-28,15.6259
2011-01-31,15.2766
2010-12-31,14.7237
2010-11-30,14.2720
2010-10-29,14.0302
2010-09-30,13.7091
2010-08-31,13.7968
2010-07-30,14.0796
2010-06-30,13.9350
2010-05-28,13.9708
2010-04-30,13.9333
2010-03-31,13.4312
2010-02-26,13.1041
2010-01-29,12.8982
2009-12-31,12.6849
2009-11-30,11.9041
2009-10-30,11.1285
2009-09-30,10.6057
2009-08-31,9.9774
2009-07-31,9.1128
2009-06-30,8.6151
2009-05-29,8.5003
2009-04-30,8.4620
2009-03-31,8.6479
2009-02-27,9.6273
2009-01-30,11.0051
2008-12-31,12.2709
2008-11-28,13.4714
2008-10-31,14.8546
2008-09-30,15.9628
2008-08-29,16.1839
2008-07-31,16.3437
2008-06-30,16.4843
2008-05-30,17.2129
2008-04-30,17.6096
2008-03-31,18.2569
2008-02-29,18.9195
2008-01-31,19.1678
2007-12-31,19.4386
2007-11-30,19.7473
2007-10-31,19.9548
2007-09-28,19.8439
2007-08-31,19.8422
2007-07-31,19.9338
2007-06-29,19.8385
2007-05-31,19.4803
2007-04-30,19.0279
2007-03-30,18.6817
2007-02-28,18.4186
2007-01-31,18.1480
2006-12-29,18.1209
2006-11-30,18.0396
2006-10-31,18.0608
2006-09-29,18.0869
2006-08-31,17.9658
2006-07-31,17.8010
2006-06-30,17.6814
2006-05-31,17.7761
2006-04-28,17.6925
2006-03-31,17.3411
2006-02-28,17.1213
2006-01-31,17.0647
2005-12-30,17.0405
2005-11-30,16.8962
2005-10-31,16.9632
2005-09-30,17.3476
2005-08-31,17.7455
2005-07-29,18.1100
2005-06-30,18.4974
2005-05-31,19.1309
2005-04-29,19.6750
2005-03-31,20.1303
2005-02-28,20.4012
2005-01-31,20.6683
2004-12-31,20.8187
2004-11-30,20.6792
2004-10-29,20.5631
2004-09-30,20.7894
2004-08-31,20.8518
2004-07-30,20.9720
2004-06-30,20.7857
2004-05-28,20.3932
2004-04-30,20.2241
2004-03-31,20.2258
2004-02-27,20.0117
2004-01-30,19.5271
2003-12-31,19.1840
2003-11-28,18.6715
2003-10-31,18.6987
2003-09-30,18.5241
2003-08-29,18.3470
2003-07-31,17.9622
2003-06-30,17.6750
2003-05-30,17.6948
2003-04-30,17.6161
2003-03-31,17.6476
2003-02-28,17.8978
2003-01-31,18.0699
2002-12-31,18.2350
2002-11-29,18.5155
2002-10-31,18.3966
2002-09-30,18.7435
2002-08-30,19.3323
2002-07-31,19.5958
2002-06-28,19.7133
2002-05-31,19.4569
2002-04-30,19.1946
2002-03-28,19.0767
2002-02-28,18.7655
2002-01-31,18.3068
2001-12-31,17.9803
2001-11-30,17.7316
2001-10-31,17.4698
2001-09-28,17.6097
2001-08-31,17.8810
2001-07-31,17.6585
2001-06-29,17.3491
2001-05-31,17.4955
2001-04-30,17.4095
2001-03-30,17.2332
2001-02-28,17.3377
2001-01-31,17.3023
2000-12-29,17.1846
2000-11-30,16.8189
2000-10-31,17.0833
2000-09-29,17.1718
