,EMA_monthly_10
2022-04-04,85.6048
2022-03-31,87.6836
2022-02-28,90.4555
2022-01-31,91.0970
2021-12-31,90.9841
2021-11-30,88.5717
2021-10-29,87.3541
2021-09-30,85.9786
2021-08-31,86.1161
2021-07-30,84.1637
2021-06-30,81.2836
2021-05-28,79.1566
2021-04-30,76.0999
2021-03-31,72.2737
2021-02-26,68.3449
2021-01-29,65.3327
2020-12-31,63.4650
2020-11-30,60.6756
2020-10-30,58.2643
2020-09-30,57.9695
2020-08-31,57.9288
2020-07-31,57.0936
2020-06-30,57.1816
2020-05-29,57.0686
2020-04-30,57.1961
2020-03-31,58.4355
2020-02-28,61.5517
2020-01-31,62.1892
2019-12-31,61.4659
2019-11-29,59.1012
2019-10-31,57.1375
2019-09-30,56.9723
2019-08-30,56.3940
2019-07-31,56.6410
2019-06-28,55.7559
2019-05-31,54.0136
2019-04-30,53.6106
2019-03-29,52.4872
2019-02-28,51.6632
2019-01-31,50.7399
2018-12-31,50.7280
2018-11-30,51.6349
2018-10-31,51.2319
2018-09-28,51.7997
2018-08-31,50.1888
2018-07-31,48.7096
2018-06-29,47.4232
2018-05-31,46.7912
2018-04-30,46.1847
2018-03-29,46.0255
2018-02-28,45.8116
2018-01-31,45.3213
2017-12-29,43.4843
2017-11-30,41.7985
2017-10-31,39.5891
2017-09-29,38.4925
2017-08-31,37.6550
2017-07-31,37.4881
2017-06-30,37.1488
2017-05-31,36.9075
2017-04-28,37.0979
2017-03-31,36.4623
2017-02-28,35.9193
2017-01-31,35.2941
2016-12-30,34.5510
2016-11-30,34.1259
2016-10-31,33.2533
2016-09-30,33.2655
2016-08-31,33.1506
2016-07-29,32.9649
2016-06-30,33.6711
2016-05-31,34.4778
2016-04-29,34.7522
2016-03-31,34.4925
2016-02-29,34.4829
2016-01-29,34.8357
2015-12-31,35.8495
2015-11-30,36.2863
2015-10-30,36.1434
2015-09-30,35.9957
2015-08-31,37.0862
2015-07-31,37.6215
2015-06-30,38.1543
2015-05-29,38.0144
2015-04-30,37.6948
2015-03-31,37.9266
2015-02-27,38.1565
2015-01-30,38.2240
2014-12-31,39.3839
2014-11-28,39.8491
2014-10-31,40.2487
2014-09-30,39.9895
2014-08-29,39.6973
2014-07-31,38.7657
2014-06-30,38.0123
2014-05-30,36.6574
2014-04-30,35.9237
2014-03-31,35.1366
2014-02-28,34.2520
2014-01-31,32.9623
2013-12-31,31.9842
2013-11-29,30.2879
2013-10-31,28.7418
2013-09-30,27.0927
2013-08-30,25.8417
2013-07-31,24.9397
2013-06-28,24.1820
2013-05-31,23.6250
2013-04-30,22.7949
2013-03-28,22.3128
2013-02-28,21.5567
2013-01-31,21.0738
2012-12-31,20.6137
2012-11-30,20.4960
2012-10-31,20.5705
2012-09-28,20.9939
2012-08-31,21.6411
2012-07-31,22.4819
2012-06-29,23.7576
2012-05-31,25.5432
2012-04-30,27.1439
2012-03-30,28.7366
2012-02-29,30.5884
2012-01-31,32.4735
2011-12-30,35.4095
2011-11-30,39.4725
2011-10-31,44.2729
2011-09-30,45.1745
2011-08-31,46.9820
2011-07-29,48.1445
2011-06-30,48.4189
2011-05-31,47.6617
2011-04-29,46.9923
2011-03-31,46.1905
2011-02-28,44.7707
2011-01-31,43.4480
2010-12-31,41.6879
2010-11-30,40.8561
2010-10-29,41.0232
2010-09-30,41.0445
