,EMA_monthly_10
2022-04-04,133.0452
2022-03-31,131.5175
2022-02-28,130.1192
2022-01-31,131.7012
2021-12-31,132.0949
2021-11-30,130.5688
2021-10-29,127.9650
2021-09-30,125.2572
2021-08-31,123.7435
2021-07-30,121.3552
2021-06-30,118.3720
2021-05-28,115.1766
2021-04-30,109.3562
2021-03-31,104.1592
2021-02-26,98.7656
2021-01-29,95.3062
2020-12-31,94.2352
2020-11-30,91.1631
2020-10-30,87.6551
2020-09-30,86.1974
2020-08-31,84.9495
2020-07-31,83.9742
2020-06-30,83.8642
2020-05-29,83.8925
2020-04-30,84.0982
2020-03-31,84.6747
2020-02-28,86.1409
2020-01-31,85.0723
2019-12-31,83.7246
2019-11-29,82.7078
2019-10-31,80.9714
2019-09-30,78.5236
2019-08-30,76.0249
2019-07-31,73.5463
2019-06-28,71.9015
2019-05-31,69.5181
2019-04-30,68.5851
2019-03-29,66.9052
2019-02-28,65.4492
2019-01-31,63.9756
2018-12-31,64.1593
2018-11-30,65.7568
2018-10-31,66.1480
2018-09-28,64.5860
2018-08-31,62.3716
2018-07-31,60.5210
2018-06-29,59.3856
2018-05-31,58.8906
2018-04-30,58.0031
2018-03-29,58.3947
2018-02-28,58.6453
2018-01-31,58.5406
2017-12-29,56.6405
2017-11-30,55.0695
2017-10-31,53.2201
2017-09-29,52.5525
2017-08-31,51.7555
2017-07-31,51.5908
2017-06-30,51.8000
2017-05-31,51.6992
2017-04-28,51.9966
2017-03-31,51.8602
2017-02-28,51.6169
2017-01-31,51.0790
2016-12-30,49.9980
2016-11-30,49.0058
2016-10-31,46.7294
2016-09-30,46.1617
2016-08-31,45.4382
2016-07-29,44.3479
2016-06-30,42.8390
2016-05-31,41.7827
2016-04-29,40.3047
2016-03-31,39.7956
2016-02-29,39.3921
2016-01-29,39.9393
2015-12-31,40.4850
2015-11-30,40.5744
2015-10-30,40.2187
2015-09-30,40.6333
2015-08-31,41.7154
2015-07-31,42.4052
2015-06-30,42.8853
2015-05-29,43.7905
2015-04-30,44.3363
2015-03-31,45.0883
2015-02-27,45.5191
2015-01-30,46.2198
2014-12-31,48.4011
2014-11-28,49.6678
2014-10-31,50.8424
2014-09-30,52.0657
2014-08-29,53.2699
2014-07-31,53.6609
2014-06-30,54.7970
2014-05-30,55.6612
2014-04-30,56.3373
2014-03-31,56.6053
2014-02-28,55.7013
2014-01-31,55.2015
2013-12-31,54.5780
2013-11-29,53.3317
2013-10-31,52.4923
2013-09-30,51.2433
2013-08-30,50.2773
2013-07-31,49.0755
2013-06-28,47.4112
2013-05-31,46.2412
2013-04-30,44.4121
2013-03-28,43.5631
2013-02-28,41.3023
2013-01-31,40.1104
2012-12-31,38.8086
2012-11-30,38.3939
2012-10-31,38.2331
2012-09-28,38.5355
2012-08-31,38.5144
2012-07-31,38.6776
2012-06-29,39.0831
2012-05-31,39.7294
2012-04-30,41.0162
2012-03-30,40.8245
2012-02-29,40.4755
2012-01-31,39.6561
2011-12-30,38.9647
2011-11-30,39.0072
2011-10-31,38.8553
2011-09-30,39.2514
2011-08-31,41.1177
2011-07-29,42.3478
2011-06-30,43.4479
2011-05-31,43.9197
2011-04-29,43.8997
2011-03-31,43.1214
2011-02-28,41.7839
2011-01-31,40.4399
2010-12-31,38.5192
2010-11-30,37.3436
2010-10-29,37.4675
2010-09-30,37.5956
2010-08-31,37.7330
2010-07-30,38.7544
2010-06-30,39.6016
2010-05-28,40.6647
2010-04-30,40.8344
2010-03-31,39.6701
2010-02-26,38.8905
2010-01-29,39.2944
2009-12-31,40.0026
2009-11-30,40.9063
2009-10-30,42.5672
2009-09-30,43.0471
2009-08-31,42.8566
2009-07-31,43.0419
2009-06-30,43.9055
2009-05-29,44.7254
2009-04-30,45.5554
2009-03-31,47.6017
2009-02-27,49.9712
2009-01-30,53.9119
2008-12-31,57.6815
2008-11-28,60.2866
2008-10-31,64.1776
2008-09-30,70.7040
2008-08-29,74.8844
2008-07-31,75.8512
2008-06-30,76.2854
2008-05-30,76.1027
2008-04-30,72.8897
2008-03-31,70.7570
2008-02-29,70.8553
2008-01-31,69.5530
2007-12-31,68.7978
2007-11-30,63.7853
2007-10-31,60.1730
2007-09-28,55.0402
2007-08-31,51.2234
2007-07-31,48.5735
2007-06-29,46.2817
2007-05-31,44.3554
2007-04-30,41.9076
2007-03-30,40.5126
2007-02-28,39.6102
2007-01-31,38.8268
2006-12-29,37.8417
2006-11-30,37.5943
2006-10-31,37.0445
2006-09-29,37.2569
2006-08-31,37.6026
2006-07-31,36.7128
2006-06-30,36.0605
2006-05-31,35.6190
2006-04-28,35.2503
2006-03-31,34.3038
2006-02-28,32.7181
2006-01-31,30.8862
2005-12-30,28.8988
2005-11-30,28.1153
2005-10-31,27.4657
2005-09-30,26.8011
2005-08-31,25.6014
2005-07-29,24.6659
2005-06-30,23.8962
2005-05-31,23.2336
2005-04-29,22.8145
2005-03-31,22.7131
2005-02-28,22.2484
2005-01-31,21.2493
2004-12-31,20.5793
2004-11-30,20.0788
2004-10-29,19.6603
2004-09-30,19.7052
2004-08-31,20.0191
2004-07-30,20.3157
2004-06-30,20.5858
2004-05-28,20.9796
2004-04-30,20.9068
2004-03-31,21.1246
2004-02-27,21.0840
2004-01-30,21.0842
2003-12-31,21.0049
2003-11-28,20.5757
2003-10-31,20.2708
2003-09-30,19.8579
2003-08-29,19.4827
2003-07-31,18.8405
2003-06-30,18.3730
2003-05-30,17.9811
2003-04-30,17.8322
2003-03-31,17.4262
2003-02-28,16.8387
2003-01-31,16.5485
2002-12-31,16.2745
2002-11-29,16.1115
2002-10-31,15.8370
2002-09-30,16.1406
2002-08-30,16.4490
2002-07-31,16.5202
2002-06-28,16.5085
2002-05-31,16.4847
2002-04-30,16.0722
2002-03-28,15.4546
2002-02-28,15.1047
2002-01-31,14.8809
2001-12-31,14.7904
2001-11-30,14.5737
2001-10-31,14.1523
2001-09-28,13.8182
2001-08-31,13.5766
2001-07-31,13.4819
2001-06-29,13.3694
2001-05-31,12.8778
2001-04-30,11.7796
2001-03-30,10.8981
2001-02-28,10.2411
2001-01-31,9.5304
2000-12-29,9.1136
2000-11-30,8.6870
2000-10-31,8.3184
2000-09-29,7.9704
